"day_point","total_participants","participants_with_daytime","participants_with_nighttime","participants_with_both","percentage_with_both"
-7,49,24,19,19,38.7755102040816
-6,49,29,25,23,46.9387755102041
-5,49,29,27,23,46.9387755102041
-4,49,36,33,31,63.265306122449
-3,49,39,35,34,69.3877551020408
-2,49,37,31,29,59.1836734693878
-1,49,36,40,34,69.3877551020408
0,49,38,39,35,71.4285714285714
1,49,38,36,33,67.3469387755102
2,49,40,40,37,75.5102040816327
3,49,40,36,36,73.469387755102
4,49,37,39,35,71.4285714285714
5,49,37,35,33,67.3469387755102
6,49,37,34,32,65.3061224489796
7,49,36,30,28,57.1428571428571
8,49,40,36,35,71.4285714285714
9,49,39,37,34,69.3877551020408
10,49,39,32,30,61.2244897959184
11,49,34,33,28,57.1428571428571
12,49,38,35,34,69.3877551020408
13,49,39,34,34,69.3877551020408
14,49,34,34,29,59.1836734693878
15,49,33,36,30,61.2244897959184
16,49,37,33,31,63.265306122449
17,49,35,36,33,67.3469387755102
18,49,36,32,31,63.265306122449
19,49,38,32,29,59.1836734693878
20,49,39,36,33,67.3469387755102
21,49,40,38,36,73.469387755102
22,49,40,37,34,69.3877551020408
23,49,39,34,33,67.3469387755102
24,49,38,33,30,61.2244897959184
25,49,37,37,34,69.3877551020408
26,49,38,36,33,67.3469387755102
27,49,38,34,32,65.3061224489796
28,49,36,32,28,57.1428571428571
29,49,33,37,32,65.3061224489796
30,49,34,34,28,57.1428571428571
