"dm_group","day","stat_type","n"
"Diabetes",-7,"cv",17
"Diabetes",-7,"iqr",17
"Diabetes",-7,"kurt",17
"Diabetes",-7,"max",17
"Diabetes",-7,"mean",17
"Diabetes",-7,"median",17
"Diabetes",-7,"min",17
"Diabetes",-7,"sd",17
"Diabetes",-7,"skew",17
"Diabetes",-6,"cv",18
"Diabetes",-6,"iqr",18
"Diabetes",-6,"kurt",18
"Diabetes",-6,"max",18
"Diabetes",-6,"mean",18
"Diabetes",-6,"median",18
"Diabetes",-6,"min",18
"Diabetes",-6,"sd",18
"Diabetes",-6,"skew",18
"Diabetes",-5,"cv",18
"Diabetes",-5,"iqr",18
"Diabetes",-5,"kurt",18
"Diabetes",-5,"max",18
"Diabetes",-5,"mean",18
"Diabetes",-5,"median",18
"Diabetes",-5,"min",18
"Diabetes",-5,"sd",18
"Diabetes",-5,"skew",18
"Diabetes",-4,"cv",22
"Diabetes",-4,"iqr",22
"Diabetes",-4,"kurt",22
"Diabetes",-4,"max",22
"Diabetes",-4,"mean",22
"Diabetes",-4,"median",22
"Diabetes",-4,"min",22
"Diabetes",-4,"sd",22
"Diabetes",-4,"skew",22
"Diabetes",-3,"cv",22
"Diabetes",-3,"iqr",22
"Diabetes",-3,"kurt",22
"Diabetes",-3,"max",22
"Diabetes",-3,"mean",22
"Diabetes",-3,"median",22
"Diabetes",-3,"min",22
"Diabetes",-3,"sd",22
"Diabetes",-3,"skew",22
"Diabetes",-2,"cv",21
"Diabetes",-2,"iqr",21
"Diabetes",-2,"kurt",21
"Diabetes",-2,"max",21
"Diabetes",-2,"mean",21
"Diabetes",-2,"median",21
"Diabetes",-2,"min",21
"Diabetes",-2,"sd",21
"Diabetes",-2,"skew",21
"Diabetes",-1,"cv",24
"Diabetes",-1,"iqr",24
"Diabetes",-1,"kurt",24
"Diabetes",-1,"max",24
"Diabetes",-1,"mean",24
"Diabetes",-1,"median",24
"Diabetes",-1,"min",24
"Diabetes",-1,"sd",24
"Diabetes",-1,"skew",24
"Diabetes",0,"cv",20
"Diabetes",0,"iqr",20
"Diabetes",0,"kurt",20
"Diabetes",0,"max",20
"Diabetes",0,"mean",20
"Diabetes",0,"median",20
"Diabetes",0,"min",20
"Diabetes",0,"sd",20
"Diabetes",0,"skew",20
"Diabetes",1,"cv",22
"Diabetes",1,"iqr",22
"Diabetes",1,"kurt",22
"Diabetes",1,"max",22
"Diabetes",1,"mean",22
"Diabetes",1,"median",22
"Diabetes",1,"min",22
"Diabetes",1,"sd",22
"Diabetes",1,"skew",22
"Diabetes",2,"cv",24
"Diabetes",2,"iqr",24
"Diabetes",2,"kurt",24
"Diabetes",2,"max",24
"Diabetes",2,"mean",24
"Diabetes",2,"median",24
"Diabetes",2,"min",24
"Diabetes",2,"sd",24
"Diabetes",2,"skew",24
"Diabetes",3,"cv",21
"Diabetes",3,"iqr",21
"Diabetes",3,"kurt",21
"Diabetes",3,"max",21
"Diabetes",3,"mean",21
"Diabetes",3,"median",21
"Diabetes",3,"min",21
"Diabetes",3,"sd",21
"Diabetes",3,"skew",21
"Diabetes",4,"cv",22
"Diabetes",4,"iqr",22
"Diabetes",4,"kurt",22
"Diabetes",4,"max",22
"Diabetes",4,"mean",22
"Diabetes",4,"median",22
"Diabetes",4,"min",22
"Diabetes",4,"sd",22
"Diabetes",4,"skew",22
"Diabetes",5,"cv",21
"Diabetes",5,"iqr",21
"Diabetes",5,"kurt",21
"Diabetes",5,"max",21
"Diabetes",5,"mean",21
"Diabetes",5,"median",21
"Diabetes",5,"min",21
"Diabetes",5,"sd",21
"Diabetes",5,"skew",21
"Diabetes",6,"cv",21
"Diabetes",6,"iqr",21
"Diabetes",6,"kurt",21
"Diabetes",6,"max",21
"Diabetes",6,"mean",21
"Diabetes",6,"median",21
"Diabetes",6,"min",21
"Diabetes",6,"sd",21
"Diabetes",6,"skew",21
"Diabetes",7,"cv",21
"Diabetes",7,"iqr",21
"Diabetes",7,"kurt",21
"Diabetes",7,"max",21
"Diabetes",7,"mean",21
"Diabetes",7,"median",21
"Diabetes",7,"min",21
"Diabetes",7,"sd",21
"Diabetes",7,"skew",21
"Diabetes",8,"cv",20
"Diabetes",8,"iqr",20
"Diabetes",8,"kurt",20
"Diabetes",8,"max",20
"Diabetes",8,"mean",20
"Diabetes",8,"median",20
"Diabetes",8,"min",20
"Diabetes",8,"sd",20
"Diabetes",8,"skew",20
"Diabetes",9,"cv",21
"Diabetes",9,"iqr",21
"Diabetes",9,"kurt",21
"Diabetes",9,"max",21
"Diabetes",9,"mean",21
"Diabetes",9,"median",21
"Diabetes",9,"min",21
"Diabetes",9,"sd",21
"Diabetes",9,"skew",21
"Diabetes",10,"cv",20
"Diabetes",10,"iqr",20
"Diabetes",10,"kurt",20
"Diabetes",10,"max",20
"Diabetes",10,"mean",20
"Diabetes",10,"median",20
"Diabetes",10,"min",20
"Diabetes",10,"sd",20
"Diabetes",10,"skew",20
"Diabetes",11,"cv",19
"Diabetes",11,"iqr",19
"Diabetes",11,"kurt",19
"Diabetes",11,"max",19
"Diabetes",11,"mean",19
"Diabetes",11,"median",19
"Diabetes",11,"min",19
"Diabetes",11,"sd",19
"Diabetes",11,"skew",19
"Diabetes",12,"cv",19
"Diabetes",12,"iqr",19
"Diabetes",12,"kurt",19
"Diabetes",12,"max",19
"Diabetes",12,"mean",19
"Diabetes",12,"median",19
"Diabetes",12,"min",19
"Diabetes",12,"sd",19
"Diabetes",12,"skew",19
"Diabetes",13,"cv",18
"Diabetes",13,"iqr",18
"Diabetes",13,"kurt",18
"Diabetes",13,"max",18
"Diabetes",13,"mean",18
"Diabetes",13,"median",18
"Diabetes",13,"min",18
"Diabetes",13,"sd",18
"Diabetes",13,"skew",18
"Diabetes",14,"cv",16
"Diabetes",14,"iqr",16
"Diabetes",14,"kurt",16
"Diabetes",14,"max",16
"Diabetes",14,"mean",16
"Diabetes",14,"median",16
"Diabetes",14,"min",16
"Diabetes",14,"sd",16
"Diabetes",14,"skew",16
"Diabetes",15,"cv",18
"Diabetes",15,"iqr",18
"Diabetes",15,"kurt",18
"Diabetes",15,"max",18
"Diabetes",15,"mean",18
"Diabetes",15,"median",18
"Diabetes",15,"min",18
"Diabetes",15,"sd",18
"Diabetes",15,"skew",18
"Diabetes",16,"cv",19
"Diabetes",16,"iqr",19
"Diabetes",16,"kurt",19
"Diabetes",16,"max",19
"Diabetes",16,"mean",19
"Diabetes",16,"median",19
"Diabetes",16,"min",19
"Diabetes",16,"sd",19
"Diabetes",16,"skew",19
"Diabetes",17,"cv",16
"Diabetes",17,"iqr",16
"Diabetes",17,"kurt",16
"Diabetes",17,"max",16
"Diabetes",17,"mean",16
"Diabetes",17,"median",16
"Diabetes",17,"min",16
"Diabetes",17,"sd",16
"Diabetes",17,"skew",16
"Diabetes",18,"cv",16
"Diabetes",18,"iqr",16
"Diabetes",18,"kurt",16
"Diabetes",18,"max",16
"Diabetes",18,"mean",16
"Diabetes",18,"median",16
"Diabetes",18,"min",16
"Diabetes",18,"sd",16
"Diabetes",18,"skew",16
"Diabetes",19,"cv",19
"Diabetes",19,"iqr",19
"Diabetes",19,"kurt",19
"Diabetes",19,"max",19
"Diabetes",19,"mean",19
"Diabetes",19,"median",19
"Diabetes",19,"min",19
"Diabetes",19,"sd",19
"Diabetes",19,"skew",19
"Diabetes",20,"cv",18
"Diabetes",20,"iqr",18
"Diabetes",20,"kurt",18
"Diabetes",20,"max",18
"Diabetes",20,"mean",18
"Diabetes",20,"median",18
"Diabetes",20,"min",18
"Diabetes",20,"sd",18
"Diabetes",20,"skew",18
"Diabetes",21,"cv",19
"Diabetes",21,"iqr",19
"Diabetes",21,"kurt",19
