"orig_group","day","stat_type","n"
"Diabetes_Surgery0",-7,"cv",6
"Diabetes_Surgery0",-7,"iqr",6
"Diabetes_Surgery0",-7,"kurt",6
"Diabetes_Surgery0",-7,"max",6
"Diabetes_Surgery0",-7,"mean",6
"Diabetes_Surgery0",-7,"median",6
"Diabetes_Surgery0",-7,"min",6
"Diabetes_Surgery0",-7,"sd",6
"Diabetes_Surgery0",-7,"skew",6
"Diabetes_Surgery0",-6,"cv",6
"Diabetes_Surgery0",-6,"iqr",6
"Diabetes_Surgery0",-6,"kurt",6
"Diabetes_Surgery0",-6,"max",6
"Diabetes_Surgery0",-6,"mean",6
"Diabetes_Surgery0",-6,"median",6
"Diabetes_Surgery0",-6,"min",6
"Diabetes_Surgery0",-6,"sd",6
"Diabetes_Surgery0",-6,"skew",6
"Diabetes_Surgery0",-5,"cv",5
"Diabetes_Surgery0",-5,"iqr",5
"Diabetes_Surgery0",-5,"kurt",5
"Diabetes_Surgery0",-5,"max",5
"Diabetes_Surgery0",-5,"mean",5
"Diabetes_Surgery0",-5,"median",5
"Diabetes_Surgery0",-5,"min",5
"Diabetes_Surgery0",-5,"sd",5
"Diabetes_Surgery0",-5,"skew",5
"Diabetes_Surgery0",-4,"cv",8
"Diabetes_Surgery0",-4,"iqr",8
"Diabetes_Surgery0",-4,"kurt",8
"Diabetes_Surgery0",-4,"max",8
"Diabetes_Surgery0",-4,"mean",8
"Diabetes_Surgery0",-4,"median",8
"Diabetes_Surgery0",-4,"min",8
"Diabetes_Surgery0",-4,"sd",8
"Diabetes_Surgery0",-4,"skew",8
"Diabetes_Surgery0",-3,"cv",9
"Diabetes_Surgery0",-3,"iqr",9
"Diabetes_Surgery0",-3,"kurt",9
"Diabetes_Surgery0",-3,"max",9
"Diabetes_Surgery0",-3,"mean",9
"Diabetes_Surgery0",-3,"median",9
"Diabetes_Surgery0",-3,"min",9
"Diabetes_Surgery0",-3,"sd",9
"Diabetes_Surgery0",-3,"skew",9
"Diabetes_Surgery0",-2,"cv",8
"Diabetes_Surgery0",-2,"iqr",8
"Diabetes_Surgery0",-2,"kurt",8
