"day","stat_type","rhr_type","n_diabetes","n_non_diabetes","mean_diabetes","mean_non_diabetes","sd_diabetes","sd_non_diabetes","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
-7,"cv","rhr_1",17,8,10.732165665592,14.1716817522107,4.33970046440009,4.06761449606114,0.0731792502206941,-0.817791721548777,FALSE,0.078483885187803,FALSE
-7,"cv","rhr_50",17,8,9.88606826898647,10.7752930640069,3.07892440262507,1.86747943518161,0.382358507865646,-0.349222757749634,FALSE,0.463062395482141,FALSE
-7,"iqr","rhr_1",17,8,9.92647058823529,13.75,2.33145057093344,4.94974746830583,0.0691906165528005,-0.988291366537688,FALSE,0.257985440932361,FALSE
-7,"iqr","rhr_50",17,8,10.9264705882353,10,3.69624461645951,1.79284291400159,0.407486685272496,0.318937300714306,FALSE,0.744603241909952,FALSE
-7,"kurt","rhr_1",17,8,6.16032531321159,3.91325806304313,4.08192403212076,1.26649186397249,0.0510605438555089,0.743546421479135,FALSE,0.591463861106608,FALSE
-7,"kurt","rhr_50",17,8,4.71170434912054,4.18035694810943,3.07855418604693,1.47581842686201,0.565372377921069,0.22010374661298,FALSE,0.792261882353498,FALSE
-7,"max","rhr_1",17,8,116.058823529412,105.625,23.0961863416758,12.1882554710907,0.15370256402629,0.565028443910066,FALSE,0.389379828866602,FALSE
-7,"max","rhr_50",17,8,110.470588235294,107.125,15.2197143824171,9.09375767059078,0.50166987995124,0.266864209361957,FALSE,0.680837694219539,FALSE
-7,"mean","rhr_1",17,8,75.9019271397145,67.5744763986371,8.27254886950821,3.73018475008393,0.00208285445237278,1.29776781923286,TRUE,0.00329785288292357,TRUE
-7,"mean","rhr_50",17,8,84.1879453528977,79.7364529895762,8.45633250074728,5.36487292082415,0.126277194856541,0.628620787732733,FALSE,0.137100954415673,FALSE
-7,"median","rhr_1",17,8,74.8823529411765,65.125,8.64495772792713,4.51782185192315,0.00120387245327574,1.41465886571522,TRUE,0.00213014679711676,TRUE
-7,"median","rhr_50",17,8,83.7647058823529,78.75,9.0951869948115,5.84929788216378,0.11250446963331,0.65582055537888,FALSE,0.122147709887594,FALSE
-7,"min","rhr_1",17,8,56.6470588235294,50.25,8.28357694832513,6.60627407415535,0.0532489007697817,0.853850521192161,FALSE,0.0546880602500461,FALSE
-7,"min","rhr_50",17,8,66.1764705882353,59.125,8.51642012612728,7.86379588457672,0.0599738549121578,0.86029152189898,FALSE,0.0712189527081873,FALSE
-7,"sd","rhr_1",17,8,8.08013010925004,9.49561014772705,3.22373513092155,2.4465574979756,0.240542762950454,-0.494637264304595,FALSE,0.351562499696817,FALSE
-7,"sd","rhr_50",17,8,8.24824373124208,8.62868111983836,2.44337329053566,1.82228379693772,0.668969598341056,-0.17651102547912,FALSE,0.913549626988304,FALSE
-7,"skew","rhr_1",17,8,0.973352179029896,0.966424297288516,0.989189029927673,0.335147541552437,0.979579980122387,0.00938078438817611,FALSE,0.999948969295774,FALSE
-7,"skew","rhr_50",17,8,0.348260744459156,0.346574679360637,0.938477981455039,0.711175819986103,0.996088449685479,0.00202501164507112,FALSE,0.996088449685479,FALSE
-6,"cv","rhr_1",18,14,8.83445465367018,12.7494799236984,2.45106367583864,3.85396610124155,0.00330942515608991,-1.2122283106379,TRUE,0.0105159836133205,TRUE
-6,"cv","rhr_50",18,12,8.67901365521742,9.40192900053052,3.42171792448677,3.35720174447484,0.571720485437478,-0.2132736905608,FALSE,0.587172390449302,FALSE
-6,"iqr","rhr_1",18,14,9.26388888888889,11.0357142857143,4.19249348645731,5.15608037516531,0.306156598884199,-0.377060236016104,FALSE,0.401170715779295,FALSE
-6,"iqr","rhr_50",18,12,8.77777777777778,9.27083333333333,3.11765476629951,3.55709651345878,0.700024166914072,-0.147418364403996,FALSE,0.898286398124595,FALSE
-6,"kurt","rhr_1",18,14,5.89239771877639,4.559316723117,4.21926208283023,2.41052309697628,0.270178978567229,0.387969731901365,FALSE,0.591463861106608,FALSE
-6,"kurt","rhr_50",18,12,4.67517241172942,3.11750565186952,3.99800533434234,0.477410565230505,0.119562967782616,0.547106264875466,FALSE,0.727181080741184,FALSE
-6,"max","rhr_1",18,14,108.722222222222,104.357142857143,12.6016131346257,13.43134762044,0.357079672544172,0.33518000145807,FALSE,0.616773979849024,FALSE
-6,"max","rhr_50",18,12,109.055555555556,99.8333333333333,16.8713897130519,12.6981268005334,0.0994385934196417,0.617644470550369,FALSE,0.269904753567599,FALSE
-6,"mean","rhr_1",18,14,76.7667561978515,68.8867307880351,8.50523518110361,7.83755992292785,0.0109600977384676,0.963538656981367,TRUE,0.0126207186079324,TRUE
-6,"mean","rhr_50",18,12,84.7856139698774,78.5280377087521,9.53079341915752,5.83340107715626,0.0340654959371597,0.791956812213101,TRUE,0.0417577046971635,TRUE
-6,"median","rhr_1",18,14,75.5277777777778,67.25,8.54137373959699,9.25025987160943,0.0150818692002459,0.929787019084505,TRUE,0.0163746008459813,TRUE
-6,"median","rhr_50",18,12,84.4444444444444,78.4583333333333,10.061412731013,5.98277198345889,0.0509249042654444,0.72320086406412,FALSE,0.0624240761963513,FALSE
-6,"min","rhr_1",18,14,60,55.3571428571429,8.99019073278007,7.82114631434099,0.129437592225568,0.551017684632584,FALSE,0.129437592225568,FALSE
-6,"min","rhr_50",18,12,69.3333333333333,61.9166666666667,9.98233734270333,8.0843095318067,0.0337302563919512,0.816540407231538,TRUE,0.0441982669963498,TRUE
-6,"sd","rhr_1",18,14,6.74537335569009,8.62830599114421,1.89453677025151,2.19081948933791,0.0167812439337086,-0.919381433160239,TRUE,0.125389394673337,FALSE
-6,"sd","rhr_50",18,12,7.28626975543475,7.39422980351929,2.79028492006553,2.7697674160833,0.917819503235466,-0.0388339197195932,FALSE,0.934774801062543,FALSE
