"day","stat_type","rhr_type","n_diabetes","n_non_diabetes","mean_diabetes","mean_non_diabetes","sd_diabetes","sd_non_diabetes","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
-6,"cv","rhr_1",18,14,8.83445465367018,12.7494799236984,2.45106367583864,3.85396610124155,0.00330942515608991,-1.2122283106379,TRUE,0.0105159836133205,TRUE
-5,"cv","rhr_1",20,15,9.93050318735078,14.5363436599041,3.02823541206735,4.4368080001105,0.00208284488668873,-1.21257825575841,TRUE,0.00989351321177147,TRUE
-3,"cv","rhr_1",24,18,9.7526654135607,13.7985252041821,3.08029452735457,5.26991524140836,0.00745367941603061,-0.937352868251258,TRUE,0.0133386096250535,TRUE
-1,"cv","rhr_1",25,17,10.3103386519546,14.1857452533044,3.64967136265624,2.82507305993896,0.000399362160078526,-1.18749246039385,TRUE,0.00379394052074599,TRUE
0,"cv","rhr_1",24,17,9.39596748552376,13.6582784910063,2.68436864639657,3.56706855420413,0.000267899992483193,-1.35023238521668,TRUE,0.00379394052074599,TRUE
1,"cv","rhr_1",23,20,9.86535466112406,12.7768503934983,2.75928494212699,3.80702512103196,0.00766984174208959,-0.87572012434177,TRUE,0.0133386096250535,TRUE
2,"cv","rhr_1",24,19,9.99590807582296,12.7039338952665,3.49625554555726,3.19526238688436,0.0115515007467251,-0.808573002287632,TRUE,0.0182898761823148,TRUE
3,"cv","rhr_1",23,19,9.76955557816395,13.4100130719374,3.90853256041383,3.92626109948099,0.00475725237871368,-0.929302884497491,TRUE,0.0105159836133205,TRUE
4,"cv","rhr_1",23,19,10.0870693549311,13.658881704784,3.32680595909401,3.97340786987429,0.0036158124805894,-0.974734051255704,TRUE,0.0105159836133205,TRUE
5,"cv","rhr_1",23,19,10.0416334050537,13.9984182604176,3.32813912765931,4.83551532287733,0.0049812553957834,-0.953252325701193,TRUE,0.0105159836133205,TRUE
6,"cv","rhr_1",22,19,10.2160598996476,13.8262726255117,3.04383364826285,3.97947659607109,0.00282648306036026,-1.019062729548,TRUE,0.0105159836133205,TRUE
