"day","stat_type","rhr_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
-7,"cv","rhr_1",0.205776322945457,1.70022119404946,FALSE,0.211337845187226,FALSE
-7,"cv","rhr_50",0.174393903663426,1.89271508219804,FALSE,0.179107252411086,FALSE
-7,"iqr","rhr_1",0.048659265045071,3.47909014470948,TRUE,0.39347584705471,FALSE
-7,"iqr","rhr_50",0.414052345314689,0.918067597354886,FALSE,0.524466304065273,FALSE
-7,"kurt","rhr_1",0.302927913209384,1.26150158214073,FALSE,0.666820891733206,FALSE
-7,"kurt","rhr_50",0.898975712698431,0.107016478287777,FALSE,0.904639383907728,FALSE
-7,"max","rhr_1",0.33926159726952,1.13588209834044,FALSE,0.641163790521033,FALSE
-7,"max","rhr_50",0.847998730237633,0.166117980137576,FALSE,0.913059339788417,FALSE
-7,"mean","rhr_1",0.000107075859674875,14.2539790102126,TRUE,0.000176907942071532,TRUE
-7,"mean","rhr_50",0.0288209609948975,4.18515359229141,TRUE,0.0331877732668517,TRUE
-7,"median","rhr_1",5.60932549537492e-05,15.7827615087704,TRUE,0.000125313502008343,TRUE
-7,"median","rhr_50",0.0196799060047772,4.72104828359326,TRUE,0.022661709944895,TRUE
-7,"min","rhr_1",0.101779387561388,2.53958732379827,FALSE,0.101779387561388,FALSE
-7,"min","rhr_50",0.0241492959518989,4.43125931205543,TRUE,0.0262192356049188,TRUE
-7,"sd","rhr_1",0.453831914323924,0.81909016503602,FALSE,0.574853758143637,FALSE
-7,"sd","rhr_50",0.673131140459019,0.403022644464408,FALSE,0.710527314928965,FALSE
-7,"skew","rhr_1",0.469086983029625,0.783620339422212,FALSE,0.742721056463572,FALSE
-7,"skew","rhr_50",0.617165035019543,0.493362676322642,FALSE,0.820211137055755,FALSE
-6,"cv","rhr_1",0.00264129186837118,7.3360343161073,TRUE,0.00669127273320699,TRUE
-6,"cv","rhr_50",0.0550334188697378,3.23480649246024,FALSE,0.0674603199048398,FALSE
-6,"iqr","rhr_1",0.572828272890285,0.568012490452623,FALSE,0.671066322128564,FALSE
-6,"iqr","rhr_50",0.692832282769909,0.372000419521745,FALSE,0.737812119651696,FALSE
-6,"kurt","rhr_1",0.310149443186155,1.21925903958527,FALSE,0.666820891733206,FALSE
-6,"kurt","rhr_50",0.423104652431283,0.888128298910697,FALSE,0.733067209948706,FALSE
-6,"max","rhr_1",0.645011440332737,0.445184601685049,FALSE,0.875372669023,FALSE
-6,"max","rhr_50",0.299172791251989,1.26231112680675,FALSE,0.617102766418858,FALSE
-6,"mean","rhr_1",0.00090565653283045,9.00891505688248,TRUE,0.00123394889387825,TRUE
-6,"mean","rhr_50",0.00882991685020837,5.66395447187724,TRUE,0.0129052630887661,TRUE
-6,"median","rhr_1",0.00144848238586217,8.25972921024366,TRUE,0.00189801140216422,TRUE
-6,"median","rhr_50",0.00672119680272065,6.05526245500681,TRUE,0.0102162191401354,TRUE
-6,"min","rhr_1",0.00711128839561645,5.89433267830681,TRUE,0.00931823996666983,TRUE
-6,"min","rhr_50",0.00185318460456838,8.01345499243573,TRUE,0.00331295159217876,TRUE
-6,"sd","rhr_1",0.0419141494738541,3.54586117411637,TRUE,0.238624649509712,FALSE
-6,"sd","rhr_50",0.255895263986106,1.43416720253998,FALSE,0.324134001049068,FALSE
-6,"skew","rhr_1",0.22710233812682,1.56077552567189,FALSE,0.431494442440957,FALSE
-6,"skew","rhr_50",0.594927137445702,0.529434157571177,FALSE,0.820211137055755,FALSE
-5,"cv","rhr_1",0.00213956208822542,7.49495820466228,TRUE,0.00625410456558199,TRUE
-5,"cv","rhr_50",0.201147449191456,1.6868431550181,FALSE,0.201147449191456,FALSE
