"day","stat_type","rhr_type","p_value","f_value","significant","p_adjusted","significant_adjusted"
-6,"cv","rhr_1",0.00264129186837118,7.3360343161073,TRUE,0.00669127273320699,TRUE
-5,"cv","rhr_1",0.00213956208822542,7.49495820466228,TRUE,0.00625410456558199,TRUE
-3,"cv","rhr_1",0.00903778117145143,5.32286777084822,TRUE,0.0149319862832676,TRUE
-1,"cv","rhr_1",0.00101569218798647,8.2673215961871,TRUE,0.00491490158628548,TRUE
0,"cv","rhr_1",0.000202122265356935,10.7300035528847,TRUE,0.00491490158628548,TRUE
1,"cv","rhr_1",0.00457298432680424,6.18303643179859,TRUE,0.00965407802325341,TRUE
2,"cv","rhr_1",0.0284961135903898,3.89410203886961,TRUE,0.0349307198849939,TRUE
3,"cv","rhr_1",0.00248421215397159,7.02251348787239,TRUE,0.00669127273320699,TRUE
4,"cv","rhr_1",0.00545591323720246,5.97373875329603,TRUE,0.0109118264744049,TRUE
5,"cv","rhr_1",0.00178479753057135,7.47607543823403,TRUE,0.00616566419651921,TRUE
6,"cv","rhr_1",0.00212595143506837,7.26689199568374,TRUE,0.00625410456558199,TRUE
7,"cv","rhr_1",0.0174262225929984,4.54153233225597,TRUE,0.0228343606391014,TRUE
8,"cv","rhr_1",0.00116405563885709,8.07385557569199,TRUE,0.00491490158628548,TRUE
9,"cv","rhr_1",0.000678266206524878,8.84829280322914,TRUE,0.00491490158628548,TRUE
10,"cv","rhr_1",0.0043263028919202,6.3027951685709,TRUE,0.00965407802325341,TRUE
11,"cv","rhr_1",0.0145148707942644,4.75590145308429,TRUE,0.0212140419300787,TRUE
12,"cv","rhr_1",0.0129644531045831,4.91498060139001,TRUE,0.0197059687189664,TRUE
13,"cv","rhr_1",0.000424190885336074,9.70959695353211,TRUE,0.00491490158628548,TRUE
14,"cv","rhr_1",0.0110934501082713,5.09629419308803,TRUE,0.0175646293380962,TRUE
15,"cv","rhr_1",0.0160059633203086,4.63329926307829,TRUE,0.0217223787918474,TRUE
16,"cv","rhr_1",0.00657905135816607,5.77218360181022,TRUE,0.0125001975805155,TRUE
17,"cv","rhr_1",0.000860198306355866,8.59374894762959,TRUE,0.00491490158628548,TRUE
18,"cv","rhr_1",0.00106192637268359,8.33234172826144,TRUE,0.00491490158628548,TRUE
19,"cv","rhr_1",0.00175198334149829,7.50175849985291,TRUE,0.00616566419651921,TRUE
21,"cv","rhr_1",0.000628198642143022,8.95999146794464,TRUE,0.00491490158628548,TRUE
22,"cv","rhr_1",0.015433664124459,4.63806198130531,TRUE,0.0217214532122015,TRUE
25,"cv","rhr_1",0.0209388771660734,4.29979828221293,TRUE,0.026522577743693,TRUE
26,"cv","rhr_1",0.00101009810533436,8.27518709689003,TRUE,0.00491490158628548,TRUE
27,"cv","rhr_1",0.00711480224196727,5.66968746912366,TRUE,0.0126408460373039,TRUE
29,"cv","rhr_1",0.00731838454791279,5.67776014979076,TRUE,0.0126408460373039,TRUE
30,"cv","rhr_1",0.004110039781078,6.397344254846,TRUE,0.00965407802325341,TRUE
-4,"cv","rhr_50",0.00118059699095241,8.17782278337109,TRUE,0.0130317354362932,TRUE
-3,"cv","rhr_50",0.0149997744998055,4.70004340948487,TRUE,0.0247822361301134,TRUE
-2,"cv","rhr_50",0.00829516274682385,5.46998041323305,TRUE,0.0185421284929004,TRUE
0,"cv","rhr_50",0.0018468224172385,7.46220089241279,TRUE,0.0130317354362932,TRUE
1,"cv","rhr_50",0.0136992492633831,4.78535577582684,TRUE,0.0238507044183798,TRUE
2,"cv","rhr_50",0.00206257354854902,7.27670931644407,TRUE,0.0130317354362932,TRUE
4,"cv","rhr_50",0.00408204649845447,6.35554466866895,TRUE,0.0172353074379189,TRUE
5,"cv","rhr_50",0.00924682606841395,5.3112123827363,TRUE,0.0195210772555406,TRUE
6,"cv","rhr_50",0.00793497930113324,5.54856271850006,TRUE,0.0185421284929004,TRUE
8,"cv","rhr_50",0.0070462084309113,5.64177112381185,TRUE,0.0185421284929004,TRUE
9,"cv","rhr_50",0.0233709580820576,4.14243620831336,TRUE,0.0328402887573762,TRUE
10,"cv","rhr_50",0.0367688178345647,3.6076109621669,TRUE,0.0481798302659813,TRUE
11,"cv","rhr_50",0.018022223017707,4.49945719010042,TRUE,0.0273937789869147,TRUE
12,"cv","rhr_50",0.0241981075054351,4.1341285154144,TRUE,0.0328402887573762,TRUE
13,"cv","rhr_50",0.00337047299011415,6.66576059389983,TRUE,0.0160097467030422,TRUE
14,"cv","rhr_50",0.00240058284352769,7.13163035016939,TRUE,0.0130317354362932,TRUE
15,"cv","rhr_50",0.00608031476652553,5.8758354111027,TRUE,0.0185421284929004,TRUE
16,"cv","rhr_50",0.00160406681892696,7.69635003781767,TRUE,0.0130317354362932,TRUE
17,"cv","rhr_50",0.019228690357746,4.41860745030919,TRUE,0.0281034705228596,TRUE
18,"cv","rhr_50",0.0138083025580094,4.85196692589814,TRUE,0.0238507044183798,TRUE
19,"cv","rhr_50",0.00517343029405839,6.04328413449059,TRUE,0.0185421284929004,TRUE
20,"cv","rhr_50",0.0109050401261954,5.10107289810172,TRUE,0.0218100802523908,TRUE
21,"cv","rhr_50",0.00186789861640886,7.41319210270689,TRUE,0.0130317354362932,TRUE
22,"cv","rhr_50",0.00163686283311331,7.56318381021792,TRUE,0.0130317354362932,TRUE
23,"cv","rhr_50",0.015668386556338,4.63223072666236,TRUE,0.0248082787142018,TRUE
25,"cv","rhr_50",0.00759240659189554,5.58495347803134,TRUE,0.0185421284929004,TRUE
26,"cv","rhr_50",0.0137862553938004,4.79112453959429,TRUE,0.0238507044183798,TRUE
27,"cv","rhr_50",0.0064084237991057,5.8297595003832,TRUE,0.0185421284929004,TRUE
30,"cv","rhr_50",0.00572728260803178,5.95477634338966,TRUE,0.0185421284929004,TRUE
1,"kurt","rhr_1",0.00106885253347123,8.15685252129674,TRUE,0.0406163962719069,TRUE
24,"max","rhr_50",0.00106614876308318,8.16041853906153,TRUE,0.040513652997161,TRUE
25,"max","rhr_50",0.00233598941247467,7.16944898143697,TRUE,0.0443837988370188,TRUE
-7,"mean","rhr_1",0.000107075859674875,14.2539790102126,TRUE,0.000176907942071532,TRUE
-6,"mean","rhr_1",0.00090565653283045,9.00891505688248,TRUE,0.00123394889387825,TRUE
-5,"mean","rhr_1",0.000909225500752397,8.78580377694062,TRUE,0.00123394889387825,TRUE
-4,"mean","rhr_1",0.0230953598990418,4.17931070576776,TRUE,0.0243784354489886,TRUE
-3,"mean","rhr_1",8.07075671227446e-05,12.118149193519,TRUE,0.000152429365620757,TRUE
-2,"mean","rhr_1",1.16363747632808e-05,15.6888336541691,TRUE,3.80921012414678e-05,TRUE
-1,"mean","rhr_1",1.35447982119079e-06,19.4914470424386,TRUE,9.38325949558717e-06,TRUE
0,"mean","rhr_1",1.01273302553171e-05,15.8034491771476,TRUE,3.80921012414678e-05,TRUE
1,"mean","rhr_1",1.76412603169139e-06,18.78854733867,TRUE,9.576684172039e-06,TRUE
2,"mean","rhr_1",4.46904512247388e-08,26.6143098546201,TRUE,1.69823714654007e-06,TRUE
3,"mean","rhr_1",8.07810059497874e-06,16.0793688034784,TRUE,3.80921012414678e-05,TRUE
4,"mean","rhr_1",1.30315083194495e-05,15.2174408630857,TRUE,3.80921012414678e-05,TRUE
5,"mean","rhr_1",2.90105208012358e-07,22.6976411114634,TRUE,5.51199895223481e-06,TRUE
6,"mean","rhr_1",1.48156728877692e-06,19.5086007890144,TRUE,9.38325949558717e-06,TRUE
7,"mean","rhr_1",4.64899731029653e-05,13.3310367853274,TRUE,0.000117774598527512,TRUE
8,"mean","rhr_1",0.000185469636245341,10.797391297664,TRUE,0.000281913847092919,TRUE
9,"mean","rhr_1",0.00106377473853883,8.20153653138079,TRUE,0.00139391172636123,TRUE
10,"mean","rhr_1",0.00567792735709246,5.94331297940533,TRUE,0.00616460684484324,TRUE
11,"mean","rhr_1",0.00232440074833869,7.17635050832332,TRUE,0.00276022588865219,TRUE
12,"mean","rhr_1",0.00382531576784167,6.52272719022212,TRUE,0.00427535291699952,TRUE
13,"mean","rhr_1",0.00292853640879388,6.88938335406866,TRUE,0.00337225404648993,TRUE
14,"mean","rhr_1",0.00162149044416446,7.68105641981707,TRUE,0.00198763344768547,TRUE
15,"mean","rhr_1",0.0367902559830676,3.60691741589899,TRUE,0.0377845872258532,TRUE
17,"mean","rhr_1",0.000106501815292094,11.8325685188356,TRUE,0.000176907942071532,TRUE
18,"mean","rhr_1",5.5343105022137e-05,13.0290855023625,TRUE,0.000125407288454992,TRUE
