"day","stat_type","rhr_type","n_group1","n_group2","mean_group1","mean_group2","sd_group1","sd_group2","p_value","cohens_d","significant","comparison","p_adjusted","significant_adjusted"
-7,"mean","rhr_1",6,11,68.4953312420588,79.9418885384358,6.03753646838625,6.35626980120564,0.00377901105103299,-1.84653103491978,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.00957349466261692,TRUE
-6,"mean","rhr_1",6,12,69.4967972040596,80.4017356947474,6.05824893839258,7.20215118318251,0.00559858097019375,-1.63865170290067,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.00988204868295173,TRUE
-5,"mean","rhr_1",6,14,68.893066204593,79.6853782302075,8.99418097613344,8.87946580318473,0.0345578473901454,-1.20759796654673,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.0423612322846944,TRUE
-4,"mean","rhr_1",8,15,68.8855114632841,78.5892246641497,8.20057397650572,6.27952086976095,0.0133324978181846,-1.32864143130592,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.0187642561885561,TRUE
-3,"mean","rhr_1",10,14,66.5546885632011,78.1282892497099,6.01689523284536,8.31721744421002,0.000673126645190601,-1.594432649434,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.00298377083117231,TRUE
-2,"mean","rhr_1",10,14,66.3250737362789,78.8408247321543,5.77762576169426,9.77933904444809,0.000754327167623481,-1.5582940022744,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.00298377083117231,TRUE
-1,"mean","rhr_1",10,15,67.7323146416996,80.5318572377653,7.87416161915241,7.80397909222777,0.00075212645700119,-1.63277197095181,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.00298377083117231,TRUE
0,"mean","rhr_1",9,15,65.6507829112416,79.4444089685459,8.77586080947038,8.70272011475602,0.00165067133627901,-1.57833240009822,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.00448039362704301,TRUE
1,"mean","rhr_1",8,15,64.9113247534535,78.5778330491282,7.31065607367851,8.82557537006445,0.00099966717738804,-1.68647494216637,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.00345339570370414,TRUE
2,"mean","rhr_1",9,15,64.5104221861352,78.48021543678,6.5712133997078,8.21497107682489,0.000181065825752754,-1.87800481759232,TRUE,"Diabetes_Surgery0 vs Diabetes_Surgery1",0.00229350045953489,TRUE
