"day","stat_type","rhr_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
-6,"cv","rhr_1",12,14,8.10738913544464,12.7494799236984,2.50558522782322,3.85396610124155,0.00124900133326077,-1.42813242281605,TRUE,0.0021573659392686,TRUE
-5,"cv","rhr_1",14,15,9.28128873231932,14.5363436599041,2.64075872366924,4.4368080001105,0.000708099026144499,-1.43936644476788,TRUE,0.00158280958785241,TRUE
-4,"cv","rhr_1",15,17,9.4448292788637,12.7903284005827,3.99110052292691,4.52394685596794,0.0339314406242079,-0.784251186136162,TRUE,0.0368398498205685,TRUE
-3,"cv","rhr_1",14,18,9.06753272239683,13.7985252041821,3.46579024067978,5.26991524140836,0.00478015478673198,-1.06075386508204,TRUE,0.00631466149790581,TRUE
-2,"cv","rhr_1",14,16,10.0750248142548,13.4779126594577,3.72276865977133,3.71195859131225,0.0186345273015138,-0.915402578535602,TRUE,0.0214579405290159,TRUE
-1,"cv","rhr_1",15,17,9.47012340578903,14.1857452533044,3.89486246513863,2.82507305993896,0.000672901520552531,-1.38601896238333,TRUE,0.00158280958785241,TRUE
0,"cv","rhr_1",15,17,8.72974218073394,13.6582784910063,2.40041315888889,3.56706855420413,7.51078299248886e-05,-1.62110795659015,TRUE,0.000713524384286441,TRUE
1,"cv","rhr_1",15,20,8.96041454836465,12.7768503934983,2.38693473579237,3.80702512103196,0.000969563972283287,-1.20114420351583,TRUE,0.00193912794456657,TRUE
2,"cv","rhr_1",15,19,9.47928760253028,12.7039338952665,2.35394618901782,3.19526238688436,0.00189610066224905,-1.14906941414998,TRUE,0.00277122404482554,TRUE
3,"cv","rhr_1",15,19,8.57950647605898,13.4100130719374,2.75617400175677,3.92626109948099,0.000198003050932476,-1.42406657548866,TRUE,0.000883920232313575,TRUE
4,"cv","rhr_1",15,19,9.37074171009797,13.658881704784,3.77064905572874,3.97340786987429,0.00305206263204875,-1.10708662928025,TRUE,0.00429549555621675,TRUE
5,"cv","rhr_1",15,19,8.80057806069181,13.9984182604176,2.70274042439832,4.83551532287733,0.000434850709799181,-1.32696847078543,TRUE,0.00128043399366898,TRUE
6,"cv","rhr_1",14,19,9.24143497467133,13.8262726255117,2.93257427449009,3.97947659607109,0.000616961086982547,-1.31166187212707,TRUE,0.00156296808702245,TRUE
7,"cv","rhr_1",14,18,9.49409690011222,12.8740916488622,3.2629730271071,3.33251033780274,0.00749104265022237,-1.0248852797918,TRUE,0.009488654023615,TRUE
8,"cv","rhr_1",14,21,9.28957896652853,13.2043757570772,1.83010935630414,3.54602801411132,0.000164613507607809,-1.38740542392658,TRUE,0.000883920232313575,TRUE
