"day","stat_type","n_diabetes_surgery1","n_no_diabetes_surgery0","mean_diabetes_surgery1","mean_no_diabetes_surgery0","sd_diabetes_surgery1","sd_no_diabetes_surgery0","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
-7,"max",11,8,119.545454545455,117.875,36.4591926305661,45.4515047684264,0.932927087668585,0.0405436278459652,FALSE,0.979294208782837,FALSE
-7,"mean",11,8,7.67542563070097,7.03331323710152,8.84168979902363,4.56594111429037,0.839417925447714,0.0912551450445571,FALSE,0.920010123828623,FALSE
-7,"median",11,8,0,0,0,0,NA,NA,NA,NA,NA
-7,"total",11,8,6348.81818181818,8070.375,5627.79450261258,6854.1165719692,0.570336180522317,-0.274526501596876,FALSE,0.880828479956422,FALSE
-6,"max",12,14,121.75,104.357142857143,36.1112548559688,38.7171342368787,0.248046594878554,0.464591587037628,FALSE,0.673269328956074,FALSE
-6,"mean",12,14,7.41150020598121,8.19872334883084,4.73513257475402,5.06691885736939,0.686102757221023,-0.160532223734031,FALSE,0.920010123828623,FALSE
-6,"median",12,14,0,0.571428571428571,0,2.1380899352994,0.335561277865423,-0.377964473009227,FALSE,0.335561277865423,FALSE
-6,"total",12,14,7175.16666666667,5742.92857142857,5106.35851095712,4610.63583908547,0.463723945925014,0.294407483575321,FALSE,0.880828479956422,FALSE
-5,"max",14,15,122.571428571429,114.666666666667,34.1956233945319,49.8120276162103,0.620772541066757,0.185021812113169,FALSE,0.979294208782837,FALSE
-5,"mean",14,15,6.56764869297009,7.11348533413744,4.12378085453495,4.6733362916353,0.740964601279798,-0.12385300255653,FALSE,0.920010123828623,FALSE
-5,"median",14,15,0,0,0,0,NA,NA,NA,NA,NA
-5,"total",14,15,6018,8089.6,3393.3479043564,6258.73073394279,0.27573171403665,-0.411504568498393,FALSE,0.880828479956422,FALSE
-4,"max",15,17,113.133333333333,111.058823529412,44.2765121007688,43.7356699220375,0.895082157735918,0.0471405341507099,FALSE,0.979294208782837,FALSE
-4,"mean",15,17,6.81511423430827,7.48105065521406,5.05149598042728,5.24481635814662,0.717310423312618,-0.129331560639711,FALSE,0.920010123828623,FALSE
-4,"median",15,17,0,0,0,0,NA,NA,NA,NA,NA
-4,"total",15,17,6693.6,8091.88235294118,4557.72032301864,4909.96846836048,0.410231560222168,-0.295175646849656,FALSE,0.880828479956422,FALSE
-3,"max",14,18,114.928571428571,120.277777777778,38.5675516977166,25.7882909032843,0.659307051088657,-0.163054795873182,FALSE,0.979294208782837,FALSE
-3,"mean",14,18,5.68868880998162,7.21325113693047,3.25313605383852,3.73071250083057,0.227339889857687,-0.4355793696333,FALSE,0.920010123828623,FALSE
-3,"median",14,18,0,0,0,0,NA,NA,NA,NA,NA
-3,"total",14,18,7295.28571428571,7561.94444444444,4228.62189641698,5089.3846787698,0.872555718181912,-0.0569924926557337,FALSE,0.880828479956422,FALSE
-2,"max",14,16,124,123.25,38.4687685512047,30.8598984660244,0.953937037814141,0.0215069314345671,FALSE,0.979294208782837,FALSE
-2,"mean",14,16,5.84433610804933,6.11348706242004,2.18882857074541,4.01620332952718,0.818816897319049,-0.0832187443183895,FALSE,0.920010123828623,FALSE
-2,"median",14,16,0,0,0,0,NA,NA,NA,NA,NA
-2,"total",14,16,6875.35714285714,7893.375,3893.74327720655,5845.43150246413,0.575225298097378,-0.204980943821777,FALSE,0.880828479956422,FALSE
-1,"max",15,17,105.866666666667,126.764705882353,38.200349038545,20.8342548815788,0.0732141611999337,-0.679214663633256,FALSE,0.618644055017744,FALSE
-1,"mean",15,17,5.99910319671497,6.30398247389369,4.35078908408626,3.56476631665562,0.831316425572051,-0.076655933117194,FALSE,0.920010123828623,FALSE
-1,"median",15,17,0,0,0,0,NA,NA,NA,NA,NA
-1,"total",15,17,5677.93333333333,7398.94117647059,4787.31892558226,4839.25424872712,0.320844162873704,-0.35754837504708,FALSE,0.880828479956422,FALSE
0,"max",15,17,116.666666666667,121.705882352941,8.77225062070054,28.696177240798,0.499322566083373,-0.237495104846219,FALSE,0.979294208782837,FALSE
0,"mean",15,17,5.80257730906779,3.78441591584026,2.93582422364223,2.15464957367191,0.0377384332364614,0.783742285572598,TRUE,0.920010123828623,FALSE
0,"median",15,17,0,0,0,0,NA,NA,NA,NA,NA
0,"total",15,17,7446.86666666667,4592.05882352941,3977.91222819686,3022.68145589699,0.0322656242273238,0.808102044293029,TRUE,0.880828479956422,FALSE
1,"max",15,20,117.733333333333,108.2,35.3097855046013,33.3980774738213,0.425066212755216,0.277396062192765,FALSE,0.979294208782837,FALSE
1,"mean",15,20,5.98165647896296,4.95973279707012,2.71398869906562,4.11191500950908,0.383184939932482,0.293336798283259,FALSE,0.920010123828623,FALSE
1,"median",15,20,0,0,0,0,NA,NA,NA,NA,NA
1,"total",15,20,7043.66666666667,5756.7,3324.48212221879,5078.58650144226,0.372607848905448,0.299845544404311,FALSE,0.880828479956422,FALSE
2,"max",15,19,123.066666666667,102.526315789474,26.1928743490795,39.2291960733508,0.0776382141408934,0.615826240993841,FALSE,0.618644055017744,FALSE
2,"mean",15,19,6.64537225956072,6.6279902820041,3.56410833507411,6.45216717942384,0.992111344691207,0.00333488623382738,FALSE,0.992111344691207,FALSE
2,"median",15,19,0,0,0,0,NA,NA,NA,NA,NA
2,"total",15,19,7984.4,7525.1052631579,4971.25041470597,7086.47668210951,0.825946517185615,0.0750367998694575,FALSE,0.880828479956422,FALSE
3,"max",15,19,117.6,113.947368421053,33.0860350342212,35.3089124477888,0.75843686516272,0.106753616224414,FALSE,0.979294208782837,FALSE
3,"mean",15,19,5.65585878620936,6.54615801968584,2.40086675885038,4.96821420936986,0.498409078633262,-0.228179438415984,FALSE,0.920010123828623,FALSE
3,"median",15,19,0,0,0,0,NA,NA,NA,NA,NA
3,"total",15,19,7089.8,8575.21052631579,3583.57670890012,6860.33990556467,0.422673107543266,-0.27140965847019,FALSE,0.880828479956422,FALSE
4,"max",15,19,100.933333333333,120.526315789474,43.7777938925117,30.5384428422287,0.15362725898002,-0.519113509805387,FALSE,0.618644055017744,FALSE
4,"mean",15,19,5.19553041729121,5.92980236287262,3.49757835306126,3.68008039019298,0.556878135353794,-0.204533186308025,FALSE,0.920010123828623,FALSE
4,"median",15,19,0,0,0,0,NA,NA,NA,NA,NA
4,"total",15,19,5569.26666666667,7106.21052631579,3825.06977465149,5097.51327804872,0.322884774573984,-0.341055842733115,FALSE,0.880828479956422,FALSE
5,"max",15,19,112.4,114.526315789474,48.4676622678904,38.2656916557735,0.89043484526063,-0.0486953918921306,FALSE,0.979294208782837,FALSE
5,"mean",15,19,5.6150821642611,5.88354901058155,3.48437104399836,3.88101300825851,0.833399269590494,-0.0727941420342949,FALSE,0.920010123828623,FALSE
5,"median",15,19,0,0,0,0,NA,NA,NA,NA,NA
5,"total",15,19,7055.93333333333,7424.52631578947,4596.80860514998,5720.71996603789,0.836313911243009,-0.0710296749124809,FALSE,0.880828479956422,FALSE
6,"max",14,19,117.428571428571,115.736842105263,38.5041741707497,34.708055589546,0.897538459193205,0.0461523924421228,FALSE,0.979294208782837,FALSE
6,"mean",14,19,6.14995636713943,5.90082530498805,4.42998560243276,4.20236261200983,0.871588538363959,0.0577002897167515,FALSE,0.920010123828623,FALSE
6,"median",14,19,0,0,0,0,NA,NA,NA,NA,NA
6,"total",14,19,6956.64285714286,7253.8947368421,4518.14709480885,5668.59844420448,0.868072809197553,-0.0579918606380154,FALSE,0.880828479956422,FALSE
7,"max",14,18,112.642857142857,109.5,32.4454741251964,31.3823667236311,0.784796702703795,0.0984655363502936,FALSE,0.979294208782837,FALSE
7,"mean",14,18,5.57750241219955,6.34048279010495,3.74752891112694,4.29061604270817,0.595937166878726,-0.189408096745515,FALSE,0.920010123828623,FALSE
7,"median",14,18,0,0,0,0,NA,NA,NA,NA,NA
