"day","stat_type","n_cataract","n_no_surgery","mean_cataract","mean_no_surgery","sd_cataract","sd_no_surgery","p_value","cohens_d","significant","p_adjusted","significant_adjusted"
-7,"max",4,6,109.25,111.833333333333,64.819621514888,18.5840433347177,0.942568225457138,-0.0541795453531826,FALSE,0.980430648349726,FALSE
-7,"mean",4,6,4.79384154594156,9.82304713617351,2.79575490299307,11.5717594832506,0.347754924344403,-0.597442290212411,FALSE,0.861930700611932,FALSE
-7,"median",4,6,0,0,0,0,NA,NA,NA,NA,NA
-7,"total",4,6,4472.75,7092.66666666667,4252.05200462083,6415.09194530107,0.459743613607572,-0.481414674688829,FALSE,0.916356170036914,FALSE
-6,"max",5,6,72,126.166666666667,45.508241011931,17.6682389237486,0.0538731008254972,-1.56916965318314,FALSE,0.980430648349726,FALSE
-6,"mean",5,6,6.34203302289779,9.00487109237617,5.21995161789725,4.19256288134579,0.385600576589548,-0.56246731210881,FALSE,0.861930700611932,FALSE
-6,"median",5,6,1.6,0,3.57770876399966,0,0.373900966300059,0.632455532033676,FALSE,0.373900966300059,FALSE
-6,"total",5,6,3905.4,7485.5,4511.96723170725,3163.37773590193,0.178676687707829,-0.918808264428968,FALSE,0.916356170036914,FALSE
-5,"max",5,6,87,135,47.3392015141785,19.6163197363828,0.0859023916994572,-1.32472402660618,FALSE,0.980430648349726,FALSE
-5,"mean",5,6,4.85729784474711,8.50576381986878,3.67778958954276,3.91105890638485,0.146609826919164,-0.961079554722665,FALSE,0.795232831241145,FALSE
-5,"median",5,6,0,0,0,0,NA,NA,NA,NA,NA
-5,"total",5,6,4405.2,7778.5,5162.00781673178,2093.40867964189,0.227873652719943,-0.856422920227527,FALSE,0.916356170036914,FALSE
-4,"max",4,5,102.75,114.6,38.8533567833377,8.20365772079747,0.588542132345978,-0.422020518459349,FALSE,0.980430648349726,FALSE
-4,"mean",4,5,4.3692549356874,7.8571690038986,2.84431729753849,3.8127236207136,0.160259342636018,-1.03697255913989,FALSE,0.795232831241145,FALSE
-4,"median",4,5,0,0,0,0,NA,NA,NA,NA,NA
