time_period,mean,sd,n,p.adj,p.signif,variable
Pre-surgery,67.1268135807025,7.771569572425745,100,NA,NA,Resting Heart Rate
Week 1,63.47820958375864,5.631342131154678,126,4.6e-4,***,Resting Heart Rate
Week 2,65.65885212813471,9.334407569304329,142,0.74,ns,Resting Heart Rate
Week 3,65.81739607494737,9.242638819910033,148,0.92,ns,Resting Heart Rate
Week 4,65.1421230228091,8.042329517419486,185,0.17,*,Resting Heart Rate
Pre-surgery,95.69415387953131,1.0089525861542878,98,NA,NA,Blood Oxygen (SpO2)
Week 1,95.4587801175175,0.7808642938568806,123,0.24,ns,Blood Oxygen (SpO2)
Week 2,95.43636781414034,1.079121078964554,142,0.24,ns,Blood Oxygen (SpO2)
Week 3,95.39386018100232,1.0220273783131235,145,0.098,*,Blood Oxygen (SpO2)
Week 4,95.47328773877186,0.8935659984977746,185,0.28,ns,Blood Oxygen (SpO2)
Pre-surgery,513.8533333333334,201.28900114507493,75,NA,NA,Total Sleep (mins)
Week 1,501.16,150.29564937888995,100,1,ns,Total Sleep (mins)
Week 2,484.9158878504673,151.57774775051706,107,1,ns,Total Sleep (mins)
Week 3,527.4529914529915,174.83635184457177,117,1,ns,Total Sleep (mins)
Week 4,522.4740740740741,184.3291114766077,135,1,ns,Total Sleep (mins)
Pre-surgery,7905.51,5174.340796339826,100,NA,NA,Total Steps
Week 1,7605.5317460317465,5861.161936253265,126,1,ns,Total Steps
Week 2,7088.027972027972,5589.19678265745,143,0.97,ns,Total Steps
Week 3,7013.52027027027,5137.169632153322,148,0.73,ns,Total Steps
Week 4,6863.697297297297,4812.711170436784,185,0.39,ns,Total Steps
