time_period,mean,sd,n,p.adj,p.signif,variable
Pre-surgery,79.02638855383958,7.532560558017056,92,NA,NA,Resting Heart Rate
Week 1,78.50905801579023,8.996958039043287,98,1,ns,Resting Heart Rate
Week 2,77.8350780126481,8.446289653520074,87,1,ns,Resting Heart Rate
Week 3,79.10967390894045,9.209079182087248,79,1,ns,Resting Heart Rate
Week 4,81.28377521646124,10.44322888814985,113,0.3,ns,Resting Heart Rate
Pre-surgery,96.00143517057528,1.114901271457082,90,NA,NA,Blood Oxygen (SpO2)
Week 1,95.79858399931008,1.1561855118430293,97,0.89,ns,Blood Oxygen (SpO2)
Week 2,95.79783529009872,1.2087833053771304,87,0.98,ns,Blood Oxygen (SpO2)
Week 3,95.98334849095322,1.2930508923255437,76,1,ns,Blood Oxygen (SpO2)
Week 4,96.15741185374368,1.0536542585505213,113,1,ns,Blood Oxygen (SpO2)
Pre-surgery,503.6666666666667,211.20938606488292,57,NA,NA,Total Sleep (mins)
Week 1,525.1267605633802,185.86284725013647,71,1,ns,Total Sleep (mins)
Week 2,531.6470588235294,170.18048055335143,68,1,ns,Total Sleep (mins)
Week 3,533.0909090909091,207.1187056959324,55,1,ns,Total Sleep (mins)
Week 4,524.3896103896104,199.31825621115777,77,1,ns,Total Sleep (mins)
Pre-surgery,6778.739130434783,4319.09615308005,92,NA,NA,Total Steps
Week 1,7232.897959183673,4102.266302206939,98,1,ns,Total Steps
Week 2,7291.517241379311,4409.754087596198,87,1,ns,Total Steps
Week 3,7054.873417721519,5562.484752769858,79,1,ns,Total Steps
Week 4,6695.6106194690265,4957.075393230562,113,1,ns,Total Steps
