"day_point","valid_count","completeness"
-4,32,72.7272727272727
-3,38,86.3636363636364
-2,39,88.6363636363636
-1,42,95.4545454545455
0,40,90.9090909090909
1,40,90.9090909090909
2,43,97.7272727272727
3,42,95.4545454545455
4,43,97.7272727272727
5,42,95.4545454545455
6,42,95.4545454545455
7,42,95.4545454545455
8,42,95.4545454545455
9,43,97.7272727272727
10,42,95.4545454545455
11,41,93.1818181818182
12,40,90.9090909090909
13,39,88.6363636363636
14,39,88.6363636363636
15,41,93.1818181818182
16,43,97.7272727272727
17,39,88.6363636363636
18,39,88.6363636363636
19,43,97.7272727272727
20,42,95.4545454545455
21,42,95.4545454545455
22,42,95.4545454545455
23,42,95.4545454545455
24,41,93.1818181818182
25,40,90.9090909090909
26,40,90.9090909090909
27,38,86.3636363636364
28,39,88.6363636363636
29,38,86.3636363636364
30,40,90.9090909090909
