"k","m","pc","pe","silhouette","combined_score","convergence"
2,1.5,0.944027962981159,0.162313795021888,0.467077901260556,1.24879206921983,TRUE
3,1.5,0.735511027127528,0.642050403438784,0.184171070783209,0.277631694471954,TRUE
4,1.5,0.702173260638277,0.804648443608224,0.145443909290099,0.0429687263201522,TRUE
2,2,0.541571808884399,0.938526886628649,0.181460752015879,-0.21549432572837,TRUE
2,2.5,0.50000058626203,0.99999915420238,0.142150701956878,-0.357847865983472,TRUE
2,3,0.500000038059473,0.999999945091786,0.142150701956878,-0.357849205075436,TRUE
3,2,0.479409919090666,1.18614153027314,0.128889788236283,-0.577841822946193,TRUE
3,2.5,0.439267188356891,1.32031070817198,0.106861872768721,-0.774181647046366,TRUE
3,3,0.410131733820849,1.40283109129791,0.106861872768721,-0.885837484708343,TRUE
4,2,0.422488905208393,1.49628269856606,0.145443909290099,-0.92834988406757,TRUE
4,2.5,0.335978315338985,1.73222875854496,0.128889788236283,-1.26736065496969,TRUE
4,3,0.321189022239821,1.79192991973206,0.0811639929696255,-1.38957690452262,TRUE
