"FCM_Cluster","Parameter","Mean_Value","Parameter_Type","Parameter_Clean","Cluster_Label"
1,"PA_Choroid_0_21_improvement",16.413575,"Blood Flow - WF","PA Choroid","Cluster 1"
2,"PA_Choroid_0_21_improvement",-9.90433999999999,"Blood Flow - WF","PA Choroid","Cluster 2"
1,"PA_DCP_0_21_improvement",2.919325,"Blood Flow - WF","PA DCP","Cluster 1"
2,"PA_DCP_0_21_improvement",-1.1555,"Blood Flow - WF","PA DCP","Cluster 2"
1,"PA_ICP_0_21_improvement",3.650225,"Blood Flow - WF","PA ICP","Cluster 1"
2,"PA_ICP_0_21_improvement",-0.819899999999998,"Blood Flow - WF","PA ICP","Cluster 2"
1,"PA_SVP_0_21_improvement",2.5057,"Blood Flow - WF","PA SVP","Cluster 1"
2,"PA_SVP_0_21_improvement",-0.828919999999999,"Blood Flow - WF","PA SVP","Cluster 2"
1,"VD_DCP_0_21_improvement",0.54155,"Blood Flow - WF","VD DCP","Cluster 1"
2,"VD_DCP_0_21_improvement",-0.0108,"Blood Flow - WF","VD DCP","Cluster 2"
1,"VD_ICP_0_21_improvement",0.976625,"Blood Flow - WF","VD ICP","Cluster 1"
2,"VD_ICP_0_21_improvement",0.7528,"Blood Flow - WF","VD ICP","Cluster 2"
1,"VD_SVP_0_21_improvement",0.675349999999999,"Blood Flow - WF","VD SVP","Cluster 1"
2,"VD_SVP_0_21_improvement",0.44672,"Blood Flow - WF","VD SVP","Cluster 2"
1,"Thickness_GCL.IPL_0_21_improvement",-5.3291,"Thickness - WF","GCL.IPL","Cluster 1"
2,"Thickness_GCL.IPL_0_21_improvement",-0.790700000000002,"Thickness - WF","GCL.IPL","Cluster 2"
1,"Thickness_INL_0_21_improvement",-2.094575,"Thickness - WF","INL","Cluster 1"
2,"Thickness_INL_0_21_improvement",-1.534775,"Thickness - WF","INL","Cluster 2"
1,"Thickness_OuterRetina_0_21_improvement",-10.829175,"Thickness - WF","OuterRetina","Cluster 1"
2,"Thickness_OuterRetina_0_21_improvement",-5.61775,"Thickness - WF","OuterRetina","Cluster 2"
1,"Thickness_Retina_0_21_improvement",-25.9899,"Thickness - WF","Retina","Cluster 1"
2,"Thickness_Retina_0_21_improvement",-13.376325,"Thickness - WF","Retina","Cluster 2"
1,"age",58.7142857142857,"Vision","age","Cluster 1"
2,"age",53.875,"Vision","age","Cluster 2"
1,"pre_vision",0.258571428571429,"Vision","pre vision","Cluster 1"
2,"pre_vision",0.283125,"Vision","pre vision","Cluster 2"
1,"vision_improvement_1m",0.165833333333333,"Vision","vision","Cluster 1"
2,"vision_improvement_1m",0.0942857142857143,"Vision","vision","Cluster 2"
