"FCM_Cluster","Parameter","Mean_Value","Parameter_Type","Parameter_Clean","Cluster_Label"
1,"VD_SVP_0_21_improvement",0.675349999999999,"Blood Flow - WF","VD SVP","Cluster 1"
1,"vision_improvement_1m",0.165833333333333,"Vision","vision","Cluster 1"
1,"PA_DCP_0_21_improvement",2.919325,"Blood Flow - WF","PA DCP","Cluster 1"
1,"PA_SVP_0_21_improvement",2.5057,"Blood Flow - WF","PA SVP","Cluster 1"
1,"Thickness_Retina_0_21_improvement",-25.9899,"Thickness - WF","Retina","Cluster 1"
1,"Thickness_OuterRetina_0_21_improvement",-10.829175,"Thickness - WF","OuterRetina","Cluster 1"
2,"VD_SVP_0_21_improvement",0.44672,"Blood Flow - WF","VD SVP","Cluster 2"
2,"vision_improvement_1m",0.0942857142857143,"Vision","vision","Cluster 2"
2,"PA_DCP_0_21_improvement",-1.1555,"Blood Flow - WF","PA DCP","Cluster 2"
2,"PA_SVP_0_21_improvement",-0.828919999999999,"Blood Flow - WF","PA SVP","Cluster 2"
2,"Thickness_Retina_0_21_improvement",-13.376325,"Thickness - WF","Retina","Cluster 2"
2,"Thickness_OuterRetina_0_21_improvement",-5.61775,"Thickness - WF","OuterRetina","Cluster 2"
