"Parameter","P_Value","P_Adjusted","Significant","Effect_Size","Mean_Cluster1","Mean_Cluster2","Mean_Diff"
"PA_SVP",0.081,0.567,FALSE,-1.92871021682586,-4.6183,2.88786,7.50616
"PA_SVP",0.081,0.567,FALSE,-4.59622436990019,-4.6183,2.88786,7.50616
"PA_SVP",0.081,0.567,FALSE,0.720979501166893,-4.6183,2.88786,7.50616
"PA_Choroid",0.823,0.938,FALSE,-0.424216886138793,-5.34433333333332,6.93472,12.2790533333333
"PA_Choroid",0.823,0.938,FALSE,-0.494643387323731,-5.34433333333332,6.93472,12.2790533333333
"PA_Choroid",0.823,0.938,FALSE,0.324397650118261,-5.34433333333332,6.93472,12.2790533333333
"PA_DCP",0.313,0.938,FALSE,-0.97488375175896,-3.62633333333333,1.97268,5.59901333333333
"PA_DCP",0.313,0.938,FALSE,-0.459676698043626,-3.62633333333333,1.97268,5.59901333333333
"PA_DCP",0.313,0.938,FALSE,0.893618025495323,-3.62633333333333,1.97268,5.59901333333333
"PA_ICP",0.464,0.938,FALSE,-0.879006242792159,-2.2645,2.2898,4.5543
"PA_ICP",0.464,0.938,FALSE,-0.810910397024676,-2.2645,2.2898,4.5543
"PA_ICP",0.464,0.938,FALSE,0.449499327832715,-2.2645,2.2898,4.5543
"VD_DCP",0.705,0.938,FALSE,0.101469234894818,0.378066666666667,0.26528,-0.112786666666667
"VD_DCP",0.705,0.938,FALSE,0.593902309955306,0.378066666666667,0.26528,-0.112786666666667
"VD_DCP",0.705,0.938,FALSE,0.703969889180321,0.378066666666667,0.26528,-0.112786666666667
"VD_ICP",0.938,0.938,FALSE,0.172444883829952,0.875466666666667,0.57358,-0.301886666666667
"VD_ICP",0.938,0.938,FALSE,0.000892571540546878,0.875466666666667,0.57358,-0.301886666666667
"VD_ICP",0.938,0.938,FALSE,-0.342965245562187,0.875466666666667,0.57358,-0.301886666666667
"VD_SVP",0.594,0.938,FALSE,-0.538091872153154,-0.470799999999999,1.18412,1.65492
"VD_SVP",0.594,0.938,FALSE,-0.115364668356633,-0.470799999999999,1.18412,1.65492
"VD_SVP",0.594,0.938,FALSE,1.01180202977272,-0.470799999999999,1.18412,1.65492
