"Parameter","P_Value","P_Adjusted","Significant","Effect_Size","Mean_Cluster1","Mean_Cluster2","Mean_Diff"
"Thickness_INL",0.273,0.662666666666667,FALSE,-1.10303780434299,-2.77926666666667,0.545949999999999,3.32521666666666
"Thickness_INL",0.273,0.662666666666667,FALSE,0.0111926201358764,-2.77926666666667,0.545949999999999,3.32521666666666
"Thickness_INL",0.273,0.662666666666667,FALSE,1.23111583272798,-2.77926666666667,0.545949999999999,3.32521666666666
"Thickness_OuterRetina",0.497,0.662666666666667,FALSE,-1.10019960254392,-8.96546666666666,-2.35365,6.61181666666666
"Thickness_OuterRetina",0.497,0.662666666666667,FALSE,0.120460948612731,-8.96546666666666,-2.35365,6.61181666666666
"Thickness_OuterRetina",0.497,0.662666666666667,FALSE,0.725876699944954,-8.96546666666666,-2.35365,6.61181666666666
"Thickness_Retina",0.34,0.662666666666667,FALSE,-1.2704839686528,-19.4738666666667,-3.54955000000001,15.9243166666667
"Thickness_Retina",0.34,0.662666666666667,FALSE,0.396212552602457,-19.4738666666667,-3.54955000000001,15.9243166666667
"Thickness_Retina",0.34,0.662666666666667,FALSE,0.978431263552794,-19.4738666666667,-3.54955000000001,15.9243166666667
"Thickness_GCL.IPL",0.721,0.721,FALSE,-0.314681310331684,-2.709,-1.409625,1.299375
"Thickness_GCL.IPL",0.721,0.721,FALSE,0.467044263492041,-2.709,-1.409625,1.299375
"Thickness_GCL.IPL",0.721,0.721,FALSE,0.577517771319575,-2.709,-1.409625,1.299375
