"Parameter","Comparison","Mean_Diff","P_Value","P_Adjusted","Significant","Effect_Size"
"PA_SVP","2 vs 1",8.670625,0.0406,0.5684,FALSE,1.87991873119714
"PA_Choroid","2 vs 1",23.1011083333333,0.481,1,FALSE,0.734693980940395
"PA_Choroid","3 vs 1",2.94496666666667,0.988,1,FALSE,0.481373374515371
"PA_DCP","2 vs 1",6.79153333333333,0.208,1,FALSE,1.39313750028672
"PA_DCP","3 vs 1",2.45776666666666,0.801,1,FALSE,0.429713667186387
"PA_ICP","2 vs 1",6.06215,0.244,1,FALSE,1.13961720890906
"PA_ICP","3 vs 1",2.5805,0.766,1,FALSE,0.756385710195217
"PA_SVP","3 vs 1",4.70163333333333,0.318,1,FALSE,4.58967967649296
"VD_DCP","2 vs 1",0.204333333333333,0.945,1,FALSE,0.241346279406662
"VD_DCP","3 vs 1",-0.5941,0.67,1,FALSE,0.552974143930479
"VD_ICP","2 vs 1",-0.179941666666667,0.986,1,FALSE,0.117957565676599
"VD_ICP","3 vs 1",-0.00153333333333316,1,1,FALSE,0.000830264839236269
"VD_SVP","2 vs 1",1.410475,0.748,1,FALSE,0.520446947739538
"VD_SVP","3 vs 1",0.328366666666666,0.986,1,FALSE,0.105707009790585
