"times","traj","cluster"
-4,71.09357608499,1
-3,68.6269582500799,1
-2,64.6459658336,1
-1,63.7248149678069,1
0,63.8330689139213,1
1,64.8113566397941,1
2,64.2735633348226,1
3,62.3883252323857,1
4,63.0231784578033,1
5,62.746019426369,1
6,63.249410363381,1
7,62.7905144227586,1
8,63.001892830576,1
9,62.5214616338176,1
10,63.5136642332377,1
11,64.2678173457139,1
12,62.8650688495818,1
13,64.1492731639054,1
14,60.0223723595279,1
15,64.9957243863742,1
16,66.1720689597245,1
17,61.6293907677903,1
18,65.8583112913413,1
19,61.1462076131108,1
20,62.7519790613708,1
21,62.1140190407697,1
22,64.3360244299095,1
23,63.283068396118,1
24,61.138862132953,1
25,63.757643529189,1
26,65.6021391945849,1
27,65.4167732733845,1
28,65.0545746936063,1
29,67.0274313317317,1
30,70.678202305443,1
-4,76.193077729395,2
-3,73.9365812896678,2
-2,71.6749580317973,2
-1,72.7857161847245,2
0,70.7419471161751,2
1,70.6116550267902,2
2,70.2960704713641,2
3,71.2909374275199,2
4,70.4560673667625,2
5,71.8169811684874,2
6,71.615813564667,2
7,72.2010462872256,2
8,74.6910297854957,2
9,74.3493986504982,2
10,75.440087150148,2
11,73.4576668835607,2
12,73.7331596157162,2
13,75.1515073308278,2
14,73.6309827278622,2
15,76.7794812635014,2
16,76.5724372909761,2
17,74.3508392303324,2
18,71.8426352277707,2
19,72.7798561182087,2
20,75.5847083896118,2
21,72.8714729945712,2
22,74.5385791568505,2
23,74.3191910016051,2
24,74.1673323411124,2
25,72.0802236104205,2
26,72.8444585604126,2
27,72.22362715032,2
28,71.739953281812,2
29,71.7158395768754,2
30,69.3434270172626,2
