"cluster","floor(days_from_surgery)","day","mean_hr","se_hr"
1,-4,-4,70.770385126162,0.15983751556347
1,-3,-3,69.5544455544456,0.151528544090968
1,-2,-2,66.3054599572133,0.123879803493939
1,-1,-1,64.6055819797182,0.123635180634219
1,0,0,65.1453236161721,0.123730506701898
1,1,1,65.42,0.0976617324050801
1,2,2,65.474350320621,0.112203720232454
1,3,3,64.0474248927039,0.0971491326475256
1,4,4,64.4205511811024,0.10284673843891
1,5,5,65.2372865712967,0.113726522903718
1,6,6,64.535007797751,0.106860833333786
1,7,7,64.4608378870674,0.124719110634694
1,8,8,64.4171088251218,0.126479492300568
1,9,9,63.633736253749,0.118611390484869
1,10,10,65.4628899247042,0.130518382517014
1,11,11,64.6331400323225,0.116264501835102
1,12,12,65.2177448500181,0.131882968795086
1,13,13,65.2504460113839,0.123987450694158
1,14,14,64.034722913143,0.130668070186361
1,15,15,66.4771173066807,0.133722844418489
1,16,16,66.8817724267246,0.13798416872733
1,17,17,64.5775704049325,0.120406266473409
1,18,18,66.5349054401121,0.129096615364002
1,19,19,64.0940003141197,0.116797204118689
1,20,20,64.5917963224894,0.132470481247483
1,21,21,63.6175949248997,0.121243404482308
1,22,22,65.637765871083,0.114485493422282
1,23,23,65.0574817518248,0.12694482523299
1,24,24,64.3149212430822,0.14338176048113
1,25,25,64.305498563808,0.132127612838666
1,26,26,65.9409822534049,0.14660921477219
1,27,27,65.2227234282492,0.135423852084978
1,28,28,64.3454418789809,0.135409441138683
1,29,29,66.1837291561395,0.12080947138851
1,30,30,68.7777777777778,3.62390894606676
2,-4,-4,76.4799605376742,0.141563493564974
2,-3,-3,76.1985383678441,0.130820840072742
2,-2,-2,74.5867192941723,0.125672907753105
2,-1,-1,76.8963187325256,0.134376623492927
2,0,0,72.5456236052566,0.12651887685931
2,1,1,72.3813398940197,0.112601829255696
2,2,2,71.460620777027,0.118847108763257
2,3,3,73.7293255131965,0.12543332742042
2,4,4,71.8508051615655,0.145349921443145
2,5,5,73.6364894795127,0.12840557547473
2,6,6,74.3135081751344,0.137315277231951
2,7,7,73.645154723127,0.118925618599941
2,8,8,75.5618677042802,0.115214243998363
2,9,9,74.7618927550849,0.103694010957324
2,10,10,73.4995340167754,0.124909643592124
2,11,11,72.9310513447433,0.134649553566352
2,12,12,72.8137047980864,0.141071201516505
2,13,13,74.7057847583232,0.129942555285857
2,14,14,72.7938663745893,0.11708981831644
2,15,15,75.3487066372569,0.111528873925389
2,16,16,74.9233720558457,0.158686496800015
2,17,17,77.1609937402191,0.128330032914514
2,18,18,74.825550660793,0.112614372022657
2,19,19,74.6572847682119,0.106273411162627
2,20,20,75.5925652127997,0.132868482783204
2,21,21,74.5793798297956,0.126655213618511
2,22,22,77.6679033571622,0.16228679931712
2,23,23,77.6754756871036,0.15670437214395
2,24,24,78.0505203405866,0.136092667266167
2,25,25,73.8319599109131,0.109358475968123
2,26,26,74.7652460325382,0.112858089287154
2,27,27,75.5475142982842,0.119275695119752
2,28,28,76.7773235541662,0.135405647165281
2,29,29,73.7950530035336,0.112370658532888
2,30,30,72.1666666666667,3.53474814441488
