"times","traj","cluster"
-4,70.8253613125903,1
-3,72.5722117793214,1
-2,68.6015362627706,1
-1,68.3598702230451,1
0,68.3310293096715,1
1,65.5169906739939,1
2,67.7981262995521,1
3,65.5204606730964,1
4,66.8893819258068,1
5,67.6230474913442,1
6,66.3875327041495,1
7,67.8953770114469,1
8,69.0950348655866,1
9,65.6502075435348,1
10,67.4785291553034,1
11,65.8934005590189,1
12,68.4259871023221,1
13,69.2138736757832,1
14,66.3123667446517,1
15,69.7409488037931,1
16,72.1188380540116,1
17,67.4485994673394,1
18,68.4210599714678,1
19,66.5073380598339,1
20,68.6311623973556,1
21,66.3064072002026,1
22,67.9021659356682,1
23,69.808733401463,1
24,68.0968061108333,1
25,67.916214632925,1
26,68.4261242641577,1
27,67.5265031635309,1
28,66.923917612333,1
29,68.1877271434358,1
30,70.9572373992466,1
-4,74.8796393610809,2
-3,75.7751784574191,2
-2,72.7021385055237,2
-1,75.3009458299638,2
0,71.8284967000497,2
1,72.8058635604911,2
2,71.1037923774488,2
3,73.1455009084287,2
4,71.3855938145045,2
5,73.2038302925758,2
6,74.084234891372,2
7,73.0443557896648,2
8,76.4054833750522,2
9,74.7061083737658,2
10,73.5325061821779,2
11,73.0057278156022,2
12,71.3578088376256,2
13,73.5911600203895,2
14,72.5666750642806,2
15,75.8326148171384,2
16,75.36304648167,2
17,77.371621828474,2
18,74.5339560029252,2
19,74.5243505232121,2
20,75.8170357244243,2
21,74.6616442023978,2
22,78.1282503040393,2
23,76.6389527865536,2
24,77.7163743840599,2
25,73.3921608166605,2
26,74.1451871069975,2
27,74.6033725324029,2
28,76.6370723177308,2
29,73.4708491638497,2
30,71.3446650426865,2
-4,69.5400036185547,3
-3,65.2311757643558,3
-2,62.7444449126002,3
-1,60.3193241672813,3
0,60.1971744394948,3
1,64.6182864844185,3
2,62.0842212275511,3
3,62.1565930245025,3
4,61.4922846950398,3
5,61.0759647815783,3
6,61.3334690363674,3
7,62.4040709030023,3
8,62.140892613156,3
9,61.4813636483907,3
10,63.4504656189486,3
11,63.4552404564881,3
12,61.5548979355175,3
13,62.7266787758294,3
14,58.6471691904808,3
15,61.3629946670952,3
16,64.234948537559,3
17,59.398722675511,3
18,63.2280417174902,3
19,59.5368642795398,3
20,62.9406612665077,3
21,61.3122920474514,3
22,62.2524676417864,3
23,60.3274714173819,3
24,57.3789171029035,3
25,62.847484564824,3
26,64.655330951487,3
27,62.4266102013763,3
28,61.4226587814529,3
29,64.554833920503,3
30,65.4251654486815,3
