"cluster","floor(days_from_surgery)","day","mean_hr","se_hr"
1,-4,-4,73.5237625714849,0.11809806541281
1,-3,-3,70.6636734693878,0.115668257716078
1,-2,-2,71.8781603660005,0.153600547478206
1,-1,-1,72.1087085308057,0.152730430875657
1,0,0,71.6382704691812,0.115679374471149
1,1,1,69.952420355813,0.133051461287937
1,2,2,70.5866666666667,0.141091153881498
1,3,3,71.6799333194415,0.131590777057491
1,4,4,71.5450597176982,0.153830385877911
1,5,5,72.1426139587668,0.146427100144877
1,6,6,75.0517169179229,0.153967730326413
1,7,7,72.2340067340067,0.162453168639613
1,8,8,72.5037400051586,0.153087018356608
1,9,9,73.8722786647315,0.159241639812698
1,10,10,72.2437684003925,0.129809853053531
1,11,11,71.1972310485701,0.136654463163801
1,12,12,71.4312814556717,0.154170933798507
1,13,13,72.2369543147208,0.12973354020472
1,14,14,72.6436583261432,0.121169795239041
1,15,15,71.6219264606361,0.141901235950217
1,16,16,72.4832186783406,0.174510324722012
1,17,17,72.1998947922146,0.148613224003669
1,18,18,70.8663606222902,0.148138514758876
1,19,19,71.4332597904026,0.169696649802754
1,20,20,72.7082857142857,0.152188986949405
1,21,21,73.1235471373224,0.165843067103076
1,22,22,72.3174157303371,0.138859754547788
1,23,23,75.0641077170418,0.163148502967435
1,24,24,73.1673012318029,0.193885180898431
1,25,25,72.2852737085582,0.150056713061724
1,26,26,72.7881193539557,0.178469657487591
1,27,27,68.3353747448236,0.141228148271827
1,28,28,70.754711673699,0.170856818022905
1,29,29,72.2195904268443,0.152841176668811
1,30,30,67.3333333333333,2.84800124843918
2,-4,-4,85.9671800050492,0.133460982930176
2,-3,-3,85.6256308430545,0.106550946066771
2,-2,-2,87.6350244072524,0.111853189555187
2,-1,-1,86.1720386375191,0.113963611749028
2,0,0,86.6402055141472,0.0914839179438738
2,1,1,86.6996350919872,0.0929794671571189
2,2,2,88.4192674049408,0.106043670788545
2,3,3,84.1688540332907,0.0919940737591227
2,4,4,85.0345988977342,0.118223965565474
2,5,5,86.6116410528175,0.10071457468431
2,6,6,88.0408103058314,0.115443535138965
2,7,7,87.7124838613566,0.128000912724959
2,8,8,85.664136315917,0.0991863620550278
2,9,9,85.6538959358012,0.107831751340991
2,10,10,84.7791398296281,0.104922128197945
2,11,11,87.1063914251687,0.117129735414564
2,12,12,84.2883883248731,0.117590127423839
2,13,13,87.6040391676867,0.124687538271432
2,14,14,85.9324181626188,0.112813445171844
2,15,15,85.8278360049322,0.138248512801428
2,16,16,87.6087554721701,0.123694821289149
2,17,17,88.6348943751591,0.118637197635272
2,18,18,84.9659276893319,0.113949423631251
2,19,19,87.0514297261796,0.110286729818785
2,20,20,87.6674672085719,0.12091608127525
2,21,21,87.6717563552327,0.0969747234927927
2,22,22,88.8688138256088,0.131447919322617
2,23,23,89.2918975069252,0.118393448756209
2,24,24,91.4464460023072,0.117210698348694
2,25,25,90.2698265179678,0.132298526061219
2,26,26,88.0969123827999,0.1032879906826
2,27,27,87.6289827909354,0.0999849069234329
2,28,28,89.0400223901483,0.110923142306389
2,29,29,90.2694278986009,0.133392684999258
2,30,30,85.5,4.09267638593623
