"times","traj","cluster"
-4,73.5080718359876,1
-3,70.7340247564283,1
-2,70.8294490725401,1
-1,75.6735124294355,1
0,71.6571777314746,1
1,70.053813791869,1
2,69.060615975683,1
3,71.4751996055385,1
4,71.4349476093342,1
5,72.2976551366742,1
6,75.6304175246648,1
7,71.5924668338583,1
8,72.6005482954118,1
9,73.3506893204085,1
10,72.286337080668,1
11,70.8226552919086,1
12,71.2783805841564,1
13,72.1708172009189,1
14,72.5883725596442,1
15,70.53494498472,1
16,72.194248809052,1
17,72.007720523946,1
20,74.5300832298247,1
21,74.5820049295673,1
22,72.0744716888174,1
23,74.8524889657596,1
24,74.1648929842949,1
18,73.8390766042085,1
19,74.4394181082676,1
25,75.0461415269253,1
26,75.3291275852481,1
27,72.5150454818865,1
28,74.0932156098732,1
29,74.8634592029559,1
30,71.1919106036254,1
-4,84.8689882973007,2
-3,85.9175604674053,2
-2,87.7046287822895,2
-1,86.6324735821964,2
0,86.6205086337593,2
1,86.5674047444197,2
2,88.0471088692192,2
3,84.4881926875705,2
4,84.9774084496787,2
5,85.8035908083911,2
6,86.3717879907726,2
7,87.1027575063489,2
8,85.6523336938165,2
9,86.3938507533158,2
10,84.2594932217608,2
11,86.1419866395802,2
12,84.4511515092912,2
13,85.2428632192802,2
14,85.0393310910054,2
15,85.6428986222905,2
16,85.7661412869496,2
17,86.1044713019988,2
20,86.3866324673561,2
21,86.8645139804805,2
22,89.8178546495041,2
23,87.657951743107,2
24,90.1576331726457,2
18,84.3656669634779,2
19,86.8330366725884,2
25,88.6850179358426,2
26,88.1935839031424,2
27,87.1709337434405,2
28,88.0564432475983,2
29,86.9615408903065,2
30,83.7612269910464,2
