"times","traj","cluster"
-4,37.9678985812394,1
-3,36.9118514078765,1
-2,29.6621588088324,1
-1,42.6495253371775,1
0,37.270851714391,1
1,32.3044542227543,1
2,40.4277290966201,1
3,39.5470497917931,1
4,42.1678590933266,1
5,36.2799930101154,1
6,41.2661590339231,1
7,31.6559341133799,1
8,34.7811951593382,1
9,35.0504735800905,1
10,27.7719757536332,1
11,35.2358182428668,1
12,33.1554158186947,1
13,37.1689300801643,1
14,34.7568418050715,1
15,29.3328693475711,1
16,33.7413449190886,1
17,31.362660634141,1
18,26.6626023665757,1
19,27.1717435396635,1
20,32.25762672322,1
21,33.7109116489306,1
22,24.0230634015779,1
23,30.5971873790971,1
24,29.6257059774625,1
25,29.9000317285141,1
26,27.8491254796587,1
27,23.8624786325211,1
28,35.1685853689899,1
29,28.9212731711144,1
30,26.1163171256908,1
-4,40.7101080004094,2
-3,45.0122880225984,2
-2,59.3337149623419,2
-1,48.4366292488065,2
0,35.1456892422077,2
1,39.4073214180472,2
2,46.6978129802431,2
3,43.0604884558639,2
4,43.8708803733975,2
5,42.4845489880315,2
6,47.7660689460798,2
7,42.299013095711,2
8,47.246221772712,2
9,51.6540093680893,2
10,46.9693797990785,2
11,50.3168124418568,2
12,50.4632609216771,2
13,49.8160611263913,2
14,37.9344044965084,2
15,41.5712700945883,2
16,45.0165905248788,2
17,44.2531172513461,2
18,53.4167178760762,2
19,55.2758025076538,2
20,61.6351112291598,2
21,55.8379646803468,2
22,51.3788173359258,2
23,52.532765194018,2
24,52.6227120736247,2
25,54.8096269571014,2
26,57.3714509193494,2
27,53.4906581447441,2
28,54.7120524350974,2
29,52.6997359866204,2
30,29.8023699799726,2
-4,15.4367712091161,3
-3,16.576374513072,3
-2,20.6128142814723,3
-1,16.5529112383337,3
0,16.917399490358,3
1,15.4842624909954,3
2,13.5784669277847,3
3,13.3750616541579,3
4,15.6291927765437,3
5,12.9340594653721,3
6,13.6143464681223,3
7,15.5726874740497,3
8,17.0667811272621,3
9,17.3460098617464,3
10,18.3154275246683,3
11,23.2147407155358,3
12,16.7379900227486,3
13,16.4165917154529,3
14,21.6076581357567,3
15,22.3242119455141,3
16,24.2489781018043,3
17,15.7651625676447,3
18,14.5256191646158,3
19,13.8533111659803,3
20,19.9535987725373,3
21,13.1539174588379,3
22,18.3666125776978,3
23,19.771489331481,3
24,17.0730973713267,3
25,24.1768038327722,3
26,21.1622493835038,3
27,19.9376243560595,3
28,17.4813991734297,3
29,24.4724519294162,3
30,32.3628439759672,3
