"times","traj","cluster"
-4,29.8392405084995,1
-3,23.9630019717162,1
-2,24.4034962378809,1
-1,27.0581308011616,1
0,29.4228897767623,1
1,30.5954397056694,1
2,28.8222317177847,1
3,27.5975662415142,1
4,25.4702037630756,1
5,32.7287661833542,1
6,23.3516517346886,1
7,23.8509376705537,1
8,25.9467136962429,1
9,32.4643216444933,1
10,26.2738660454949,1
11,26.7652850551543,1
12,29.735399985944,1
13,26.0589930333565,1
14,27.5356303020047,1
15,26.275856186652,1
16,27.0632734438678,1
17,21.8105583926521,1
20,30.0951768669661,1
21,24.8371130028275,1
22,25.6276652028738,1
23,26.6026190526335,1
24,23.5939049167715,1
18,23.2948659391671,1
19,23.5840131682187,1
25,24.8830422370192,1
26,25.7195232397655,1
27,23.3621577364333,1
28,20.8457255258133,1
29,26.104976790485,1
-4,15.6471533516988,2
-3,13.1651597465256,2
-2,13.862365347086,2
-1,13.048396167431,2
0,18.5443829526585,2
1,19.7943665955806,2
2,42.296315245046,2
3,34.7589489128985,2
4,27.7355821302158,2
5,22.3564997607956,2
6,21.9407747537151,2
7,23.0385756033247,2
8,16.4233301208133,2
9,14.3337605976983,2
10,16.9766045351355,2
11,11.0070566336265,2
12,11.3505871212121,2
13,10.8933067013687,2
14,13.9952017157102,2
15,12.9416573692295,2
16,7.55135372329711,2
17,6.53859155049231,2
20,21.944843486062,2
21,18.8594935264428,2
22,9.48592159048681,2
23,7.0413652088395,2
24,6.01968863895375,2
18,10.0726278576888,2
19,8.29674414221866,2
25,6.62809061560653,2
26,7.57867792723885,2
27,19.7724124455943,2
28,11.7366267920822,2
29,10.2909294663494,2
