"Parameter","Data_Type","Region","Variable_Type","Cluster1_Mean","Cluster2_Mean","Mean_Difference","P_Value","Effect_Size","Test_Method","Significant","P_Adjusted","Significant_Adjusted"
"age","Baseline","N/A","Continuous",61.6666666666667,51,-10.6666666666667,0.017041222372643,1.35187546420903,"Independent t-test","Yes",0.238577113217002,"No"
"pre_vision","Baseline","N/A","Continuous",0.384166666666667,0.468888888888889,0.0847222222222223,0.572675125534866,0.331288210741152,"Independent t-test","No",0.719141290002318,"No"
"gender","Baseline","N/A","Binary",0.5,0.555555555555556,0.0555555555555556,1,0.0545544725589981,"Fisher's Exact Test","No",1,"No"
"PA_DCP_0_21","Blood Flow","Wide-field (0_21)","Continuous",35.99654,28.0552888888889,-7.94125111111111,0.0813869354681931,1.24084547554346,"Independent t-test","No",0.569708548277352,"No"
"PA_ICP_0_21","Blood Flow","Wide-field (0_21)","Continuous",41.22186,38.8847444444444,-2.33711555555556,0.18052666181292,0.643906281616305,"Independent t-test","No",0.719141290002318,"No"
"PA_SVP_0_21","Blood Flow","Wide-field (0_21)","Continuous",57.02106,52.5709444444444,-4.45011555555556,0.232639405768874,0.674678211207748,"Independent t-test","No",0.719141290002318,"No"
"VD_DCP_0_21","Blood Flow","Wide-field (0_21)","Continuous",3.88324,2.99152222222222,-0.891717777777778,0.380620961493024,0.581684428672729,"Independent t-test","No",0.719141290002318,"No"
"VD_SVP_0_21","Blood Flow","Wide-field (0_21)","Continuous",16.03892,17.1920444444444,1.15312444444444,0.59239218168807,0.290954264844102,"Independent t-test","No",0.719141290002318,"No"
"VD_ICP_0_21","Blood Flow","Wide-field (0_21)","Continuous",6.683,7.54808888888889,0.865088888888889,0.624345720025737,0.333385084433544,"Independent t-test","No",0.719141290002318,"No"
"PA_Choroid_0_21","Blood Flow","Wide-field (0_21)","Continuous",332.63682,330.065222222222,-2.57159777777775,0.667774055002153,0.295666131204793,"Independent t-test","No",0.719141290002318,"No"
"Thickness_INL_0_21","Thickness","Wide-field (0_21)","Continuous",34.02614,30.46535,-3.56079,0.279535700592132,0.548965645651838,"Independent t-test","No",0.719141290002318,"No"
"Thickness_GCL.IPL_0_21","Thickness","Wide-field (0_21)","Continuous",33.67968,30.625675,-3.054005,0.446423291795795,0.404901640811637,"Independent t-test","No",0.719141290002318,"No"
"Thickness_Retina_0_21","Thickness","Wide-field (0_21)","Continuous",250.482,231.0957375,-19.3862625,0.462159361666059,0.376112074848226,"Independent t-test","No",0.719141290002318,"No"
"Thickness_OuterRetina_0_21","Thickness","Wide-field (0_21)","Continuous",121.28042,112.91695,-8.36346999999999,0.494139790845477,0.399585072538751,"Independent t-test","No",0.719141290002318,"No"
