"Parameter","Data_Type","Region","Variable_Type","Cluster1_Mean","Cluster2_Mean","Mean_Difference","P_Value","Effect_Size","Test_Method","Significant","P_Adjusted","Significant_Adjusted"
"pre_vision","Baseline","N/A","Continuous",0.328888888888889,0.57,0.241111111111111,0.076615170887265,1.1269326971654,"Independent t-test","No",0.214522478484342,"No"
"age","Baseline","N/A","Continuous",60.2222222222222,54.1666666666667,-6.05555555555556,0.253181928239579,0.631760969816511,"Independent t-test","No",0.318261626052363,"No"
"gender","Baseline","N/A","Binary",0.666666666666667,0.666666666666667,0,1,0,"Fisher's Exact Test","No",1,"No"
"PA_ICP_0_21","Blood Flow","Wide-field (0_21)","Continuous",35.8607777777778,41.5833166666667,5.72253888888889,0.00554176096450773,1.54555789294066,"Independent t-test","Yes",0.0775846535031083,"No"
"PA_SVP_0_21","Blood Flow","Wide-field (0_21)","Continuous",49.0894222222222,57.6012833333333,8.51186111111112,0.0165115192953445,1.26754188791277,"Independent t-test","Yes",0.115580635067412,"No"
"VD_SVP_0_21","Blood Flow","Wide-field (0_21)","Continuous",16.3473222222222,19.7185666666667,3.37124444444445,0.0491447074326693,1.18347227928089,"Independent t-test","Yes",0.214522478484342,"No"
"PA_DCP_0_21","Blood Flow","Wide-field (0_21)","Continuous",27.0666,34.8502166666667,7.78361666666667,0.0710341984920763,1.17189008042911,"Independent t-test","No",0.214522478484342,"No"
"VD_ICP_0_21","Blood Flow","Wide-field (0_21)","Continuous",7.05684444444444,8.46555,1.40870555555556,0.266043621436655,0.603775552674823,"Independent t-test","No",0.318261626052363,"No"
"PA_Choroid_0_21","Blood Flow","Wide-field (0_21)","Continuous",319.2695,330.849716666667,11.5802166666667,0.272795679473454,0.50708519634508,"Independent t-test","No",0.318261626052363,"No"
"VD_DCP_0_21","Blood Flow","Wide-field (0_21)","Continuous",3.11482222222222,3.95091666666667,0.836094444444444,0.371006075868737,0.569333427540375,"Independent t-test","No",0.399545004781717,"No"
"Thickness_INL_0_21","Thickness","Wide-field (0_21)","Continuous",34.2556333333333,27.88655,-6.36908333333334,0.106669685949091,1.15480656030299,"Independent t-test","No",0.248895933881212,"No"
"Thickness_Retina_0_21","Thickness","Wide-field (0_21)","Continuous",255.586377777778,213.87715,-41.7092277777778,0.125273149809332,0.945665930008672,"Independent t-test","No",0.250546299618665,"No"
"Thickness_OuterRetina_0_21","Thickness","Wide-field (0_21)","Continuous",124.154488888889,109.7313,-14.4231888888889,0.156306790872236,0.814278163800353,"Independent t-test","No",0.257040524543474,"No"
"Thickness_GCL.IPL_0_21","Thickness","Wide-field (0_21)","Continuous",35.1760666666667,28.7575333333333,-6.41853333333334,0.165240337206519,0.948109561953151,"Independent t-test","No",0.257040524543474,"No"
