"N","Mean","SD","Median","Q1","Q3","Cluster","Parameter","Parameter_Type"
4,-9.26494999999998,5.52319651258823,-10.2571,-13.36555,-6.15649999999997,1,"PA_Choroid_0_21_improvement","PA_Choroid"
4,-1.13915,2.81254116710612,-0.0134500000000006,-1.352825,0.200224999999999,1,"PA_Choroid_0_6_improvement","PA_Choroid"
4,-0.799,1.84860672940461,0.00880000000000036,-0.89075,0.10055,1,"PA_Choroid_0_3_improvement","PA_Choroid"
4,-1.162175,3.29993116834781,0.102699999999999,-1.611,0.551524999999996,1,"PA_Choroid_0_9_improvement","PA_Choroid"
4,-1.375925,3.38934091860054,-0.303550000000001,-1.8723,0.192824999999999,1,"PA_Choroid_0_12_improvement","PA_Choroid"
4,-1.522425,3.25899508987561,-0.514049999999997,-2.187925,0.151450000000004,1,"PA_Choroid_0_15_improvement","PA_Choroid"
6,0.0991666666666667,0.243319063508527,0.1,-0.05,0.175,1,"vision_improvement_1m","VA"
8,2.9293375,5.42468543181143,2.50594999999998,-1.11674999999998,4.85990000000001,2,"PA_Choroid_0_21_improvement","PA_Choroid"
8,-0.197725,0.68369935069653,-0.0350999999999999,-0.170549999999999,0.0192749999999986,2,"PA_Choroid_0_6_improvement","PA_Choroid"
8,-0.1725875,0.45759622075581,-0.00539999999999985,-0.0628250000000001,0.0107499999999998,2,"PA_Choroid_0_3_improvement","PA_Choroid"
8,-0.0672125000000001,0.854414991905489,0.0225000000000044,-0.189324999999998,0.250124999999995,2,"PA_Choroid_0_9_improvement","PA_Choroid"
8,-0.225725000000001,1.21636223663607,-0.272350000000003,-0.789850000000001,-0.0170500000000011,2,"PA_Choroid_0_12_improvement","PA_Choroid"
8,-0.215037499999994,1.53390185562134,-0.414699999999996,-0.880949999999977,0.0787750000000003,2,"PA_Choroid_0_15_improvement","PA_Choroid"
9,0.186666666666667,0.124899959967968,0.2,0.2,0.28,2,"vision_improvement_1m","VA"
