"Cluster","PA_Choroid_Metric","VA_Metric","N","Pearson_r","Pearson_p","Pearson_CI_Lower","Pearson_CI_Upper","Effect_Size","Significant","Highly_Significant","Abs_Pearson_r"
1,"PA_Choroid_0_21_improvement","vision_improvement_1m",4,-0.781256528443034,0.218743471556966,-0.995138407270728,0.721792356367357,"Large",FALSE,FALSE,0.781256528443034
1,"PA_Choroid_0_3_improvement","vision_improvement_1m",4,0.720506591340992,0.279493408659008,-0.782298185421978,0.993573944206499,"Large",FALSE,FALSE,0.720506591340992
1,"PA_Choroid_0_6_improvement","vision_improvement_1m",4,0.686066007301959,0.313933992698041,-0.807387520486293,0.992638113503839,"Large",FALSE,FALSE,0.686066007301959
1,"PA_Choroid_0_9_improvement","vision_improvement_1m",4,0.669429787933501,0.330570212066499,-0.817838477539386,0.992172565778653,"Large",FALSE,FALSE,0.669429787933501
1,"PA_Choroid_0_12_improvement","vision_improvement_1m",4,0.604835716936638,0.395164283063362,-0.850850706652867,0.990275724328716,"Large",FALSE,FALSE,0.604835716936638
1,"PA_Choroid_0_15_improvement","vision_improvement_1m",4,0.59704668726472,0.40295331273528,-0.854181682877773,0.990036884665525,"Large",FALSE,FALSE,0.59704668726472
2,"PA_Choroid_0_12_improvement","vision_improvement_1m",8,-0.84726700268893,0.00791800283523621,-0.971756489519264,-0.35387194741987,"Large",TRUE,TRUE,0.84726700268893
2,"PA_Choroid_0_15_improvement","vision_improvement_1m",8,-0.841930888699723,0.00874018262797207,-0.970700746424703,-0.337480214998526,"Large",TRUE,TRUE,0.841930888699723
2,"PA_Choroid_0_9_improvement","vision_improvement_1m",8,-0.656331883180431,0.0771172216138431,-0.930602019552347,0.0899367129532172,"Large",FALSE,FALSE,0.656331883180431
2,"PA_Choroid_0_6_improvement","vision_improvement_1m",8,-0.573351019198278,0.137330389616373,-0.910257296475379,0.220347995126993,"Large",FALSE,FALSE,0.573351019198278
2,"PA_Choroid_0_3_improvement","vision_improvement_1m",8,-0.354243928701195,0.38926776163803,-0.847386951607907,0.467005852449856,"Medium",FALSE,FALSE,0.354243928701195
2,"PA_Choroid_0_21_improvement","vision_improvement_1m",8,-0.233743785122916,0.577432324034466,-0.805706452985619,0.563793159521743,"Small",FALSE,FALSE,0.233743785122916
