"Day","Metric_Type","Choroidal_Var","N","Correlation","P_Value","Significant"
16,"CV_RHR","PA_Choroid_0_21_improvement",12,0.441038831571251,0.151237899294935,FALSE
16,"CV_RHR","PA_Choroid_0_6_improvement",12,0.051046741876378,0.874812595303578,FALSE
16,"Steps_Max","PA_Choroid_0_21_improvement",12,0.321798954388786,0.307718125761,FALSE
16,"Steps_Max","PA_Choroid_0_6_improvement",12,0.523221307624886,0.0808748790824047,FALSE
17,"CV_RHR","PA_Choroid_0_21_improvement",10,-0.268714030173416,0.452825075251999,FALSE
17,"CV_RHR","PA_Choroid_0_6_improvement",10,0.147970768146841,0.68330854268011,FALSE
17,"Steps_Max","PA_Choroid_0_21_improvement",10,0.739455994027119,0.0145161101193655,TRUE
17,"Steps_Max","PA_Choroid_0_6_improvement",10,0.391874568966367,0.262729027935268,FALSE
18,"CV_RHR","PA_Choroid_0_21_improvement",9,-0.478757800516018,0.19229728153861,FALSE
18,"CV_RHR","PA_Choroid_0_6_improvement",9,0.463032534200324,0.209414474987609,FALSE
18,"Steps_Max","PA_Choroid_0_21_improvement",9,0.392225368730777,0.296442184543703,FALSE
18,"Steps_Max","PA_Choroid_0_6_improvement",9,0.281041418075914,0.463824655878417,FALSE
19,"CV_RHR","PA_Choroid_0_21_improvement",12,-0.361531648842858,0.248212398452176,FALSE
19,"CV_RHR","PA_Choroid_0_6_improvement",12,-0.0400531838781163,0.90164215237703,FALSE
19,"Steps_Max","PA_Choroid_0_21_improvement",12,0.474507906634404,0.119075471851205,FALSE
19,"Steps_Max","PA_Choroid_0_6_improvement",12,0.424491560576738,0.16900420775063,FALSE
20,"CV_RHR","PA_Choroid_0_21_improvement",12,-0.383359463349761,0.218653089320688,FALSE
20,"CV_RHR","PA_Choroid_0_6_improvement",12,-0.126516576149921,0.695200412514399,FALSE
20,"Steps_Max","PA_Choroid_0_21_improvement",12,0.268809985495731,0.398205828909178,FALSE
20,"Steps_Max","PA_Choroid_0_6_improvement",12,0.180043317599459,0.575524601716547,FALSE
21,"CV_RHR","PA_Choroid_0_21_improvement",11,-0.536846453556723,0.0886109641198453,FALSE
21,"CV_RHR","PA_Choroid_0_6_improvement",11,0.267256707478711,0.426913851980986,FALSE
21,"Steps_Max","PA_Choroid_0_21_improvement",11,0.150344051975757,0.659042886718793,FALSE
21,"Steps_Max","PA_Choroid_0_6_improvement",11,0.0686359606309433,0.841076271583895,FALSE
22,"CV_RHR","PA_Choroid_0_21_improvement",11,-0.27695766515637,0.409659529385366,FALSE
22,"CV_RHR","PA_Choroid_0_6_improvement",11,0.1127612976031,0.741325586393429,FALSE
22,"Steps_Max","PA_Choroid_0_21_improvement",11,0.190450477999793,0.574851101880196,FALSE
22,"Steps_Max","PA_Choroid_0_6_improvement",11,0.64404274670053,0.0324640089793478,TRUE
23,"CV_RHR","PA_Choroid_0_21_improvement",11,-0.105963372955124,0.756499705477628,FALSE
23,"CV_RHR","PA_Choroid_0_6_improvement",11,-0.315362152152682,0.34483166181926,FALSE
23,"Steps_Max","PA_Choroid_0_21_improvement",11,0.298701853707233,0.372259028183092,FALSE
23,"Steps_Max","PA_Choroid_0_6_improvement",11,0.678361696091495,0.021758921414481,TRUE
24,"CV_RHR","PA_Choroid_0_21_improvement",11,-0.428610664753742,0.18840915888302,FALSE
24,"CV_RHR","PA_Choroid_0_6_improvement",11,0.238474235566046,0.480080305859401,FALSE
24,"Steps_Max","PA_Choroid_0_21_improvement",11,0.476602781602999,0.138306144963371,FALSE
24,"Steps_Max","PA_Choroid_0_6_improvement",11,0.540733766866476,0.0858854564734708,FALSE
25,"CV_RHR","PA_Choroid_0_21_improvement",11,-0.350801942119732,0.290168039268329,FALSE
25,"CV_RHR","PA_Choroid_0_6_improvement",11,-0.668599226300588,0.0245005316818549,TRUE
25,"Steps_Max","PA_Choroid_0_21_improvement",11,0.329907068273403,0.321783259084055,FALSE
25,"Steps_Max","PA_Choroid_0_6_improvement",11,0.0292836873571816,0.931889608111233,FALSE
26,"CV_RHR","PA_Choroid_0_21_improvement",11,-0.300941897477996,0.368508421453529,FALSE
26,"CV_RHR","PA_Choroid_0_6_improvement",11,0.457270444313839,0.157338651021404,FALSE
26,"Steps_Max","PA_Choroid_0_21_improvement",11,0.218390567218026,0.518838575452366,FALSE
26,"Steps_Max","PA_Choroid_0_6_improvement",11,0.553690845432753,0.0772034621620958,FALSE
27,"CV_RHR","PA_Choroid_0_21_improvement",10,-0.377582212856967,0.282063769227401,FALSE
27,"CV_RHR","PA_Choroid_0_6_improvement",10,-0.0140412467793137,0.969290827664061,FALSE
27,"Steps_Max","PA_Choroid_0_21_improvement",10,0.173796990732049,0.631095975457082,FALSE
27,"Steps_Max","PA_Choroid_0_6_improvement",10,0.6393155545708,0.0465640915057595,TRUE
28,"CV_RHR","PA_Choroid_0_21_improvement",11,-0.531232011598939,0.0926472746164474,FALSE
28,"CV_RHR","PA_Choroid_0_6_improvement",11,0.0169523212580169,0.960544675481512,FALSE
28,"Steps_Max","PA_Choroid_0_21_improvement",11,0.350960429836132,0.289935062626839,FALSE
28,"Steps_Max","PA_Choroid_0_6_improvement",11,0.680041567218735,0.0213102042468563,TRUE
29,"CV_RHR","PA_Choroid_0_21_improvement",12,-0.0863194365317058,0.789669561190331,FALSE
29,"CV_RHR","PA_Choroid_0_6_improvement",12,0.0939109780233049,0.77158709028894,FALSE
29,"Steps_Max","PA_Choroid_0_21_improvement",12,0.406041148099858,0.190300629019964,FALSE
29,"Steps_Max","PA_Choroid_0_6_improvement",12,0.607806443411832,0.0360331590274914,TRUE
30,"CV_RHR","PA_Choroid_0_21_improvement",11,-0.619455580460818,0.0420982194147786,TRUE
30,"CV_RHR","PA_Choroid_0_6_improvement",11,0.25612320702545,0.447135339374855,FALSE
30,"Steps_Max","PA_Choroid_0_21_improvement",11,0.181085150113432,0.594133156869423,FALSE
30,"Steps_Max","PA_Choroid_0_6_improvement",11,0.622517214171519,0.0408025357073716,TRUE
