"time_phase","metric","mean_value","sd_value","median_value","n_observations","cluster"
"Acute Recovery","cv_rhr_1",9.17984760697615,2.24667592052976,9.82416293988263,23,1
"Acute Recovery","steps_max",119.04347826087,13.4518611786608,118,23,1
"Early Recovery","cv_rhr_1",9.84382167385357,2.72832634352471,9.82278538114367,23,1
"Early Recovery","steps_max",115.217391304348,22.558925912816,116,23,1
"Late Recovery","cv_rhr_1",10.359626798612,2.70341195557249,10.0787316550597,86,1
"Late Recovery","steps_max",105.162790697674,37.9646462367963,115,86,1
"Mid Recovery","cv_rhr_1",9.21053896936884,2.33499735435273,8.84905561326658,42,1
"Mid Recovery","steps_max",112.785714285714,31.5954116105995,117.5,42,1
"Pre-Surgery","cv_rhr_1",10.0839390400229,3.60322532031872,9.13465996288723,21,1
"Pre-Surgery","steps_max",118.380952380952,27.1872694297831,121,21,1
"Acute Recovery","cv_rhr_1",8.58911184599924,2.36712044116434,8.65739099707479,34,2
"Acute Recovery","steps_max",132.558823529412,31.8530633857848,129.5,34,2
"Early Recovery","cv_rhr_1",8.24230893046861,2.74474120308955,8.19864555337135,34,2
"Early Recovery","steps_max",128.205882352941,32.4576921935493,120,34,2
"Late Recovery","cv_rhr_1",8.14370580433225,2.02543668012561,8.18773332353432,120,2
"Late Recovery","steps_max",129.658333333333,30.0264577542225,124,120,2
"Mid Recovery","cv_rhr_1",8.43642035256811,2.15143023690303,8.29202411021795,68,2
"Mid Recovery","steps_max",128.029411764706,35.7603843965096,120.5,68,2
"Pre-Surgery","cv_rhr_1",8.80220461962018,3.22787663548627,8.43208425270205,36,2
"Pre-Surgery","steps_max",129.222222222222,36.0706537713425,124.5,36,2
