"Parameter","Parameter_Type","N","Pearson_r","Pearson_p","Pearson_CI_lower","Pearson_CI_upper","Spearman_rho","Spearman_p","Significant_Pearson","Significant_Spearman","Pearson_p_fdr","Spearman_p_fdr","Significant_Pearson_fdr","Significant_Spearman_fdr"
"PA_SVP_0_21_improvement","OCTA_Key",11,-0.791869659386481,0.00367473276081801,-0.943541111074169,-0.365719985729038,-0.772727272727273,0.00806166279658787,TRUE,TRUE,0.0698199224555422,0.15317159313517,FALSE,FALSE
"PA_InnerRetina_0_21_improvement","OCTA_Key",11,-0.668066215138374,0.0246569209996424,-0.905183358586925,-0.11379542841779,-0.6,0.0561788662417929,TRUE,FALSE,0.234240749496603,0.480947480395115,FALSE,FALSE
"PA_DCP_0_21_improvement","OCTA_Key",11,-0.603104251974816,0.0495029659288786,-0.883382727400318,-0.00505981427867246,-0.563636363636364,0.0759390758518602,TRUE,FALSE,0.313518784216231,0.480947480395115,FALSE,FALSE
"PA_ICP_0_21_improvement","OCTA_Key",11,-0.554082936536165,0.0769502792279155,-0.866087384391257,0.068590084140133,-0.509090909090909,0.114016394963896,FALSE,FALSE,0.365513826332598,0.521433009137917,FALSE,FALSE
"PA_Choroid_0_21_improvement","OCTA_Key",11,-0.458766607582815,0.155810672151601,-0.830175221140521,0.194686695713829,-0.481818181818182,0.137219212931031,FALSE,FALSE,0.478445320911144,0.521433009137917,FALSE,FALSE
"PA_InnerRetina_0_6_improvement","OCTA_Key",11,-0.448820716289404,0.166142536845923,-0.826241498435024,0.20670745438271,-0.445454545454545,0.172786506584626,FALSE,FALSE,0.478445320911144,0.547157270851314,FALSE,FALSE
"Thickness_GCL.IPL_0_21_improvement","OCTA_Key",11,0.437131343097009,0.178812738536383,-0.220586882845913,0.821570669475502,0.127272727272727,0.713791318994479,FALSE,FALSE,0.478445320911144,1,FALSE,FALSE
"age","Baseline",11,0.417441713957922,0.201450661436271,-0.24337837243718,0.813584668799635,0.323463253780526,0.331890064580612,FALSE,FALSE,0.478445320911144,0.788238903378953,FALSE,FALSE
"Thickness_GCL.IPL_0_6_improvement","OCTA_Key",11,0.392707139727401,0.232203956329459,-0.271011450800621,0.803336092122267,0.0545454545454545,0.881472363014635,FALSE,FALSE,0.490208352251081,1,FALSE,FALSE
"PA_DCP_0_6_improvement","OCTA_Key",11,-0.32106238387621,0.335698242024935,-0.77221153863686,0.345320408723606,-0.109090909090909,0.754880444355198,FALSE,FALSE,0.593112135181633,1,FALSE,FALSE
"PA_Choroid_0_6_improvement","OCTA_Key",11,0.275469269427584,0.412284404584184,-0.388624893066806,0.751209129097456,0.327272727272727,0.327015951002671,FALSE,FALSE,0.593112135181633,0.788238903378953,FALSE,FALSE
"Thickness_INL_0_21_improvement","OCTA_Key",11,0.271562658467779,0.41921271932202,-0.39220378451384,0.749363603323506,-0.0909090909090909,0.796592401118967,FALSE,FALSE,0.593112135181633,1,FALSE,FALSE
"vision_change_percent","Vision",11,-0.266636282430354,0.428029019626351,-0.747025698290778,0.396688427753472,0,1,FALSE,FALSE,0.593112135181633,1,FALSE,FALSE
"Thickness_INL_0_6_improvement","OCTA_Key",11,0.261656517585067,0.437029994344361,-0.401189718470803,0.744650318379152,0.0545454545454545,0.881472363014635,FALSE,FALSE,0.593112135181633,1,FALSE,FALSE
"vision_improvement_1m","Vision",11,-0.0735169411667923,0.829912068685684,-0.644949071195698,0.550641918502206,-0.0273349228546923,0.936414021329088,FALSE,FALSE,0.931100527524283,1,FALSE,FALSE
"PA_ICP_0_6_improvement","OCTA_Key",11,-0.0700312687473626,0.83788203343775,-0.642898126705361,0.553078580601218,0.0454545454545455,0.902917866811604,FALSE,FALSE,0.931100527524283,1,FALSE,FALSE
"PA_SVP_0_6_improvement","OCTA_Key",11,-0.0601306996837263,0.860592088464514,-0.637027553367662,0.559941925510947,0,1,FALSE,FALSE,0.931100527524283,1,FALSE,FALSE
"post_vision_1m","Vision",11,-0.0507944196633682,0.882095236601952,-0.63142958243751,0.566337055721482,-0.0508149547319797,0.88204785717993,FALSE,FALSE,0.931100527524283,1,FALSE,FALSE
"pre_vision","Vision",11,0.00991907089637019,0.976908976005871,-0.593487312557496,0.60618714802923,-0.125317348130067,0.713518028393449,FALSE,FALSE,0.976908976005871,1,FALSE,FALSE
