"Parameter","Parameter_Type","N","Pearson_r","Pearson_p","Pearson_CI_lower","Pearson_CI_upper","Spearman_rho","Spearman_p","Significant_Pearson","Significant_Spearman","Pearson_p_fdr","Spearman_p_fdr","Significant_Pearson_fdr","Significant_Spearman_fdr"
"PA_SVP_0_21_improvement","OCTA_Key",12,0.541313378795179,0.0691256734757466,-0.0472745926351293,0.85088006452283,0.601398601398601,0.0428068689875762,FALSE,TRUE,0.624569645951644,0.813330510763948,FALSE,FALSE
"PA_Choroid_0_6_improvement","OCTA_Key",12,0.497366431731588,0.0999196845410469,-0.107108039846225,0.833386660800962,0.34965034965035,0.26600430932519,FALSE,FALSE,0.624569645951644,0.937060696675666,FALSE,FALSE
"Thickness_INL_0_6_improvement","OCTA_Key",11,-0.486273509090654,0.129359023133719,-0.840865312679105,0.160386895734106,-0.236363636363636,0.485475943733222,FALSE,FALSE,0.624569645951644,0.937060696675666,FALSE,FALSE
"Thickness_GCL.IPL_0_6_improvement","OCTA_Key",11,-0.473667755056229,0.14109683794084,-0.836000401521134,0.176301950590732,-0.545454545454545,0.0874530601806712,FALSE,FALSE,0.624569645951644,0.830804071716377,FALSE,FALSE
"vision_change_percent","Vision",15,-0.378347858454291,0.164360433145169,-0.746021606481471,0.16610919902198,-0.0936974961203381,0.73978476053342,FALSE,FALSE,0.624569645951644,0.937060696675666,FALSE,FALSE
"Thickness_GCL.IPL_0_21_improvement","OCTA_Key",11,-0.405463470738541,0.21602143819514,-0.808652126127973,0.256895590753025,-0.136363636363636,0.693511174791049,FALSE,FALSE,0.684067887617944,0.937060696675666,FALSE,FALSE
"Thickness_INL_0_21_improvement","OCTA_Key",11,-0.366413673905005,0.267717537303356,-0.792168208117228,0.299233606928444,-0.309090909090909,0.356039941834193,FALSE,FALSE,0.726661886966252,0.937060696675666,FALSE,FALSE
"PA_DCP_0_21_improvement","OCTA_Key",12,0.227667473004311,0.476683042964788,-0.398271836749031,0.708939902121421,0.321678321678322,0.308312360549134,FALSE,FALSE,0.922419075520266,0.937060696675666,FALSE,FALSE
"vision_improvement_1m","Vision",15,-0.182182606821271,0.515788507736195,-0.63516814232536,0.364055891642962,-0.209490460129704,0.453652181121494,FALSE,FALSE,0.922419075520266,0.937060696675666,FALSE,FALSE
"age","Baseline",15,-0.178912963819652,0.523478156908843,-0.633147541963538,0.366984147375724,-0.168157693040261,0.549130963309787,FALSE,FALSE,0.922419075520266,0.937060696675666,FALSE,FALSE
"pre_vision","Vision",15,0.14854601121058,0.597255157775221,-0.39367324140583,0.614080633633282,0.0996481467527646,0.723837065960646,FALSE,FALSE,0.922419075520266,0.937060696675666,FALSE,FALSE
"PA_Choroid_0_21_improvement","OCTA_Key",12,0.159338606210181,0.620852004333116,-0.456288135008747,0.671807040827686,0.195804195804196,0.54287352062982,FALSE,FALSE,0.922419075520266,0.937060696675666,FALSE,FALSE
"PA_ICP_0_21_improvement","OCTA_Key",12,0.154723992740131,0.631128841145445,-0.460026278536286,0.66920284036866,0.293706293706294,0.354332534211376,FALSE,FALSE,0.922419075520266,0.937060696675666,FALSE,FALSE
"PA_DCP_0_6_improvement","OCTA_Key",12,0.0999548716306209,0.757264793010887,-0.502788857354374,0.637298339435153,-0.034965034965035,0.921184082791962,FALSE,FALSE,0.968399258781316,0.956169154937949,FALSE,FALSE
"PA_SVP_0_6_improvement","OCTA_Key",12,-0.0481796541438815,0.881799086397145,-0.605343298073263,0.540671742778354,0.027972027972028,0.9386633634935,FALSE,FALSE,0.968399258781316,0.956169154937949,FALSE,FALSE
"PA_InnerRetina_0_6_improvement","OCTA_Key",12,-0.0355455941060772,0.912671712811757,-0.59726323585254,0.549567010729576,-0.020979020979021,0.956169154937949,FALSE,FALSE,0.968399258781316,0.956169154937949,FALSE,FALSE
"PA_InnerRetina_0_21_improvement","OCTA_Key",12,0.0232196231543931,0.942899016293615,-0.558119369382208,0.589268774542645,0.111888111888112,0.732775446034506,FALSE,FALSE,0.968399258781316,0.937060696675666,FALSE,FALSE
"post_vision_1m","Vision",15,0.0186253900621417,0.947471220539182,-0.498392665781824,0.525870850106558,-0.0506369683541833,0.857768263477818,FALSE,FALSE,0.968399258781316,0.956169154937949,FALSE,FALSE
"PA_ICP_0_6_improvement","OCTA_Key",12,0.0128437606747004,0.968399258781316,-0.565224154679192,0.582452091274844,0.188811188811189,0.557827775088338,FALSE,FALSE,0.968399258781316,0.937060696675666,FALSE,FALSE
