"Parameter","Data_Type","Region","Cluster1_Mean","Cluster2_Mean","Mean_Difference","P_Value","Significant","Parameter_Type","P_Adjusted","Significant_Adjusted"
"VD_SVP_0_21","Blood Flow","Macular",1.25853333333333,-2.52061111111111,-3.77914444444444,0.00187864177302099,"Yes","OCTA",0.0242595126996184,"Yes"
"VD_ICP_0_21","Blood Flow","Macular",1.28918333333333,-0.994888888888889,-2.28407222222222,0.00346564467137405,"Yes","OCTA",0.0242595126996184,"Yes"
"PA_Choroid_0_21","Blood Flow","Macular",-7.87649999999999,9.78785555555555,17.6643555555555,0.109520716796754,"No","OCTA",0.19166125439432,"No"
"PA_DCP_0_21","Blood Flow","Macular",-3.17735,1.08034444444444,4.25769444444444,0.150775824062035,"No","OCTA",0.234540170763165,"No"
"PA_ICP_0_21","Blood Flow","Macular",-1.40211666666667,1.36905555555556,2.77117222222222,0.205114445687909,"No","OCTA",0.287160223963073,"No"
"VD_DCP_0_21","Blood Flow","Macular",0.35695,-0.338577777777778,-0.695527777777778,0.251866540087161,"No","OCTA",0.320557414656387,"No"
"PA_SVP_0_21","Blood Flow","Macular",-1.56838333333333,-0.561444444444444,1.00693888888889,0.672586488394298,"No","OCTA",0.724323910578475,"No"
"Thickness_INL_0_21","Thickness","Macular",-2.86926666666667,2.94471111111111,5.81397777777778,0.030845588266928,"Yes","OCTA",0.143946078578997,"No"
"Thickness_Retina_0_21","Thickness","Macular",-25.1969333333333,12.1643666666667,37.3613,0.0443995047730762,"Yes","OCTA",0.155398266705767,"No"
"Thickness_OuterRetina_0_21","Thickness","Macular",-8.83505,3.54875555555556,12.3838055555556,0.0790952379207406,"No","OCTA",0.184555555148395,"No"
"Thickness_GCL.IPL_0_21","Thickness","Macular",-2.10055,0.653622222222222,2.75417222222222,0.416189180161691,"No","OCTA",0.485554043521972,"No"
"vision","Vision (LogMAR)","N/A",0.00762624842677918,0.200686663775987,0.193060415349208,0.071502532830802,"No","Improvement (Positive=Better)",0.184555555148395,"No"
"age","Vision (LogMAR)","N/A",62.8333333333333,54.4444444444444,-8.38888888888889,0.101449153865323,"No","Vision (LogMAR)",0.19166125439432,"No"
"pre_vision","Vision (LogMAR)","N/A",0.481232499744238,0.462266252281018,-0.0189662474632195,0.923543211309658,"No","Baseline (Lower=Better)",0.923543211309658,"No"
