"Parameter","Data_Type","Region","Cluster1_Mean","Cluster2_Mean","Mean_Difference","P_Value","Significant","P_Adjusted","Significant_Adjusted","Effect_Size","Importance_Score"
"Thickness_Retina_0_21","Thickness","Macular",-21.4233857142857,13.532675,34.9560607142857,0.0690740582049642,"No",0.1934073629739,"No",34.9560607142857,40.5729762795873
"PA_Choroid_0_21","Blood Flow","Macular",-7.36864285714285,11.551525,18.9201678571429,0.0946077614970455,"No",0.220751443493106,"No",18.9201678571429,19.3756374611863
"Thickness_OuterRetina_0_21","Thickness","Macular",-7.53258571428571,3.957075,11.4896607142857,0.11846275515412,"No",0.236925510308241,"No",11.4896607142857,10.6442304595471
"VD_SVP_0_21","Blood Flow","Macular",0.891728571428571,-2.67205,-3.56377857142857,0.00365722754548837,"Yes",0.0256005928184186,"Yes",3.56377857142857,8.68438670561061
"Thickness_INL_0_21","Thickness","Macular",-2.38298571428572,3.2459625,5.62894821428571,0.0527874040175489,"No",0.184755914061421,"No",5.62894821428571,7.1908107551756
"VD_ICP_0_21","Blood Flow","Macular",0.8917,-0.9326,-1.8243,0.0239459096110923,"Yes",0.111747578185097,"No",1.8243,2.95676826525604
"age","Vision","N/A",60.7142857142857,55.25,-5.46428571428572,0.29517432822035,"No",0.41324405950849,"No",5.46428571428572,2.89564202499847
"PA_ICP_0_21","Blood Flow","Macular",-1.12311428571429,1.471325,2.59443928571428,0.241044642710273,"No",0.41324405950849,"No",2.59443928571428,1.60311056282055
"PA_DCP_0_21","Blood Flow","Macular",-2.12711428571429,0.6936,2.82071428571429,0.362576271965991,"No",0.461460709774898,"No",2.82071428571429,1.24280846502045
"vision","Vision","N/A",-0.0628571428571429,0.21,0.272857142857143,0.000418813633041832,"Yes",0.00586339086258565,"Yes",0.272857142857143,0.921705722064147
"Thickness_GCL.IPL_0_21","Thickness","Macular",-1.74725714285714,0.6887625,2.43601964285714,0.50624234311449,"No",0.590616066966905,"No",2.43601964285714,0.720188579976332
"VD_DCP_0_21","Blood Flow","Macular",0.291085714285714,-0.3678875,-0.658973214285715,0.293103777747562,"No",0.41324405950849,"No",0.658973214285715,0.351218610548418
"PA_SVP_0_21","Blood Flow","Macular",-1.55131428571429,-0.450512499999999,1.10080178571429,0.663541689069658,"No",0.663541689069658,"No",1.10080178571429,0.196087788094626
"pre_vision","Vision","N/A",0.465714285714286,0.39,-0.0757142857142857,0.56030160098507,"No",0.603401724137768,"No",0.0757142857142857,0.019048058907652
