"Parameter","Rho","P_value"
"PA_PED",-0.518181818181818,0.102491539790964
"PA_NerveFiber",-0.461538461538462,0.130948069507173
"PA_Superficial",-0.41958041958042,0.174519008130059
"PA_Choriocapillaris",-0.321678321678322,0.307909876180653
"SVD_Superficial",-0.314685314685315,0.319138785503305
"PA_SVP",-0.314685314685315,0.319138785503305
"VD_DCP",0.251748251748252,0.429918785032884
"PA_ICP",-0.251748251748252,0.429918785032884
"VD_InnerRetina",-0.230769230769231,0.470531995381542
"VD_SVP",-0.20979020979021,0.512840943181826
"VD_Superficial",-0.202797202797203,0.527302354166108
"PA_DCP",0.195804195804196,0.541935885731317
"PA_Choroid",-0.167832167832168,0.602099427786538
"PA_Retina",-0.160839160839161,0.617523489540143
"VD_ICP",-0.153846153846154,0.633090681246262
"VD_Deep",-0.132867132867133,0.680597508286082
"PA_Vitreous",0.125874125874126,0.696683109395766
"PA_Deep",0.0629370629370629,0.845930921228779
"SVD_NerveFiber",0.055944055944056,0.862898073694971
"PA_OuterRetina",0.0545454545454545,0.873446577523315
"VD_NerveFiber",-0.013986013986014,0.96559026891878
"PA_InnerRetina",0.00699300699300699,0.982791768902848
"PA_Avascular",0,1
