"Parameter","Rho","P_value"
"PA_Retina",0.761904761904762,0.0280049391530718
"PA_DCP",0.738095238095238,0.0365527610528607
"PA_SVP",0.738095238095238,0.0365527610528607
"PA_Deep",0.714285714285714,0.0465282322841672
"PA_ICP",0.642857142857143,0.0855588910126731
"PA_InnerRetina",0.619047619047619,0.101733037454265
"VD_InnerRetina",0.452380952380952,0.260404767436885
"PA_Superficial",0.428571428571429,0.28940322484679
"PA_OuterRetina",0.404761904761905,0.319888641228816
"PA_PED",0.404761904761905,0.319888641228816
"SVD_Superficial",0.380952380952381,0.351812553117565
"PA_Avascular",0.380952380952381,0.351812553117565
"VD_SVP",0.380952380952381,0.351812553117565
"VD_Deep",0.357142857142857,0.385120643556256
"VD_Superficial",0.357142857142857,0.385120643556256
"SVD_NerveFiber",0.261904761904762,0.530922861565801
"PA_NerveFiber",0.19047619047619,0.651401495702482
"VD_NerveFiber",0.19047619047619,0.651401495702482
"VD_DCP",0.142857142857143,0.735764859879812
"PA_Choriocapillaris",-0.119047619047619,0.77888572605238
"PA_Choroid",-0.119047619047619,0.77888572605238
"VD_ICP",0.119047619047619,0.77888572605238
"PA_Vitreous",0.0476190476190476,0.910849168519584
