"Parameter","Rho","P_value"
"SVD_NerveFiber",0.55,0.0272939727097306
"VD_NerveFiber",0.547058823529412,0.0283010872421088
"VD_Superficial",0.505882352941176,0.0455816161239403
"SVD_Superficial",0.5,0.0485802888870239
"PA_Deep",0.406862745098039,0.10506394931044
"PA_InnerRetina",0.377450980392157,0.135272639034476
"PA_DCP",0.357843137254902,0.158463989982369
"VD_InnerRetina",0.338235294117647,0.20006555877869
"VD_Deep",0.335294117647059,0.204254580845515
"PA_Retina",0.311274509803922,0.223923936072405
"VD_DCP",0.214705882352941,0.424559233620103
"VD_SVP",-0.194117647058824,0.471289728362107
"PA_Choroid",0.183823529411765,0.480034401339913
"PA_PED",-0.156862745098039,0.547680584702937
"PA_ICP",0.142156862745098,0.586262862651232
"VD_ICP",-0.120588235294118,0.656424514748595
"PA_NerveFiber",0.0833333333333333,0.750504450153402
"PA_Superficial",0.0686274509803922,0.79354244291606
"PA_SVP",0.0612745098039216,0.815282850275457
"PA_Choriocapillaris",0.0490196078431373,0.851794399000938
"PA_Vitreous",-0.0343137254901961,0.895980810455174
"PA_Avascular",0.00980392156862745,0.970210571395858
"PA_OuterRetina",0.00980392156862745,0.970210571395858
