"Parameter","Rho","P_value"
"PA_Avascular",0.533333333333333,0.139226867543978
"PA_OuterRetina",0.533333333333333,0.139226867543978
"PA_Choriocapillaris",0.5,0.170470660787054
"PA_PED",-0.4,0.286105101908313
"VD_InnerRetina",0.3,0.432845326709482
"PA_Retina",0.283333333333333,0.46003032896572
"SVD_NerveFiber",0.266666666666667,0.487922274838701
"PA_DCP",0.266666666666667,0.487922274838701
"VD_DCP",0.25,0.516489552301226
"PA_ICP",-0.216666666666667,0.575514895711925
"PA_SVP",-0.216666666666667,0.575514895711925
"PA_Deep",0.183333333333333,0.636819811762894
"PA_InnerRetina",0.183333333333333,0.636819811762894
"PA_NerveFiber",-0.19047619047619,0.651401495702482
"VD_ICP",0.15,0.700094230969142
"SVD_Superficial",0.133333333333333,0.732367505236297
"PA_Superficial",-0.133333333333333,0.732367505236297
"VD_Deep",0.133333333333333,0.732367505236297
"VD_NerveFiber",-0.133333333333333,0.732367505236297
"VD_SVP",0.116666666666667,0.765007942926146
"PA_Choroid",0.1,0.797971695234851
"VD_Superficial",0.0833333333333333,0.831214097710308
"PA_Vitreous",0.05,0.89835280435063
