"Parameter","Comparison","P_Value","P_Adjusted","Significant"
"PA_Choroid","2 vs 1",0.196428571428571,0.392857142857142,FALSE
"PA_Choroid","3 vs 1",1,1,FALSE
"PA_DCP","2 vs 1",1,1,FALSE
"PA_DCP","3 vs 1",1,1,FALSE
"PA_ICP","2 vs 1",1,1,FALSE
"PA_ICP","3 vs 1",1,1,FALSE
"PA_SVP","2 vs 1",0.196428571428571,0.392857142857142,FALSE
"PA_SVP","3 vs 1",0.4,0.4,FALSE
"VD_DCP","2 vs 1",1,1,FALSE
"VD_DCP","3 vs 1",1,1,FALSE
"VD_ICP","2 vs 1",1,1,FALSE
"VD_ICP","3 vs 1",1,1,FALSE
"VD_SVP","2 vs 1",1,1,FALSE
"VD_SVP","3 vs 1",1,1,FALSE
