"Parameter","Comparison","Mean_Diff","P_Value","P_Adjusted","Significant","Effect_Size"
"PA_SVP","2 vs 1",7.50616,0.0687,0.9618,FALSE,1.61700429788818
"PA_Choroid","2 vs 1",12.2790533333333,0.833,1,FALSE,0.354755412551139
"PA_Choroid","3 vs 1",2.94496666666667,0.991,1,FALSE,0.481373374515371
"PA_DCP","2 vs 1",5.59901333333333,0.296,1,FALSE,1.10644238484966
"PA_DCP","3 vs 1",2.45776666666666,0.807,1,FALSE,0.429713667186387
"PA_ICP","2 vs 1",4.5543,0.435,1,FALSE,0.817894193608304
"PA_ICP","3 vs 1",2.5805,0.793,1,FALSE,0.756385710195217
"PA_SVP","3 vs 1",4.70163333333333,0.349,1,FALSE,4.58967967649296
"VD_DCP","2 vs 1",-0.112786666666667,0.985,1,FALSE,0.11317514839888
"VD_DCP","3 vs 1",-0.5941,0.72,1,FALSE,0.552974143930479
"VD_ICP","2 vs 1",-0.301886666666668,0.952,1,FALSE,0.209730128575945
"VD_ICP","3 vs 1",-0.00153333333333328,1,1,FALSE,0.000830264839236269
"VD_SVP","2 vs 1",1.65492,0.621,1,FALSE,0.646251821992702
"VD_SVP","3 vs 1",0.328366666666666,0.984,1,FALSE,0.105707009790585
