"time_window","hr_metric","step_metric","combo_name","hr_correlation","step_correlation","combined_correlation","auc","p_value","composite_score","n_patients","abs_combined_corr","rank"
"late_recovery","min_rhr_1","steps_max","min_rhr_1 + steps_max",0.298807152333598,0.418330013267038,0.478091443733757,0.785714285714286,0.153958637486398,0.468041479924646,11,0.478091443733757,1
"late_recovery","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",0.298807152333598,0.418330013267038,0.478091443733757,0.785714285714286,0.179308007166457,0.454802354966625,11,0.478091443733757,2
"late_recovery","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",0.0597614304667197,0.418330013267038,0.478091443733757,0.785714285714286,0.227138493476019,0.434264143551741,11,0.478091443733757,3
"early_recovery","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",0.358568582800318,0.358568582800318,0.478091443733757,0.785714285714286,0.293055889191741,0.412132201089738,11,0.478091443733757,4
"acute_recovery","max_rhr_1","steps_max","max_rhr_1 + steps_max",0.358568582800318,0.180104818759793,0.418330013267038,0.75,0.203300176490964,0.405704454131644,11,0.418330013267038,5
"baseline","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",0.47918173350486,0.179284291400159,0.358568582800318,0.714285714285714,0.242745656109576,0.352111425393247,11,0.358568582800318,6
"baseline","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",0.493829164658431,-0.113960576459638,0.341881729378914,0.714285714285714,0.284532264780938,0.331640673291345,10,0.341881729378914,7
"baseline","max_rhr_1","steps_total","max_rhr_1 + steps_total",0.389335158472699,0.119522860933439,0.358568582800318,0.714285714285714,0.319321366116741,0.328296123087952,11,0.358568582800318,8
"early_recovery","max_rhr_1","steps_total","max_rhr_1 + steps_total",0.119522860933439,0.418330013267038,0.298807152333598,0.678571428571429,0.2232111803721,0.321208243506278,11,0.298807152333598,9
"mid_recovery","max_rhr_1","steps_total","max_rhr_1 + steps_total",0.179284291400159,0.179284291400159,0.298807152333598,0.678571428571429,0.239002749982284,0.315270852725781,11,0.298807152333598,10
"late_recovery","min_rhr_1","steps_total","min_rhr_1 + steps_total",0.298807152333598,0.358568582800318,0.298807152333598,0.678571428571429,0.26768041649752,0.305428112457636,11,0.298807152333598,11
"early_recovery","min_rhr_1","steps_total","min_rhr_1 + steps_total",0.358568582800318,0.418330013267038,0.298807152333598,0.678571428571429,0.285739079951371,0.29975750392846,11,0.298807152333598,12
"early_recovery","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",0.119522860933439,0.358568582800318,0.298807152333598,0.678571428571428,0.342462091628953,0.284028931365135,11,0.298807152333598,13
"baseline","max_rhr_1","steps_max","max_rhr_1 + steps_max",0.457229956859213,-0.113960576459638,0.265908011739155,0.666666666666667,0.317146651919356,0.272777845142761,10,0.265908011739155,14
"mid_recovery","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",0.179284291400159,0.179284291400159,0.298807152333598,0.678571428571429,0.392037269722803,0.272285961147216,11,0.298807152333598,15
"late_recovery","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",0.0597614304667197,0.418330013267038,0.298807152333598,0.678571428571429,0.399948985512178,0.270550512436441,11,0.298807152333598,16
"acute_recovery","max_rhr_1","steps_total","max_rhr_1 + steps_total",0.358568582800318,0.119522860933439,0.298807152333598,0.678571428571429,0.399964656619173,0.270547109131417,11,0.298807152333598,17
"acute_recovery","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",0.0597614304667197,0.180104818759793,0.298807152333598,0.678571428571429,0.411394257284027,0.268099787337443,11,0.298807152333598,18
"early_recovery","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",0.0597614304667197,0.418330013267038,0.298807152333598,0.678571428571429,0.443648639373289,0.261543601558718,11,0.298807152333598,19
"early_recovery","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",0.0597614304667197,0.358568582800318,0.358568582800318,0.714285714285714,0.708701900375816,0.259048999358432,11,0.358568582800318,20
"mid_recovery","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",0.179284291400159,0,0.298807152333598,0.678571428571429,0.473502956859299,0.25588689327088,11,0.298807152333598,21
"acute_recovery","min_rhr_1","steps_max","min_rhr_1 + steps_max",0.0598977166881075,0.180104818759793,0.298807152333598,0.678571428571429,0.501959909769917,0.250817625832424,11,0.298807152333598,22
"baseline","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",0.389335158472699,0.179284291400159,0.239045721866879,0.642857142857143,0.323870714911189,0.250686809874503,11,0.239045721866879,23
"early_recovery","min_rhr_1","steps_max","min_rhr_1 + steps_max",0.358568582800318,0.239045721866879,0.298807152333598,0.678571428571429,0.506034466320862,0.250115412762186,11,0.298807152333598,24
"mid_recovery","max_rhr_1","steps_max","max_rhr_1 + steps_max",0.179284291400159,0,0.239045721866879,0.642857142857143,0.346097453659781,0.244921465049647,11,0.239045721866879,25
"mid_recovery","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",0.179284291400159,0.0597614304667197,0.298807152333598,0.678571428571429,0.597837953126082,0.235634735884307,11,0.298807152333598,26
"baseline","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",0.298807152333598,0.179284291400159,0.239045721866879,0.642857142857143,0.447607610421771,0.222581653473167,11,0.239045721866879,27
"late_recovery","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",0.0597614304667197,0.358568582800318,0.239045721866879,0.642857142857143,0.460893205146717,0.22004108477918,11,0.239045721866879,28
"mid_recovery","min_rhr_1","steps_total","min_rhr_1 + steps_total",0.0597614304667197,0.179284291400159,0.239045721866879,0.642857142857143,0.469521715975866,0.21843000912347,11,0.239045721866879,29
"acute_recovery","min_rhr_1","steps_total","min_rhr_1 + steps_total",0.0598977166881075,0.119522860933439,0.298807152333598,0.678571428571429,0.749927366779219,0.215947591867962,11,0.298807152333598,30
"baseline","min_rhr_1","steps_max","min_rhr_1 + steps_max",0.342922467644409,-0.113960576459638,0.189934294099397,0.619047619047619,0.400936039729566,0.202977745978959,10,0.189934294099397,31
"mid_recovery","min_rhr_1","steps_max","min_rhr_1 + steps_max",0.0597614304667197,0,0.239045721866879,0.642857142857143,0.568827971852229,0.201764956978949,11,0.239045721866879,32
"baseline","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",0.298807152333598,0.119522860933439,0.179284291400159,0.607142857142857,0.408913824612855,0.19224450069836,11,0.179284291400159,33
"early_recovery","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",0.0597614304667197,0.418330013267038,0.239045721866879,0.642857142857143,0.644325942660417,0.190940022314466,11,0.239045721866879,34
"late_recovery","max_rhr_1","steps_max","max_rhr_1 + steps_max",-0.179284291400159,0.418330013267038,0.179284291400159,0.607142857142857,0.477127015525027,0.178844057889238,11,0.179284291400159,35
"acute_recovery","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",0.358568582800318,0,0.179284291400159,0.607142857142857,0.530217590588842,0.169680033028109,11,0.179284291400159,36
"baseline","min_rhr_1","steps_total","min_rhr_1 + steps_total",0.47918173350486,0.119522860933439,0.119522860933439,0.571428571428571,0.344886297106902,0.168845385022703,11,0.119522860933439,37
"acute_recovery","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",0.179284291400159,0,0.239045721866879,0.642857142857143,0.881832144997234,0.163683960698988,11,0.239045721866879,38
"baseline","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",-0.189934294099397,0.113960576459638,0.189934294099397,0.619047619047619,0.670650913368263,0.158293461166763,10,0.189934294099397,39
"late_recovery","max_rhr_1","steps_mean","max_rhr_1 + steps_mean",-0.179284291400159,0.418330013267038,0.179284291400159,0.607142857142857,0.70335882802732,0.145135470852025,11,0.179284291400159,40
"acute_recovery","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",0.179284291400159,0.180104818759793,0.119522860933439,0.571428571428571,0.482670391169013,0.139650441253526,11,0.119522860933439,41
"baseline","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",-0.189934294099397,-0.113960576459638,-0.113960576459638,0.571428571428571,0.559824931276767,0.12454521204835,10,0.113960576459638,42
"early_recovery","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",0.0597614304667197,0.358568582800318,0.119522860933439,0.571428571428571,0.593114195761163,0.121752909193478,11,0.119522860933439,43
"late_recovery","max_rhr_1","steps_total","max_rhr_1 + steps_total",-0.179284291400159,0.358568582800318,0.119522860933439,0.571428571428571,0.713778706178206,0.105667855390339,11,0.119522860933439,44
"mid_recovery","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",0.119522860933439,0.179284291400159,0.119522860933439,0.571428571428571,0.718116961433266,0.105141536015104,11,0.119522860933439,45
"acute_recovery","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",0.179284291400159,0.119522860933439,0.119522860933439,0.571428571428571,0.7345216546838,0.103179652153183,11,0.119522860933439,46
"early_recovery","mean_rhr_1","steps_max","mean_rhr_1 + steps_max",0.0597614304667197,0.239045721866879,0.119522860933439,0.571428571428571,0.7698204185989,0.0991026877191862,11,0.119522860933439,47
"baseline","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",-0.189934294099397,-0.113960576459638,-0.113960576459638,0.571428571428571,0.769981547964071,0.0968595955935076,10,0.113960576459638,48
"late_recovery","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",-0.358568582800318,0.418330013267038,-0.119522860933439,0.571428571428571,0.997932704867257,0.0765603217708516,11,0.119522860933439,49
"acute_recovery","mean_rhr_1","steps_total","mean_rhr_1 + steps_total",0.0597614304667197,0.119522860933439,0.0597614304667197,0.535714285714286,0.673009836158306,0.0725860041472241,11,0.0597614304667197,50
"early_recovery","max_rhr_1","steps_max","max_rhr_1 + steps_max",0.119522860933439,0.239045721866879,0,0.5,0.484212400279553,0.0629928185478558,11,0,51
"mid_recovery","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",0.0597614304667197,0.0597614304667197,0.0597614304667197,0.535714285714286,0.841985259558834,0.053129388767452,11,0.0597614304667197,52
"mid_recovery","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",0.119522860933439,0.0597614304667197,0.0597614304667197,0.535714285714286,0.845260501499683,0.0527921714346577,11,0.0597614304667197,53
"acute_recovery","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",0.0597614304667197,0,0.0597614304667197,0.464285714285714,0.877940800587089,0.0494972399658326,11,0.0597614304667197,54
"late_recovery","cv_rhr_1","steps_mean","cv_rhr_1 + steps_mean",-0.358568582800318,0.418330013267038,0.0597614304667197,0.535714285714286,0.878504879639679,0.0494414508387222,11,0.0597614304667197,55
"late_recovery","cv_rhr_1","steps_total","cv_rhr_1 + steps_total",-0.358568582800318,0.358568582800318,0.0597614304667197,0.464285714285714,0.8849796949547,0.0488036251976647,11,0.0597614304667197,56
"acute_recovery","min_rhr_1","steps_mean","min_rhr_1 + steps_mean",0.0598977166881075,0,0.0597614304667197,0.464285714285714,0.924333164408518,0.0450245793651025,11,0.0597614304667197,57
"early_recovery","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",0.0597614304667197,0.239045721866879,-0.0597614304667197,0.535714285714286,0.968866024798919,0.04093754110762,11,0.0597614304667197,58
"mid_recovery","mean_rhr_1","steps_mean","mean_rhr_1 + steps_mean",0.179284291400159,0.0597614304667197,0,0.5,0.808470349220097,0.0184671806463331,11,0,59
"mid_recovery","cv_rhr_1","steps_max","cv_rhr_1 + steps_max",0.119522860933439,0,0,0.5,0.850559480720124,0.0140590620331637,11,0,60
