"Time_Window","OCTA_Parameter","Parameter_Type","Region","N","Pearson_r","Pearson_p","CI_Lower","CI_Upper","Effect_Size","Significant_p05","Trend_p10","Pearson_p_FDR","Significant_FDR"
"late_recovery","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,0.751610465108778,0.00482095686651425,0.312510317866742,0.926056977636915,"Large",TRUE,TRUE,0.329800211161445,FALSE
"late_recovery","VD_ICP_0_21_improvement","BloodFlow","Macular",12,-0.739357350859572,0.00599636747566264,-0.922026273789693,-0.287408400533123,"Large",TRUE,TRUE,0.329800211161445,FALSE
"late_recovery","VD_SVP_0_21_improvement","BloodFlow","Macular",12,-0.679789463996553,0.0150127182743385,-0.901850209296722,-0.173624283152801,"Large",TRUE,TRUE,0.550466336725745,FALSE
"acute_recovery","VD_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.64678393751034,0.0230228691839166,-0.890237855497916,-0.115905219043958,"Large",TRUE,TRUE,0.633128902557706,FALSE
"early_recovery","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,-0.619460409224765,0.0316993001148197,-0.88037905705209,-0.0706896071138602,"Large",TRUE,TRUE,0.697384602526033,FALSE
"early_recovery","Thickness_INL_0_21_improvement","Thickness","Macular",11,-0.609443001553802,0.046534103291884,-0.885564733068676,-0.0150817016826646,"Large",TRUE,TRUE,0.81951270320987,FALSE
"early_recovery","Thickness_GCL.IPL_0_6_improvement","Thickness","Widefield",11,-0.581317622285163,0.0606946684084548,-0.875789237590379,0.0284936309143791,"Large",FALSE,TRUE,0.81951270320987,FALSE
"early_recovery","Thickness_GCL.IPL_0_21_improvement","Thickness","Macular",11,-0.561602909800049,0.072201277830384,-0.868789933376036,0.0577162061097318,"Large",FALSE,TRUE,0.81951270320987,FALSE
"acute_recovery","PA_ICP_0_21_improvement","BloodFlow","Macular",12,-0.5450379387493,0.0668618723986647,-0.852331755667659,0.0420017472973584,"Large",FALSE,TRUE,0.81951270320987,FALSE
"acute_recovery","PA_DCP_0_21_improvement","BloodFlow","Macular",12,-0.530610169213464,0.0759237221426536,-0.846681883531571,0.0622466863575386,"Large",FALSE,TRUE,0.81951270320987,FALSE
"baseline","VD_DCP_0_6_improvement","BloodFlow","Widefield",11,-0.524603451472992,0.0975660868752006,-0.855314106986428,0.109836827627833,"Large",FALSE,TRUE,0.81951270320987,FALSE
"acute_recovery","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",11,0.523809963839382,0.0981661265294616,-0.110917650309108,0.855020119975278,"Large",FALSE,TRUE,0.81951270320987,FALSE
"acute_recovery","Thickness_GCL.IPL_0_21_improvement","Thickness","Macular",11,0.49838073228325,0.118689395200957,-0.144778003371341,0.845484500961728,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"early_recovery","VD_ICP_0_6_improvement","BloodFlow","Widefield",12,0.497090076010823,0.100138060371511,-0.107470935202191,0.833274483160632,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"acute_recovery","Thickness_INL_0_21_improvement","Thickness","Macular",11,0.467198756913543,0.147372261052401,-0.184339366063243,0.833481521852086,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"early_recovery","Thickness_Retina_0_21_improvement","Thickness","Macular",11,-0.466670631337401,0.147892171396913,-0.833275207484367,0.184991711404774,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"acute_recovery","Thickness_Retina_0_21_improvement","Thickness","Macular",11,0.459817285255706,0.154743193507974,-0.19340526293277,0.83058862853117,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"mid_recovery","Thickness_GCL.IPL_0_6_improvement","Thickness","Widefield",11,0.455896951576388,0.15874952066283,-0.198175270946946,0.82904401999742,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"acute_recovery","PA_DCP_0_6_improvement","BloodFlow","Widefield",12,-0.453763249988374,0.13842200267002,-0.815338193827092,0.162440344541792,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"early_recovery","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",11,-0.445681728482744,0.169488822973445,-0.824992300810215,0.210460638176002,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"late_recovery","VD_DCP_0_21_improvement","BloodFlow","Macular",12,-0.43552503669408,0.157018902130353,-0.807574580301907,0.184489444424772,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"early_recovery","Thickness_INL_0_6_improvement","Thickness","Widefield",11,-0.429688643484918,0.187178232207535,-0.818569585641425,0.229287361328256,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"baseline","PA_Choroid_0_21_improvement","BloodFlow","Macular",11,-0.407019759560923,0.214094107679372,-0.809296213483782,0.255153875225841,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"mid_recovery","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.397446805686965,0.200760788921756,-0.228596646787602,0.790938921201429,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"baseline","VD_SVP_0_6_improvement","BloodFlow","Widefield",11,-0.395056104557204,0.229172577591489,-0.804319933030938,0.268433408776067,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"baseline","VD_SVP_0_21_improvement","BloodFlow","Macular",11,0.391102938718347,0.234287556279869,-0.27276664266123,0.802662897672524,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"early_recovery","VD_SVP_0_21_improvement","BloodFlow","Macular",12,0.388599834797234,0.211888812586732,-0.23848917961731,0.786988739264074,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"mid_recovery","Thickness_GCL.IPL_0_21_improvement","Thickness","Macular",11,0.377184819503997,0.252819052096348,-0.287811503882698,0.796777882498996,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"late_recovery","Thickness_INL_0_21_improvement","Thickness","Macular",11,0.374686783330269,0.256231111998282,-0.290477467807784,0.795713142156403,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"early_recovery","Thickness_Retina_0_6_improvement","Thickness","Widefield",11,-0.371404508276978,0.260754041930413,-0.794310167784762,0.29396476206127,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"early_recovery","VD_ICP_0_21_improvement","BloodFlow","Macular",12,0.370215054659352,0.236186002151493,-0.258638770870008,0.778674105981158,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"late_recovery","PA_ICP_0_21_improvement","BloodFlow","Macular",12,0.366920720551839,0.24070706104377,-0.262192433956161,0.777168910259267,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"acute_recovery","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.362834590212148,0.24638534419822,-0.775295394377503,0.266576643240223,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"acute_recovery","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.357826127478848,0.253451856404283,-0.27191517156129,0.772989039571197,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"mid_recovery","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,0.355624181107395,0.256595700539462,-0.274250026881986,0.77197157715452,"Medium",FALSE,FALSE,0.81951270320987,FALSE
"late_recovery","Thickness_INL_0_6_improvement","Thickness","Widefield",11,0.349704864490764,0.29178357617616,-0.316582596122637,0.784919983718281,"Medium",FALSE,FALSE,0.836842938828438,FALSE
"mid_recovery","Thickness_INL_0_21_improvement","Thickness","Macular",11,0.315211589267955,0.345074653813637,-0.35104088803792,0.769570413832947,"Medium",FALSE,FALSE,0.836842938828438,FALSE
"mid_recovery","Thickness_INL_0_6_improvement","Thickness","Widefield",11,0.296038815245561,0.376743027502992,-0.369444470624172,0.760805248603911,"Small",FALSE,FALSE,0.836842938828438,FALSE
"early_recovery","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,-0.291868047426449,0.357308555395223,-0.741556347825439,0.338780504923669,"Small",FALSE,FALSE,0.836842938828438,FALSE
"acute_recovery","Thickness_INL_0_6_improvement","Thickness","Widefield",11,0.290400923332876,0.3863256617546,-0.374758641217955,0.758195118938458,"Small",FALSE,FALSE,0.836842938828438,FALSE
"acute_recovery","Thickness_GCL.IPL_0_6_improvement","Thickness","Widefield",11,0.290056722728165,0.386914615942017,-0.37508166872335,0.758035280057475,"Small",FALSE,FALSE,0.836842938828438,FALSE
"mid_recovery","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.285158971626335,0.368970811795724,-0.738244515106989,0.345242719445658,"Small",FALSE,FALSE,0.836842938828438,FALSE
"late_recovery","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.282048562193,0.374444178259527,-0.348218536776254,0.736701661841174,"Small",FALSE,FALSE,0.836842938828438,FALSE
"late_recovery","PA_DCP_0_21_improvement","BloodFlow","Macular",12,0.27872489358164,0.380339109802556,-0.351384407704332,0.735047777701052,"Small",FALSE,FALSE,0.836842938828438,FALSE
"mid_recovery","VD_SVP_0_6_improvement","BloodFlow","Widefield",12,0.276347431201558,0.384585022488022,-0.353640189306133,0.733861392435443,"Small",FALSE,FALSE,0.836842938828438,FALSE
"acute_recovery","VD_DCP_0_21_improvement","BloodFlow","Macular",12,0.272662701968339,0.391213425075428,-0.357121910728982,0.732017132128637,"Small",FALSE,FALSE,0.836842938828438,FALSE
"baseline","VD_ICP_0_21_improvement","BloodFlow","Macular",11,0.272335710452065,0.417837282055662,-0.391497173843142,0.749729391621017,"Small",FALSE,FALSE,0.836842938828438,FALSE
"baseline","PA_DCP_0_6_improvement","BloodFlow","Widefield",11,-0.26940149036888,0.423069509334219,-0.748339444672592,0.394175059911234,"Small",FALSE,FALSE,0.836842938828438,FALSE
"late_recovery","Thickness_Retina_0_6_improvement","Thickness","Widefield",11,0.26659967375387,0.428094864467228,-0.39672163573826,0.747008280358181,"Small",FALSE,FALSE,0.836842938828438,FALSE
