"Time_Window","max_cluster","Count","Mean_Membership","SD_Membership","Min_Membership","Max_Membership"
"baseline",1,5,0.901,0.09,0.831,1
"baseline",2,7,0.482,0.008,0.476,0.498
"baseline",3,2,0.479,0.002,0.477,0.48
"acute_recovery",1,7,0.333,0,0.333,0.333
"acute_recovery",2,8,0.343,0,0.343,0.343
"early_recovery",1,7,0.343,0.234,0,0.48
"early_recovery",2,8,0.846,0.001,0.844,0.847
"mid_recovery",1,6,0.83,0.001,0.828,0.831
"mid_recovery",2,2,0.738,0.371,0.476,1
"mid_recovery",3,6,0.482,0.004,0.479,0.49
"late_recovery",1,6,0.333,0,0.333,0.333
"late_recovery",3,9,0.343,0,0.343,0.343
