"Time_Window","Outcome_Type","Outcome_Parameter","N","Cluster1_N","Cluster2_N","Cluster1_Mean","Cluster2_Mean","Mean_Difference","T_Statistic","P_Value","Cohens_D","Effect_Size","Better_Cluster","Better_Cluster_N","Better_Cluster_Mean","Significant","Parameter_Type","P_Value_FDR","Significant_FDR","Parameter_Type_Detailed","Region_Type","P_Value_FDR_Strategy1","Significant_FDR_Strategy1","Tests_in_Group_Strategy1","P_Value_FDR_Strategy2","Significant_FDR_Strategy2","Tests_in_Group_Strategy2","P_Value_FDR_Strategy3","Significant_FDR_Strategy3","Tests_in_Group_Strategy3"
"late_recovery","OCTA","PA_Choroid_0_21_improvement",12,4,8,-9.26494999999998,2.9293375,12.1942875,-3.62680729466636,0.0110255519825473,2.23566851087498,"Large",2,8,2.9293375,TRUE,"BloodFlow",0.086667921654499,FALSE,"BloodFlow_Choroid","Widefield",0.0220511039650946,TRUE,2,0.0110255519825473,TRUE,1,0.0936843256090215,FALSE,10
"late_recovery","OCTA","VD_ICP_0_21_improvement",12,4,8,1.79775,-0.8448375,2.6425875,3.48066962763766,0.0123811316649284,2.11466167587274,"Large",1,4,1.79775,TRUE,"BloodFlow",0.086667921654499,FALSE,"BloodFlow_ICP","Widefield",0.0495245266597137,TRUE,4,0.0247622633298569,TRUE,2,0.247622633298569,FALSE,20
"mid_recovery","OCTA","VD_DCP_0_6_improvement",12,6,6,0.8172,-1.27558333333333,2.09278333333333,3.16314309027394,0.0132506812494531,1.82624151465496,"Large",1,6,0.8172,TRUE,"BloodFlow",0.185509537492343,FALSE,"BloodFlow_DCP","Macular",0.0530027249978124,FALSE,4,0.0265013624989062,TRUE,2,0.265013624989062,FALSE,20
"early_recovery","OCTA","PA_Choroid_0_21_improvement",12,6,6,3.91516666666666,-6.18601666666666,10.1011833333333,2.8089892671618,0.0187368651218043,1.62177070954663,"Large",1,6,3.91516666666666,TRUE,"BloodFlow",0.26231611170526,FALSE,"BloodFlow_Choroid","Widefield",0.0374737302436086,TRUE,2,0.0187368651218043,TRUE,1,0.0936843256090215,FALSE,10
"late_recovery","OCTA","VD_SVP_0_21_improvement",12,4,8,1.294675,-2.5904125,3.8850875,2.94269840683529,0.024208430221891,1.7743719970206,"Large",1,4,1.294675,TRUE,"BloodFlow",0.112972674368825,FALSE,"BloodFlow_SVP","Widefield",0.096833720887564,FALSE,4,0.048416860443782,TRUE,2,0.48416860443782,FALSE,20
"acute_recovery","OCTA","VD_DCP_0_6_improvement",12,7,5,0.578485714285714,-1.35994,1.93842571428571,2.40549190479251,0.0561184706603993,1.56651494400658,"Large",1,7,0.578485714285714,FALSE,"BloodFlow",0.631256990304661,FALSE,"BloodFlow_DCP","Macular",0.224473882641597,FALSE,4,0.112236941320799,FALSE,2,0.389267754224292,FALSE,20
"mid_recovery","OCTA","PA_DCP_0_6_improvement",12,6,6,0.6028,-1.0591,1.6619,2.33450307533574,0.0583901631336438,1.3478259789691,"Large",1,6,0.6028,FALSE,"BloodFlow",0.280501464084085,FALSE,"BloodFlow_DCP","Macular",0.116780326267288,FALSE,4,0.0583901631336438,FALSE,2,0.389267754224292,FALSE,20
"mid_recovery","OCTA","PA_ICP_0_6_improvement",12,6,6,0.274533333333333,-0.91285,1.18738333333333,1.95924140269485,0.0842532037330452,1.13116855125333,"Large",1,6,0.274533333333333,FALSE,"BloodFlow",0.280501464084085,FALSE,"BloodFlow_ICP","Macular",0.213715401206922,FALSE,4,0.160286550905192,FALSE,2,0.641146203620767,FALSE,20
"late_recovery","OCTA","VD_DCP_0_21_improvement",12,4,8,0.78845,-0.395425,1.183875,1.89369119702561,0.0879933972613058,0.943722931077784,"Large",1,4,0.78845,FALSE,"BloodFlow",0.30797689041457,FALSE,"BloodFlow_DCP","Widefield",0.351973589045223,FALSE,4,0.175986794522612,FALSE,2,0.439966986306529,FALSE,20
"mid_recovery","OCTA","VD_SVP_0_6_improvement",12,6,6,2.02858333333333,-7.40751666666667,9.4361,1.85592605843876,0.0933297169773802,1.07151940943566,"Large",1,6,2.02858333333333,FALSE,"BloodFlow",0.280501464084085,FALSE,"BloodFlow_SVP","Macular",0.235647233580424,FALSE,4,0.117823616790212,FALSE,2,0.58911808395106,FALSE,20
"mid_recovery","OCTA","Thickness_OuterRetina_0_21_improvement",11,6,5,-10.0413833333333,8.11862,18.1600033333333,-1.92863625465287,0.104682335002649,1.24021521787497,"Large",2,5,8.11862,FALSE,"Thickness",0.299424532864278,FALSE,"Other","Widefield",0.127882565713265,FALSE,2,0.104682335002649,FALSE,1,0.639412828566326,FALSE,10
"baseline","OCTA","VD_SVP_0_21_improvement",11,3,8,0.621866666666668,-2.103525,2.72539166666667,1.81356826227643,0.116620409291732,0.967403105087524,"Large",1,3,0.621866666666668,FALSE,"BloodFlow",0.746415613262574,FALSE,"BloodFlow_SVP","Widefield",0.466481637166927,FALSE,4,0.233240818583463,FALSE,2,0.58911808395106,FALSE,20
"late_recovery","OCTA","Thickness_INL_0_6_improvement",11,3,8,-4.18426666666666,4.349275,8.53354166666666,-1.74125789111438,0.117577458143151,0.739458213283928,"Medium",2,8,4.349275,FALSE,"Thickness",0.440284056453812,FALSE,"Thickness_INL","Macular",0.135937500773695,FALSE,2,0.117577458143151,FALSE,1,0.482766064323321,FALSE,10
"mid_recovery","OCTA","PA_SVP_0_6_improvement",12,6,6,0.0663166666666668,-1.15346666666667,1.21978333333333,1.75106511447526,0.117823616790212,1.01097791521086,"Large",1,6,0.0663166666666668,FALSE,"BloodFlow",0.280501464084085,FALSE,"BloodFlow_SVP","Macular",0.235647233580424,FALSE,4,0.117823616790212,FALSE,2,0.58911808395106,FALSE,20
"mid_recovery","OCTA","Thickness_OuterRetina_0_6_improvement",11,6,5,-23.4487666666667,17.70886,41.1576266666667,-1.79098296984392,0.127882565713265,1.15610445047387,"Large",2,5,17.70886,FALSE,"Thickness",0.299424532864278,FALSE,"Other","Macular",0.127882565713265,FALSE,2,0.127882565713265,FALSE,1,0.639412828566326,FALSE,10
"late_recovery","OCTA","Thickness_INL_0_21_improvement",11,3,8,-3.1889,2.080975,5.269875,-1.65361105414462,0.135937500773695,0.801149066197983,"Large",2,8,2.080975,FALSE,"Thickness",0.440284056453812,FALSE,"Thickness_INL","Widefield",0.135937500773695,FALSE,2,0.135937500773695,FALSE,1,0.482766064323321,FALSE,10
"mid_recovery","OCTA","PA_ICP_0_21_improvement",12,6,6,0.506733333333335,-2.03206666666667,2.5388,1.6984943518202,0.136885661020415,0.980626171240452,"Large",1,6,0.506733333333335,FALSE,"BloodFlow",0.280501464084085,FALSE,"BloodFlow_ICP","Widefield",0.213715401206922,FALSE,4,0.273771322040829,FALSE,2,0.641146203620767,FALSE,20
"baseline","OCTA","VD_DCP_0_6_improvement",11,3,8,-1.5262,0.2199875,1.7461875,-1.84760130996582,0.137668335953974,1.18563473277366,"Large",2,8,0.2199875,FALSE,"BloodFlow",0.746415613262574,FALSE,"BloodFlow_DCP","Macular",0.550673343815897,FALSE,4,0.275336671907948,FALSE,2,0.464285958949367,FALSE,20
"acute_recovery","OCTA","PA_DCP_0_21_improvement",12,7,5,1.02174285714286,-4.9571,5.97884285714286,1.74308984923133,0.13928578768481,1.15211411707138,"Large",1,7,1.02174285714286,FALSE,"BloodFlow",0.631256990304661,FALSE,"BloodFlow_DCP","Widefield",0.27857157536962,FALSE,4,0.27857157536962,FALSE,2,0.464285958949367,FALSE,20
