"Time_Window","Outcome_Type","Outcome_Parameter","N","Pearson_r","Pearson_p","Pearson_CI_Lower","Pearson_CI_Upper","Spearman_rho","Spearman_p","Effect_Size","Primary_Cluster","Primary_Cluster_N","Primary_Cluster_Mean_Outcome","Primary_Cluster_Median_Outcome","Selection_Reason","Total_Clusters","Cluster_Comparison","Best_Outcome_Cluster","Most_Patients_Cluster","Highest_Membership_Cluster","Outcome_Conflict","Parameter_Type","Pearson_p_FDR","Spearman_p_FDR","Abs_Pearson_r","Significant_Pearson","Significant_Pearson_FDR","Significant_Spearman","Significant_Spearman_FDR"
"late_recovery","OCTA","PA_Choroid_0_21_improvement",12,0.751610465108778,0.00482095686651425,0.312510317866742,0.926056977636915,0.349443295337128,0.26554133946614,"Large",2,8,2.929,2.506,"Best outcome & Most patients",2,"C2(n=8,mem=0.343,out=2.929±5.425,rank:1/1/1); C1(n=4,mem=0.333,out=-9.265±5.523,rank:2/2/2)",2,2,2,FALSE,"BloodFlow",0.0419745723296393,0.919867934584681,0.751610465108778,TRUE,TRUE,FALSE,FALSE
"late_recovery","OCTA","VD_ICP_0_21_improvement",12,-0.739357350859571,0.00599636747566276,-0.922026273789693,-0.287408400533121,-0.727412573967083,0.00733809579014966,"Large",1,4,1.798,1.722,"Best outcome (conflicts with patient count)",2,"C2(n=8,mem=0.343,out=-0.845±1.258,rank:2/1/1); C1(n=4,mem=0.333,out=1.798±1.231,rank:1/2/2)",1,2,2,TRUE,"BloodFlow",0.0419745723296393,0.0843960057357244,0.739357350859571,TRUE,TRUE,TRUE,FALSE
"late_recovery","OCTA","VD_SVP_0_21_improvement",12,-0.679789463996549,0.0150127182743395,-0.90185020929672,-0.173624283152792,-0.695320842762652,0.0120565722479606,"Large",1,4,1.295,1.127,"Best outcome (conflicts with patient count)",2,"C2(n=8,mem=0.343,out=-2.59±2.217,rank:2/1/1); C1(n=4,mem=0.333,out=1.295±2.125,rank:1/2/2)",1,2,2,TRUE,"BloodFlow",0.0700593519469176,0.0843960057357244,0.679789463996549,TRUE,FALSE,TRUE,FALSE
"late_recovery","OCTA","VD_DCP_0_21_improvement",12,-0.435525036694096,0.157018902130336,-0.807574580301914,0.184489444424752,-0.370837782806748,0.235337097810342,"Medium",1,4,0.788,0.771,"Best outcome (conflicts with patient count)",2,"C2(n=8,mem=0.343,out=-0.395±1.417,rank:2/1/1); C1(n=4,mem=0.333,out=0.788±0.748,rank:1/2/2)",1,2,2,TRUE,"BloodFlow",0.549566157456175,0.919867934584681,0.435525036694096,FALSE,FALSE,FALSE,FALSE
"late_recovery","OCTA","Thickness_INL_0_21_improvement",11,0.374686783330251,0.256231111998307,-0.290477467807803,0.795713142156395,0.593142631934497,0.0544272992573397,"Medium",2,8,2.081,0.292,"Best outcome & Most patients",2,"C2(n=8,mem=0.343,out=2.081±7.25,rank:1/1/1); C1(n=3,mem=0.333,out=-3.189±3.28,rank:2/2/2)",2,2,2,FALSE,"Thickness",0.597113330773508,0.217709197029359,0.374686783330251,FALSE,FALSE,FALSE,FALSE
"late_recovery","OCTA","PA_ICP_0_21_improvement",12,0.366920720551848,0.240707061043758,-0.262192433956151,0.777168910259271,0.270996841281854,0.394229114822006,"Medium",2,8,-0.062,-0.086,"Best outcome & Most patients",2,"C2(n=8,mem=0.343,out=-0.062±2.376,rank:1/1/1); C1(n=4,mem=0.333,out=-2.165±3.419,rank:2/2/2)",2,2,2,FALSE,"BloodFlow",0.656717890026854,0.919867934584681,0.366920720551848,FALSE,FALSE,FALSE,FALSE
"late_recovery","OCTA","Thickness_INL_0_6_improvement",11,0.34970486449074,0.291783576176195,-0.316582596122661,0.78491998371827,0.749474798490876,0.00792034041924248,"Medium",2,8,4.349,-0.744,"Best outcome & Most patients",2,"C2(n=8,mem=0.343,out=4.349±12.989,rank:1/1/1); C1(n=3,mem=0.333,out=-4.184±2.964,rank:2/2/2)",2,2,2,FALSE,"Thickness",0.597113330773508,0.0633627233539399,0.34970486449074,FALSE,FALSE,TRUE,FALSE
"late_recovery","OCTA","PA_Choroid_0_6_improvement",12,0.282048562193002,0.374444178259524,-0.348218536776252,0.736701661841175,-0.221076370519407,0.4898753778809,"Small",2,8,-0.198,-0.035,"Best outcome & Most patients",2,"C2(n=8,mem=0.343,out=-0.198±0.684,rank:1/1/1); C1(n=4,mem=0.333,out=-1.139±2.813,rank:2/2/2)",2,2,2,FALSE,"BloodFlow",0.656717890026854,0.947381622792988,0.282048562193002,FALSE,FALSE,FALSE,FALSE
"late_recovery","OCTA","PA_DCP_0_21_improvement",12,0.278724893581647,0.380339109802542,-0.351384407704324,0.735047777701056,0.303088572486284,0.338247594434925,"Small",2,8,-0.358,0.78,"Best outcome & Most patients",2,"C2(n=8,mem=0.343,out=-0.358±5.881,rank:1/1/1); C1(n=4,mem=0.333,out=-3.693±5.825,rank:2/2/2)",2,2,2,FALSE,"BloodFlow",0.656717890026854,0.919867934584681,0.278724893581647,FALSE,FALSE,FALSE,FALSE
"late_recovery","OCTA","Thickness_Retina_0_6_improvement",11,0.266599673753845,0.428094864467273,-0.396721635738283,0.747008280358169,0.409222435985816,0.21138374268587,"Small",2,8,8.132,-20.814,"Best outcome & Most patients",2,"C2(n=8,mem=0.343,out=8.132±92.524,rank:1/1/1); C1(n=3,mem=0.333,out=-36.828±27.756,rank:2/2/2)",2,2,2,FALSE,"Thickness",0.597113330773508,0.281844990247826,0.266599673753845,FALSE,FALSE,FALSE,FALSE
