"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","VD Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",11,"-0.523","0.099","-0.606","0.048","†","Large","Trend"
"OCTA","PA Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",11,"-0.483","0.132","-0.567","0.069","ns","Medium","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",11,"-0.475","0.140","-0.601","0.050","ns","Medium","Weak"
"OCTA","PA Choroid Macular (0_6) Improvement","BloodFlow","Macular","Choroidal",11,"0.425","0.193","0.408","0.213","ns","Medium","Weak"
"OCTA","Thickness GCL.IPL Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"0.370","0.236","0.538","0.071","ns","Medium","Weak"
"OCTA","Thickness OuterRetina Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"0.349","0.267","0.320","0.311","ns","Medium","Weak"
"OCTA","Thickness Retina Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"0.337","0.283","0.278","0.381","ns","Medium","Weak"
"OCTA","Thickness INL Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"0.322","0.307","0.162","0.615","ns","Medium","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",11,"-0.300","0.370","-0.094","0.782","ns","Small","Weak"
"OCTA","VD Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",11,"-0.249","0.461","-0.099","0.771","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",11,"-0.247","0.465","-0.149","0.662","ns","Small","Weak"
"OCTA","Thickness OuterRetina Macular (0_6) Improvement","Thickness","Macular","Other",12,"-0.236","0.459","-0.090","0.780","ns","Small","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",15,"0.219","0.433","0.224","0.423","ns","Small","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",12,"0.215","0.501","0.208","0.517","ns","Small","Weak"
"OCTA","PA Choroid Widefield (0_21) Improvement","BloodFlow","Widefield","Choroidal",11,"0.214","0.528","0.129","0.705","ns","Small","Weak"
"OCTA","VD Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",11,"-0.194","0.568","0.030","0.931","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",11,"-0.191","0.573","-0.075","0.828","ns","Small","Weak"
"OCTA","Thickness GCL.IPL Macular (0_6) Improvement","Thickness","Macular","Other",12,"0.180","0.575","-0.184","0.566","ns","Small","Weak"
"OCTA","Thickness INL Macular (0_6) Improvement","Thickness","Macular","Other",12,"0.171","0.595","-0.105","0.745","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",11,"-0.154","0.651","-0.149","0.662","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",11,"-0.129","0.705","0.040","0.908","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",11,"-0.112","0.744","-0.080","0.816","ns","Small","Weak"
"OCTA","VD Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",11,"-0.088","0.796","-0.055","0.873","ns","Negligible","Weak"
"OCTA","Thickness Retina Macular (0_6) Improvement","Thickness","Macular","Other",12,"0.050","0.876","-0.049","0.880","ns","Negligible","Weak"
