"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","Thickness GCL.IPL Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"-0.669","0.017","-0.318","0.314","*","Large","Strong"
"OCTA","Thickness GCL.IPL Macular (0_6) Improvement","Thickness","Macular","Other",12,"-0.545","0.067","-0.223","0.487","†","Large","Trend"
"OCTA","Thickness Retina Macular (0_6) Improvement","Thickness","Macular","Other",12,"-0.476","0.118","-0.201","0.530","ns","Medium","Weak"
"OCTA","Thickness OuterRetina Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"-0.417","0.177","0.145","0.653","ns","Medium","Weak"
"OCTA","VD Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",11,"-0.411","0.209","0.161","0.636","ns","Medium","Weak"
"OCTA","Thickness Retina Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"-0.398","0.200","0.095","0.768","ns","Medium","Weak"
"OCTA","Thickness OuterRetina Macular (0_6) Improvement","Thickness","Macular","Other",12,"-0.386","0.215","-0.074","0.819","ns","Medium","Weak"
"OCTA","Thickness INL Widefield (0_21) Improvement","Thickness","Widefield","Other",12,"-0.354","0.259","0.021","0.948","ns","Medium","Weak"
"OCTA","Thickness INL Macular (0_6) Improvement","Thickness","Macular","Other",12,"-0.341","0.278","0.021","0.948","ns","Medium","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",12,"-0.330","0.295","-0.171","0.595","ns","Medium","Weak"
"OCTA","VD Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",11,"-0.275","0.413","-0.226","0.504","ns","Small","Weak"
"OCTA","VD Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",11,"-0.246","0.466","0.009","0.979","ns","Small","Weak"
"OCTA","PA Choroid Widefield (0_21) Improvement","BloodFlow","Widefield","Choroidal",11,"0.227","0.503","-0.051","0.882","ns","Small","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",15,"-0.222","0.427","-0.017","0.952","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",11,"0.172","0.614","0.069","0.840","ns","Small","Weak"
"OCTA","PA Choroid Macular (0_6) Improvement","BloodFlow","Macular","Choroidal",11,"-0.141","0.680","-0.152","0.655","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",11,"-0.096","0.778","-0.147","0.665","ns","Negligible","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",11,"-0.071","0.835","-0.198","0.559","ns","Negligible","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",11,"-0.067","0.844","-0.065","0.851","ns","Negligible","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",11,"-0.062","0.856","0.009","0.979","ns","Negligible","Weak"
"OCTA","VD Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",11,"0.026","0.938","-0.092","0.788","ns","Negligible","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",11,"0.024","0.945","0.097","0.777","ns","Negligible","Weak"
"OCTA","PA Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",11,"-0.019","0.957","0.088","0.798","ns","Negligible","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",11,"-0.015","0.966","-0.143","0.675","ns","Negligible","Weak"
