"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","Thickness GCL.IPL Widefield (0_21) Improvement","Thickness","Widefield","Other",11,"0.457","0.158","0.192","0.572","ns","Medium","Weak"
"OCTA","Thickness GCL.IPL Macular (0_6) Improvement","Thickness","Macular","Other",11,"0.436","0.180","0.005","0.989","ns","Medium","Weak"
"OCTA","Thickness Retina Macular (0_6) Improvement","Thickness","Macular","Other",11,"0.317","0.343","0.352","0.289","ns","Medium","Weak"
"OCTA","VD Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",10,"0.299","0.402","0.317","0.372","ns","Small","Weak"
"OCTA","Thickness OuterRetina Widefield (0_21) Improvement","Thickness","Widefield","Other",11,"0.290","0.388","0.055","0.873","ns","Small","Weak"
"OCTA","Thickness INL Macular (0_6) Improvement","Thickness","Macular","Other",11,"0.269","0.423","0.489","0.127","ns","Small","Weak"
"OCTA","Thickness INL Widefield (0_21) Improvement","Thickness","Widefield","Other",11,"0.256","0.447","0.055","0.873","ns","Small","Weak"
"OCTA","Thickness Retina Widefield (0_21) Improvement","Thickness","Widefield","Other",11,"0.252","0.455","-0.100","0.769","ns","Small","Weak"
"OCTA","Thickness OuterRetina Macular (0_6) Improvement","Thickness","Macular","Other",11,"0.245","0.468","0.301","0.368","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Deep",10,"-0.241","0.503","-0.030","0.933","ns","Small","Weak"
"OCTA","VD Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",10,"0.237","0.509","-0.037","0.920","ns","Small","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",11,"0.176","0.605","0.229","0.499","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",10,"0.142","0.695","0.079","0.828","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",10,"0.129","0.722","0.189","0.601","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0_6) Improvement","BloodFlow","Macular","Superficial",10,"0.117","0.747","0.006","0.987","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",10,"0.103","0.776","-0.171","0.637","ns","Small","Weak"
"OCTA","PA Choroid Macular (0_6) Improvement","BloodFlow","Macular","Choroidal",10,"0.102","0.779","-0.201","0.577","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Superficial",10,"0.096","0.792","-0.110","0.763","ns","Negligible","Weak"
"OCTA","VD Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",10,"0.082","0.822","0.024","0.947","ns","Negligible","Weak"
"OCTA","PA Choroid Widefield (0_21) Improvement","BloodFlow","Widefield","Choroidal",10,"0.076","0.834","0.433","0.211","ns","Negligible","Weak"
"OCTA","PA Intermediate Capillary Plexus Widefield (0_21) Improvement","BloodFlow","Widefield","Intermediate",10,"0.068","0.852","0.000","1.000","ns","Negligible","Weak"
"OCTA","VD Intermediate Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Intermediate",10,"0.038","0.916","0.268","0.454","ns","Negligible","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0_6) Improvement","BloodFlow","Macular","Deep",10,"-0.022","0.952","0.177","0.625","ns","Negligible","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",14,"-0.001","0.997","0.176","0.548","ns","Negligible","Weak"
