"day_point","total_participants","participants_with_daytime","participants_with_nighttime","participants_with_both","percentage_with_both"
-7,57,28,22,22,38.5964912280702
-6,57,34,28,26,45.6140350877193
-5,57,31,30,25,43.859649122807
-4,57,41,37,35,61.4035087719298
-3,57,43,39,37,64.9122807017544
-2,57,43,36,34,59.6491228070175
-1,57,42,44,38,66.6666666666667
0,57,44,43,38,66.6666666666667
1,57,42,40,35,61.4035087719298
2,57,46,45,42,73.6842105263158
3,57,47,42,42,73.6842105263158
4,57,43,45,41,71.9298245614035
5,57,43,40,37,64.9122807017544
6,57,44,40,38,66.6666666666667
7,57,42,35,32,56.140350877193
8,57,46,42,40,70.1754385964912
9,57,46,42,39,68.4210526315789
10,57,45,38,35,61.4035087719298
11,57,41,37,32,56.140350877193
12,57,43,40,38,66.6666666666667
13,57,44,39,38,66.6666666666667
14,57,40,39,34,59.6491228070175
15,57,40,43,36,63.1578947368421
16,57,45,38,36,63.1578947368421
17,57,41,41,37,64.9122807017544
18,57,42,36,35,61.4035087719298
19,57,46,37,34,59.6491228070175
20,57,45,42,38,66.6666666666667
21,57,47,44,42,73.6842105263158
22,57,45,43,38,66.6666666666667
23,57,46,40,39,68.4210526315789
24,57,45,37,34,59.6491228070175
25,57,44,42,39,68.4210526315789
26,57,46,42,39,68.4210526315789
27,57,46,39,37,64.9122807017544
28,57,43,37,33,57.8947368421053
29,57,40,41,36,63.1578947368421
30,57,42,40,34,59.6491228070175
