"hour","median_rhr","mean_rhr","n_measurements","sd_rhr","q25_rhr","q75_rhr"
0,75,75.3869872419045,40053,10.2536025458881,68,82
1,74,74.8985109353188,42980,9.83916982130675,67,82
2,74,74.5828370955085,43326,9.86451344218212,67,82
3,74,74.3866458199209,43492,9.95072147284691,67,82
4,74,74.2182094792276,42725,9.905333951682,67,81
5,74,74.1931877770892,41954,9.74011598696505,67,81
6,75,75.2095128057,36351,9.73552372994567,68,82
7,77,77.1725190839695,24890,10.6526114649828,70,83
8,80,80.4948299695881,18085,10.3287821493156,74,86
9,82,82.8080274326831,17789,10.4073201372877,76,88
10,81,82.0372637086027,20261,11.1719727275391,75,88
11,81,82.0542718968297,18610,11.3287011331148,75,88
12,83,83.4511302726637,21455,11.0934413356714,76,90
13,81,80.9370439212447,29052,12.5004393621204,73,88
14,80,80.5507085213192,31474,12.7850370291281,72,88
15,82,82.5394605394605,29029,12.4275772280715,75,89
16,82,82.3982135195226,25637,11.9618706235002,75,89
17,82,82.364622161979,20657,11.4783492390112,76,88
18,83,84.2013043256738,19627,10.9760020194352,77,90
19,84,84.1383357886233,21043,11.0682150631406,78,90
20,82,81.8906620386048,23624,12.153912454263,74,89
21,81,79.9534176335115,23013,12.6839499277012,70,89
22,78,77.6453602367117,28051,12.038174637977,68,86
23,76,76.0309298605069,35629,10.7341831380672,68,84
