"time_period_clean","cluster_label","n_patients","mean_rhr","median_rhr","min_rhr","max_rhr","sd_rhr","se_mean","se_median","q25_rhr","q75_rhr"
"Pre all","Cluster 1",4,80.3304560545838,79.75,53.75,121.5,6.45176031794937,2.71687383612403,2.65753645318366,77.4975985783557,84.3169348413818
"Pre all","Cluster 2",7,77.3122277349206,75.8571428571429,51.8571428571429,125.571428571429,8.68081254049419,3.25350909308706,3.28364323963034,72.8211975230344,82.5959606936186
"Pre 7d all","Cluster 1",4,79.8217985247217,79.25,53.75,117.5,6.32724965154835,2.80480143613451,2.75,77.2422477813004,84.063628108575
"Pre 7d all","Cluster 2",7,77.4078777507733,75.7142857142857,54.7142857142857,124.857142857143,8.71134163164981,3.22143814156326,3.27118942773249,73.4004570271541,82.5959606936186
"Pre 3-7d","Cluster 1",4,82.2647180949308,81.25,58.25,108.75,6.64249193449361,3.42584145551827,3.11916121203548,81.3356256875166,85.9697428139183
"Pre 3-7d","Cluster 2",7,77.1871352303539,75.7142857142857,55.4285714285714,122,8.38075579429661,3.1507433826383,3.25659978764213,72.825678635377,82.8373773299478
"Pre 3d","Cluster 1",4,78.7717920305134,78,63.5,113.5,5.87788560245799,2.42758322608122,2.27303028283098,76.6700566042876,81.5137715550315
"Pre 3d","Cluster 2",7,78.5086945117708,76.8571428571429,57.5714285714286,116.714285714286,8.58828306338795,3.68960136746938,3.67377171847351,73.9149607199145,82.8029690233135
"Post 1-3d","Cluster 1",4,79.3660102863718,78.25,64.75,122,6.76518850773055,3.14371768704376,3.14576434802948,78.8642703148805,82.6725158844397
"Post 1-3d","Cluster 2",7,78.0239558144827,76.8571428571429,54.2857142857143,108.428571428571,7.55915708438141,3.60932769218629,3.48758731878106,71.0568573054489,84.4154640483375
"Post 4-6d","Cluster 1",4,78.9550463810014,78.75,63.25,115,6.03863775558573,2.52675158330977,2.32289331079439,76.2343954866278,82.7806928475652
"Post 4-6d","Cluster 2",7,78.0585736775441,76.4285714285714,52.2857142857143,119.857142857143,8.36643297054584,3.89811427498424,3.81011900112334,72.5806925410153,83.6028793783887
"Post 6d","Cluster 1",4,79.1903919960091,78.5,61.5,131.5,6.5425945757466,2.91951100656176,2.72335577306137,76.7223223414503,83.4341820085054
"Post 6d","Cluster 2",7,78.0558559813269,76.2857142857143,48.4285714285714,122.714285714286,8.08481185804066,3.67592713183868,3.67562295150532,71.9037335919269,84.2336549627512
"Post 1w","Cluster 1",4,79.4769975753531,79,61.5,131.5,6.47215301344423,2.97572049657822,2.97209241668783,76.9298960429394,83.844953656635
"Post 1w","Cluster 2",7,78.5139206784293,77,48.2857142857143,125.142857142857,8.24778180804829,3.78722044996666,3.67747325263006,72.0993322203673,85.0803002169828
"Post 7-30d","Cluster 1",4,80.0102536904234,79,51.5,149,7.00449722622385,3.37057601571524,3.29140294302192,75.3774541964464,85.1614209839515
"Post 7-30d","Cluster 2",7,80.2088017936936,78.5714285714286,46.5714285714286,141.571428571429,9.02293974775934,4.39518182998232,4.19101728108345,72.5492238398927,88.2897627662062
"Post 23-30d","Cluster 1",4,80.7707562702369,79.75,60,122.5,6.67559350544183,3.33273034335884,3.22425702035885,76.7305873650416,85.9779331541768
"Post 23-30d","Cluster 2",7,80.6371032509835,78.8571428571429,50.5714285714286,131.571428571429,9.19777946748082,4.739532622092,4.69766188767182,72.8881551225411,87.6975943173016
"Post 27-30d","Cluster 1",4,80.8116619741998,79.5,61.5,112.75,6.11089322797444,2.79550110197853,2.75378527364305,77.8121110875473,85.1118871559019
"Post 27-30d","Cluster 2",7,79.8634264365059,78.5714285714286,58.2857142857143,123.714285714286,8.59515984506304,4.85292881524709,4.85924324334141,71.7382391927965,89.524599566668
"Post >30d","Cluster 1",4,79.7478818774427,78.75,47,143,7.5912468510692,2.48563899939032,2.46221445044903,75.9863254114747,83.3983116058394
"Post >30d","Cluster 2",7,79.9412664602465,78.8571428571429,50,130.285714285714,7.9998069926158,4.79342297535737,4.88159113125927,71.8363388054571,85.1906025818768
