"FCM_Cluster","Parameter","Mean_Value","Parameter_Type","Parameter_Clean","Cluster_Label"
1,"PA_Choroid_0_21_improvement",-7.36864285714285,"Blood Flow - WF","PA Choroid","Cluster 1"
2,"PA_Choroid_0_21_improvement",11.551525,"Blood Flow - WF","PA Choroid","Cluster 2"
1,"PA_DCP_0_21_improvement",-2.12711428571429,"Blood Flow - WF","PA DCP","Cluster 1"
2,"PA_DCP_0_21_improvement",0.6936,"Blood Flow - WF","PA DCP","Cluster 2"
1,"PA_ICP_0_21_improvement",-1.12311428571429,"Blood Flow - WF","PA ICP","Cluster 1"
2,"PA_ICP_0_21_improvement",1.471325,"Blood Flow - WF","PA ICP","Cluster 2"
1,"PA_SVP_0_21_improvement",-1.55131428571429,"Blood Flow - WF","PA SVP","Cluster 1"
2,"PA_SVP_0_21_improvement",-0.450512499999999,"Blood Flow - WF","PA SVP","Cluster 2"
1,"VD_DCP_0_21_improvement",0.291085714285714,"Blood Flow - WF","VD DCP","Cluster 1"
2,"VD_DCP_0_21_improvement",-0.3678875,"Blood Flow - WF","VD DCP","Cluster 2"
1,"VD_ICP_0_21_improvement",0.8917,"Blood Flow - WF","VD ICP","Cluster 1"
2,"VD_ICP_0_21_improvement",-0.9326,"Blood Flow - WF","VD ICP","Cluster 2"
1,"VD_SVP_0_21_improvement",0.891728571428571,"Blood Flow - WF","VD SVP","Cluster 1"
2,"VD_SVP_0_21_improvement",-2.67205,"Blood Flow - WF","VD SVP","Cluster 2"
1,"Thickness_GCL.IPL_0_21_improvement",-1.74725714285714,"Thickness - WF","Thickness GCL.IPL","Cluster 1"
2,"Thickness_GCL.IPL_0_21_improvement",0.6887625,"Thickness - WF","Thickness GCL.IPL","Cluster 2"
1,"Thickness_INL_0_21_improvement",-2.38298571428572,"Thickness - WF","Thickness INL","Cluster 1"
2,"Thickness_INL_0_21_improvement",3.2459625,"Thickness - WF","Thickness INL","Cluster 2"
1,"Thickness_OuterRetina_0_21_improvement",-7.53258571428571,"Thickness - WF","Thickness OuterRetina","Cluster 1"
2,"Thickness_OuterRetina_0_21_improvement",3.957075,"Thickness - WF","Thickness OuterRetina","Cluster 2"
1,"Thickness_Retina_0_21_improvement",-21.4233857142857,"Thickness - WF","Thickness Retina","Cluster 1"
2,"Thickness_Retina_0_21_improvement",13.532675,"Thickness - WF","Thickness Retina","Cluster 2"
1,"age",60.7142857142857,"Vision","age","Cluster 1"
2,"age",55.25,"Vision","age","Cluster 2"
1,"pre_vision",0.465714285714286,"Vision","pre vision","Cluster 1"
2,"pre_vision",0.39,"Vision","pre vision","Cluster 2"
1,"vision_improvement_1m",-0.0628571428571429,"Vision","vision","Cluster 1"
2,"vision_improvement_1m",0.21,"Vision","vision","Cluster 2"
