"Parameter","Data_Type","Cluster1_Mean","Cluster2_Mean","Mean_Difference","P_Value","Significant","P_Adjusted","Significant_Adjusted","Effect_Size","Importance_Score"
"Thickness_Retina_0_21","Thickness",-25.1969333333333,12.1643666666667,37.3613,0.0443995047730762,"Yes",0.122098638125959,"No",37.3613,50.5357115818643
"PA_Choroid_0_21","Blood Flow",-7.87649999999999,9.78785555555555,17.6643555555555,0.109520716796754,"No",0.20078798079405,"No",17.6643555555555,16.9666792591783
"Thickness_OuterRetina_0_21","Thickness",-8.83505,3.54875555555556,12.3838055555556,0.0790952379207406,"No",0.174009523425629,"No",12.3838055555556,13.6450919742269
"VD_SVP_0_21","Blood Flow",1.25853333333333,-2.52061111111111,-3.77914444444444,0.00187864177302099,"Yes",0.0190610456925573,"Yes",3.77914444444444,10.3025373093005
"Thickness_INL_0_21","Thickness",-2.86926666666667,2.94471111111111,5.81397777777778,0.030845588266928,"Yes",0.113100490312069,"No",5.81397777777778,8.78379798353377
"VD_ICP_0_21","Blood Flow",1.28918333333333,-0.994888888888889,-2.28407222222222,0.00346564467137405,"Yes",0.0190610456925573,"Yes",2.28407222222222,5.61931092240961
"PA_DCP_0_21","Blood Flow",-3.17735,1.08034444444444,4.25769444444444,0.150775824062035,"No",0.236933437811769,"No",4.25769444444444,3.498412508976
"PA_ICP_0_21","Blood Flow",-1.40211666666667,1.36905555555556,2.77117222222222,0.205114445687909,"No",0.282032362820875,"No",2.77117222222222,1.90657688657298
"Thickness_GCL.IPL_0_21","Thickness",-2.10055,0.653622222222222,2.75417222222222,0.416189180161691,"No",0.45780809817786,"No",2.75417222222222,1.04853874305124
"VD_DCP_0_21","Blood Flow",0.35695,-0.338577777777778,-0.695527777777778,0.251866540087161,"No",0.307836882328753,"No",0.695527777777778,0.416502567788667
"PA_SVP_0_21","Blood Flow",-1.56838333333333,-0.561444444444444,1.00693888888889,0.672586488394298,"No",0.672586488394298,"No",1.00693888888889,0.173447097948494
