"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","VD Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",12,"-0.647","0.023","-0.543","0.068","*","Large","Strong"
"OCTA","PA Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",12,"-0.545","0.067","-0.598","0.040","†","Large","Trend"
"OCTA","PA Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",12,"-0.531","0.076","-0.464","0.129","†","Large","Trend"
"OCTA","Thickness OuterRetina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",11,"0.524","0.098","0.512","0.107","†","Large","Trend"
"OCTA","Thickness GCL.IPL Widefield (0-21°) Improvement","Thickness","Macular","GCL-IPL",11,"0.498","0.119","0.449","0.166","ns","Medium","Weak"
"OCTA","Thickness INL Widefield (0-21°) Improvement","Thickness","Macular","INL",11,"0.467","0.147","0.354","0.286","ns","Medium","Weak"
"OCTA","Thickness Retina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",11,"0.460","0.155","0.401","0.221","ns","Medium","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",12,"-0.454","0.138","-0.315","0.319","ns","Medium","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",12,"-0.363","0.246","-0.409","0.187","ns","Medium","Weak"
"OCTA","PA Choroid Macular (0-6°) Improvement","BloodFlow","Widefield","Choroidal",12,"0.358","0.253","0.441","0.152","ns","Medium","Weak"
"OCTA","Thickness INL Macular (0-6°) Improvement","Thickness","Widefield","INL",11,"0.290","0.386","0.227","0.502","ns","Small","Weak"
"OCTA","Thickness GCL.IPL Macular (0-6°) Improvement","Thickness","Widefield","GCL-IPL",11,"0.290","0.387","-0.121","0.722","ns","Small","Weak"
"OCTA","VD Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",12,"0.273","0.391","0.236","0.460","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",12,"-0.263","0.408","-0.189","0.557","ns","Small","Weak"
"OCTA","PA Choroid Widefield (0-21°) Improvement","BloodFlow","Macular","Choroidal",12,"-0.221","0.491","-0.205","0.524","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",12,"-0.220","0.491","-0.094","0.770","ns","Small","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",15,"0.219","0.433","0.224","0.423","ns","Small","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",12,"0.215","0.501","0.208","0.517","ns","Small","Weak"
"OCTA","Thickness Retina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",11,"0.215","0.526","0.132","0.699","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",12,"-0.214","0.505","-0.094","0.770","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",12,"0.159","0.622","0.094","0.770","ns","Small","Weak"
"OCTA","VD Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",12,"-0.156","0.628","-0.118","0.715","ns","Small","Weak"
"OCTA","VD Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",12,"0.090","0.782","0.087","0.789","ns","Negligible","Weak"
"OCTA","Thickness OuterRetina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",11,"0.053","0.878","0.074","0.829","ns","Negligible","Weak"
