"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","VD Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",11,"-0.525","0.098","-0.506","0.112","†","Large","Trend"
"OCTA","PA Choroid Widefield (0-21°) Improvement","BloodFlow","Macular","Choroidal",11,"-0.407","0.214","-0.451","0.164","ns","Medium","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",11,"-0.395","0.229","-0.681","0.021","ns","Medium","Weak"
"OCTA","VD Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",11,"0.391","0.234","0.382","0.247","ns","Medium","Weak"
"OCTA","VD Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",11,"0.272","0.418","0.414","0.206","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",11,"-0.269","0.423","-0.515","0.105","ns","Small","Weak"
"OCTA","PA Choroid Macular (0-6°) Improvement","BloodFlow","Widefield","Choroidal",11,"0.253","0.453","0.115","0.736","ns","Small","Weak"
"OCTA","Thickness GCL.IPL Macular (0-6°) Improvement","Thickness","Widefield","GCL-IPL",10,"-0.238","0.508","-0.006","0.987","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",11,"-0.227","0.503","-0.345","0.299","ns","Small","Weak"
"OCTA","Thickness OuterRetina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",10,"-0.197","0.585","-0.043","0.906","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",11,"-0.194","0.567","-0.110","0.747","ns","Small","Weak"
"OCTA","Thickness Retina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",10,"-0.188","0.604","0.190","0.599","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",11,"-0.172","0.613","-0.161","0.636","ns","Small","Weak"
"OCTA","Thickness INL Macular (0-6°) Improvement","Thickness","Widefield","INL",10,"-0.167","0.644","0.264","0.461","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",11,"-0.163","0.631","-0.097","0.778","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",11,"0.145","0.671","0.078","0.819","ns","Small","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",14,"-0.099","0.736","-0.155","0.596","ns","Negligible","Weak"
"OCTA","VD Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",11,"0.066","0.846","0.271","0.420","ns","Negligible","Weak"
"OCTA","Thickness OuterRetina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",10,"0.055","0.879","0.301","0.399","ns","Negligible","Weak"
"OCTA","Thickness INL Widefield (0-21°) Improvement","Thickness","Macular","INL",10,"-0.047","0.897","0.264","0.461","ns","Negligible","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",11,"0.041","0.904","0.250","0.458","ns","Negligible","Weak"
"OCTA","Thickness GCL.IPL Widefield (0-21°) Improvement","Thickness","Macular","GCL-IPL",10,"-0.034","0.926","0.583","0.077","ns","Negligible","Weak"
"OCTA","VD Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",11,"-0.009","0.979","-0.322","0.334","ns","Negligible","Weak"
"OCTA","Thickness Retina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",10,"0.001","0.998","0.313","0.379","ns","Negligible","Weak"
