"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","PA Choroid Widefield (0-21°) Improvement","BloodFlow","Macular","Choroidal",12,"-0.619","0.032","-0.450","0.142","*","Large","Strong"
"OCTA","Thickness INL Widefield (0-21°) Improvement","Thickness","Macular","INL",11,"-0.609","0.047","-0.284","0.398","*","Large","Strong"
"OCTA","Thickness GCL.IPL Macular (0-6°) Improvement","Thickness","Widefield","GCL-IPL",11,"-0.581","0.061","-0.220","0.516","†","Large","Trend"
"OCTA","Thickness GCL.IPL Widefield (0-21°) Improvement","Thickness","Macular","GCL-IPL",11,"-0.562","0.072","-0.407","0.214","†","Large","Trend"
"OCTA","VD Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",12,"0.497","0.100","0.330","0.294","ns","Medium","Weak"
"OCTA","Thickness Retina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",11,"-0.467","0.148","-0.174","0.609","ns","Medium","Weak"
"OCTA","Thickness OuterRetina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",11,"-0.446","0.169","-0.055","0.873","ns","Medium","Weak"
"OCTA","Thickness INL Macular (0-6°) Improvement","Thickness","Widefield","INL",11,"-0.430","0.187","-0.119","0.727","ns","Medium","Weak"
"OCTA","VD Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",12,"0.389","0.212","0.281","0.376","ns","Medium","Weak"
"OCTA","Thickness Retina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",11,"-0.371","0.261","-0.211","0.534","ns","Medium","Weak"
"OCTA","VD Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",12,"0.370","0.236","0.264","0.408","ns","Medium","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",12,"-0.330","0.295","-0.171","0.595","ns","Medium","Weak"
"OCTA","PA Choroid Macular (0-6°) Improvement","BloodFlow","Widefield","Choroidal",12,"-0.292","0.357","-0.063","0.845","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",12,"0.248","0.438","0.172","0.592","ns","Small","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",15,"-0.222","0.427","-0.017","0.952","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",12,"0.186","0.563","-0.281","0.376","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",12,"0.178","0.579","0.221","0.489","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",12,"0.152","0.637","0.155","0.631","ns","Small","Weak"
"OCTA","VD Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",12,"0.151","0.639","0.148","0.647","ns","Small","Weak"
"OCTA","Thickness OuterRetina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",11,"-0.140","0.681","-0.009","0.979","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",12,"0.134","0.678","0.313","0.322","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",12,"0.127","0.695","0.056","0.862","ns","Small","Weak"
"OCTA","VD Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",12,"0.091","0.780","-0.046","0.888","ns","Negligible","Weak"
"OCTA","PA Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",12,"0.022","0.947","-0.077","0.811","ns","Negligible","Weak"
