"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","PA Choroid Widefield (0-21°) Improvement","BloodFlow","Macular","Choroidal",12,"0.752","0.005","0.349","0.266","**","Large","Strong"
"OCTA","VD Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",12,"-0.739","0.006","-0.727","0.007","**","Large","Strong"
"OCTA","VD Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",12,"-0.680","0.015","-0.695","0.012","*","Large","Strong"
"OCTA","VD Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",12,"-0.436","0.157","-0.371","0.235","ns","Medium","Weak"
"OCTA","Thickness INL Widefield (0-21°) Improvement","Thickness","Macular","INL",11,"0.375","0.256","0.593","0.054","ns","Medium","Weak"
"OCTA","PA Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",12,"0.367","0.241","0.271","0.394","ns","Medium","Weak"
"OCTA","Thickness INL Macular (0-6°) Improvement","Thickness","Widefield","INL",11,"0.350","0.292","0.749","0.008","ns","Medium","Weak"
"OCTA","PA Choroid Macular (0-6°) Improvement","BloodFlow","Widefield","Choroidal",12,"0.282","0.374","-0.221","0.490","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",12,"0.279","0.380","0.303","0.338","ns","Small","Weak"
"OCTA","Thickness Retina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",11,"0.267","0.428","0.409","0.211","ns","Small","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",15,"0.254","0.362","0.572","0.026","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",12,"0.251","0.431","0.021","0.947","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",12,"0.250","0.433","0.032","0.921","ns","Small","Weak"
"OCTA","Thickness Retina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",11,"0.239","0.479","0.515","0.105","ns","Small","Weak"
"OCTA","Thickness GCL.IPL Widefield (0-21°) Improvement","Thickness","Macular","GCL-IPL",11,"0.228","0.501","0.437","0.179","ns","Small","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",12,"0.227","0.478","0.331","0.294","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",12,"0.221","0.490","0.021","0.947","ns","Small","Weak"
"OCTA","VD Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",12,"-0.208","0.516","-0.061","0.852","ns","Small","Weak"
"OCTA","Thickness OuterRetina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",11,"0.206","0.542","0.418","0.200","ns","Small","Weak"
"OCTA","Thickness GCL.IPL Macular (0-6°) Improvement","Thickness","Widefield","GCL-IPL",11,"0.181","0.594","0.143","0.676","ns","Small","Weak"
"OCTA","Thickness OuterRetina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",11,"0.180","0.597","0.207","0.542","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",12,"0.123","0.703","0.025","0.939","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",12,"0.085","0.792","-0.043","0.895","ns","Negligible","Weak"
"OCTA","VD Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",12,"0.007","0.983","-0.089","0.783","ns","Negligible","Weak"
