"Outcome_Type_Clean","Parameter_Clean","Parameter_Type","Region","Layer","N","Pearson_r_formatted","Pearson_p_formatted","Spearman_rho_formatted","Spearman_p_formatted","Significance_Status","Pearson_Effect","Clinical_Interpretation"
"OCTA","Thickness GCL.IPL Macular (0-6°) Improvement","Thickness","Widefield","GCL-IPL",11,"0.456","0.159","0.165","0.628","ns","Medium","Weak"
"OCTA","PA Choroid Macular (0-6°) Improvement","BloodFlow","Widefield","Choroidal",12,"0.397","0.201","-0.018","0.957","ns","Medium","Weak"
"OCTA","Thickness GCL.IPL Widefield (0-21°) Improvement","Thickness","Macular","GCL-IPL",11,"0.377","0.253","0.069","0.841","ns","Medium","Weak"
"OCTA","PA Choroid Widefield (0-21°) Improvement","BloodFlow","Macular","Choroidal",12,"0.356","0.257","0.207","0.518","ns","Medium","Weak"
"OCTA","Thickness INL Widefield (0-21°) Improvement","Thickness","Macular","INL",11,"0.315","0.345","0.037","0.915","ns","Medium","Weak"
"OCTA","Thickness INL Macular (0-6°) Improvement","Thickness","Widefield","INL",11,"0.296","0.377","0.275","0.414","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",12,"-0.285","0.369","-0.299","0.346","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",12,"0.276","0.385","0.337","0.283","ns","Small","Weak"
"OCTA","VD Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",12,"0.232","0.467","0.425","0.168","ns","Small","Weak"
"OCTA","Thickness Retina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",11,"0.203","0.549","-0.023","0.947","ns","Small","Weak"
"Vision","vision Improvement (1 Week)","VA_1Week","Whole_Eye","Functional",11,"0.176","0.605","0.229","0.499","ns","Small","Weak"
"OCTA","Thickness OuterRetina Widefield (0-21°) Improvement","Thickness","Macular","Total Retina",11,"0.162","0.635","-0.096","0.779","ns","Small","Weak"
"OCTA","PA Superficial Vascular Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Superficial",12,"0.159","0.621","0.204","0.525","ns","Small","Weak"
"OCTA","PA Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",12,"0.152","0.637","0.295","0.351","ns","Small","Weak"
"OCTA","PA Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",12,"-0.140","0.664","-0.134","0.679","ns","Small","Weak"
"OCTA","Thickness Retina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",11,"0.138","0.685","0.027","0.936","ns","Small","Weak"
"OCTA","VD Superficial Vascular Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Superficial",12,"-0.134","0.677","-0.341","0.278","ns","Small","Weak"
"OCTA","VD Deep Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Deep",12,"0.100","0.758","-0.007","0.983","ns","Negligible","Weak"
"OCTA","VD Intermediate Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Intermediate",12,"-0.085","0.792","0.218","0.496","ns","Negligible","Weak"
"OCTA","Thickness OuterRetina Macular (0-6°) Improvement","Thickness","Widefield","Total Retina",11,"-0.083","0.809","-0.009","0.979","ns","Negligible","Weak"
"OCTA","PA Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",12,"0.078","0.810","0.144","0.655","ns","Negligible","Weak"
"OCTA","PA Deep Capillary Plexus Macular (0-6°) Improvement","BloodFlow","Widefield","Deep",12,"0.074","0.818","0.309","0.328","ns","Negligible","Weak"
"OCTA","VD Intermediate Capillary Plexus Widefield (0-21°) Improvement","BloodFlow","Macular","Intermediate",12,"-0.059","0.855","-0.285","0.370","ns","Negligible","Weak"
"Vision","vision Improvement (1 Month)","VA_1Month","Whole_Eye","Functional",14,"-0.001","0.997","0.176","0.548","ns","Negligible","Weak"
